0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.0,0.0,0.08733437,0.0,0.0,0.10689312,0.0,0.05059435,0.0,0.0,0.0,0.13852413,0.0,0.0,0.0,0.0,0.0,0.0,0.040060822,0.0,0.11220586,0.0,0.0,0.0,0.0,0.0,0.17239462,0.11907903,0.046438742,0.0,0.0,0.0,0.0,0.0,0.12647505,0.0
0.0,0.0,0.0,0.0,0.0,0.13121045,0.1994515,0.16704988,0.0,0.0,0.0,0.09691056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25349346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15188411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0571844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16695905,0.1248392,0.10433369,0.0,0.0,0.0,0.15168661,0.0,0.0,0.06657431,0.0,0.053984176,0.0,0.0,0.0,0.0,0.0,0.16802964,0.0,0.0028297885,0.0,0.0,0.0,0.0,0.0,0.10357919,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721799,0.0,0.0,0.0,0.0,0.27820104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17647557,0.0,0.0,0.0,0.097860366,0.18142037,0.10887513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39094037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044428214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18874961,0.0,0.0,0.0,0.0,0.18555844,0.12442324,0.0,0.0,0.0,0.09004564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28957745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12164559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11214132,0.0,0.0,0.029398,0.10004912,0.0,0.10360607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14289744,0.0,0.07818218,0.1265155,0.0,0.0,0.048054975,0.0,0.0,0.1053936,0.057459082,0.0,0.09630277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25514373,0.0,0.0,0.0,0.18175526,0.18558937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33093768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046573963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19974048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059791707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091217324,0.0,0.0,0.39087957,0.0,0.102696314,0.0,0.034988914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03515677,0.08552892,0.0
0.0,0.08235818,0.0,0.0,0.0,0.014834241,0.09700046,0.0,0.0,0.0,0.0,0.26066068,0.0,0.0,0.0,0.0,0.0,0.0,0.11633392,0.0141839245,0.24532399,0.0,0.015326905,0.0,0.060417607,0.0,0.09356007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101996884,0.0101336865,0.0,0.0,0.016897548,0.03491414,0.049962856,0.043321263,0.019356038,0.06236722,0.0,0.08746349,0.027393354,0.0,0.04129179,0.04574757,0.04410769,0.018710215,0.044889834,0.014448202,0.0,0.0,0.010703469,0.0,0.0,0.07581441,0.011669519,0.0,0.059598427,0.02740668,0.011107227,0.0,0.0,0.0,0.14069846,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06988637,0.0,0.14250502,0.0,0.1236891,0.0,0.0,0.0,0.17495742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666644,0.20270395,0.0,0.11959375,0.0,0.0,0.0
