0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.35138136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34925443,0.0,0.021853719,0.0,0.0,0.012229894,0.0,0.0,0.008550982,0.25672963,0.0,0.0,0.0,0.0,0.0
0.0,0.29708713,0.0,0.0,0.0,0.0,0.0,0.056387614,0.0,0.0,0.0,0.0,0.0,0.06803339,0.0,0.0,0.12274607,0.0,0.0,0.17195085,0.23735386,0.0,0.0,0.0,0.0,0.04644112
0.0,0.0,0.074688464,0.0,0.0,0.0,0.0,0.07817207,0.034115627,0.0,0.0,0.0,0.079593204,0.05703797,0.31125623,0.0,0.0,0.0,0.0,0.04310077,0.0,0.055817027,0.0,0.0,0.19686323,0.06935543
0.0,0.024789989,0.05346417,0.0,0.0,0.0,0.0,0.029997565,0.0,0.0,0.18062964,0.0,0.41832286,0.046293836,0.0,0.0,0.042110946,0.0,0.0,0.12046946,0.0,0.0,0.0,0.03441892,0.0,0.049502604
0.037195854,0.0,0.19153312,0.036589984,0.0,0.0,0.07630895,0.0,0.0,0.0,0.056301,0.07558334,0.038995318,0.03521928,0.046092138,0.0,0.0,0.06523314,0.0590645,0.0,0.0,0.0,0.058657352,0.0,0.04923068,0.1739953
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07548942,0.0,0.0,0.0,0.0,0.0,0.06574973,0.0,0.0,0.0,0.0008602294,0.07102779,0.31869796,0.0,0.06758263,0.0,0.0,0.06178848,0.0,0.10286082,0.0,0.0,0.16798237,0.06796063
0.0,0.0,0.1438905,0.0,0.22372036,0.0,0.0,0.0712536,0.0,0.0,0.0,0.0,0.2761684,0.077915296,0.0,0.0,0.09264608,0.0,0.0,0.114405744,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77143,0.04780663,0.0,0.015739035,0.0,0.0,0.0,0.06065756,0.0,0.0,0.0,0.07548635,0.0,0.028880417,0.0
0.0,0.0,0.0,0.0,0.33254015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46981448,0.0,0.0,0.0,0.19764543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2582577,0.0,0.013133032,0.04011476,0.0,0.0,0.0,0.0,0.18624221,0.0,0.0,0.0,0.0,0.039311346,0.0,0.0,0.0,0.047584403,0.0,0.24062444,0.06875756,0.063043825,0.0,0.0429307,0.0
