0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07795099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235427,0.0,0.0,0.0,0.0,0.0,0.3985063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016696751,0.0,0.0,0.0,0.0,0.10577427,0.0,0.0,0.013265344,0.0,0.23080459,0.0,0.0,0.0,0.0,0.03124973,0.0,0.083113976,0.07909795,0.0,0.0,0.058088254,0.0,0.04534191,0.0,0.0,0.09064094,0.0,0.16449739,0.0,0.0,0.08142887
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05484246,0.1198856,0.15859221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30133697,0.0,0.36534277,0.0,0.0
0.053452674,0.0,0.0,0.0,0.0,0.18557863,0.12821488,0.11476845,0.0055862395,0.0,0.09182625,0.0,0.0,0.0,0.060196754,0.0,0.0,0.0,0.04528026,0.0,0.06296777,0.0,0.08022716,0.0,0.0,0.0,0.110554494,0.0,0.0,0.0,0.0,0.06134643
0.0,0.0,0.0,0.0,0.0,0.12841548,0.0,0.05825242,0.0,0.0,0.10328325,0.0,0.44534966,0.0,0.17457812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09012107,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0872059,0.0,0.0,0.17743313,0.21351439,0.0,0.02966473,0.21805608,0.0,0.0,0.0,0.0,0.014481625,0.0,0.0,0.0152256945,0.0,0.0,0.05009253,0.04108693,0.049511023,0.0,0.0,0.04354983,0.0,0.018022826,0.0,0.0,0.042155255
0.0,0.0,0.0,0.07252935,0.0,0.08843157,0.0,0.35124215,0.0,0.0,0.27883065,0.0,0.0,0.0,0.0,0.006983385,0.0,0.0,0.0,0.0,0.0,0.07468501,0.018178217,0.0,0.0,0.0,0.061560266,0.0,0.0,0.0,0.0,0.047559418
0.0,0.0,0.0,0.19440755,0.0,0.25539553,0.18306193,0.0,0.0,0.0,0.11748546,0.0,0.0,0.0,0.032039054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043148816,0.0,0.0,0.0,0.1744617,0.0,0.0,0.0,0.0,0.0
0.07865277,0.0,0.0,0.0,0.048277896,0.0,0.0,0.16015148,0.0,0.0,0.058334734,0.0,0.0,0.0,0.0,0.09271849,0.0,0.0,0.19507654,0.0,0.0,0.13625167,0.0,0.09027777,0.056590807,0.0,0.02292304,0.0,0.012316503,0.0,0.0,0.04842832
0.10145676,0.0,0.0,0.0,0.0,0.0,0.0,0.19975455,0.0,0.0,0.22366367,0.0,0.0,0.0,0.0,0.16067478,0.0,0.15353696,0.0,0.0,0.0,0.16091329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.090073936,0.0,0.08612184,0.0,0.072255105,0.06857024,0.03416478,0.0,0.22037864,0.0,0.08534996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057428736,0.0,0.0,0.11401902,0.17163783,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08155928,0.0,0.2755473,0.0,0.034262165,0.28839272,0.0,0.0,0.0,0.0,0.009807063,0.0,0.039322767,0.0,0.0,0.0,0.06890144,0.0,0.0787617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12344558
0.0,0.049435027,0.0,0.07142106,0.08162646,0.092165194,0.06479008,0.0,0.0,0.1100815,0.10734659,0.09995016,0.0,0.0,0.08759491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547359,0.0,0.0,0.0,0.0,0.18085308,0.0,0.0,0.0
0.08815418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33631265,0.085177094,0.05301938,0.0,0.08157489,0.0,0.20208025,0.0,0.053365152,0.0,0.0,0.10031653,0.0
0.09292292,0.0,0.0,0.071765035,0.0,0.06999949,0.029156499,0.09382557,0.0,0.015087968,0.115706116,0.0,0.0,0.0,0.0,0.027366582,0.025754414,0.12415427,0.0506846,0.0,0.0,0.04596045,0.04016573,0.021503177,0.0,0.0,0.02252774,0.0,0.038542934,0.0,0.0,0.1148765
0.42296693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27490252,0.0,0.0,0.0,0.30213052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07056891,0.0,0.0,0.0,0.0898382,0.037701376,0.05934755,0.04682595,0.0,0.12405875,0.09251928,0.0,0.0,0.10376299,0.10255929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08463029,0.0,0.0,0.10793435,0.0,0.08025306,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16745274,0.0,0.0,0.83254725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040128354,0.0,0.0,0.0,0.0,0.0,0.0,0.120674536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30296326,0.0,0.06540666,0.0,0.0,0.0,0.47082722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.20638683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23743318,0.0,0.1594226,0.0,0.0,0.0,0.0,0.0,0.0,0.108635195,0.0,0.0,0.0,0.0,0.0,0.0,0.056696348,0.0,0.0,0.23142584,0.0
0.11608108,0.0,0.0,0.0,0.0,0.0,0.0,0.2580382,0.0,0.0,0.3032746,0.0,0.0,0.0,0.0,0.039601747,0.0,0.05042356,0.0,0.0,0.0,0.0727713,0.0,0.0,0.0,0.0,0.0014311156,0.0,0.0,0.0,0.0,0.1583784
0.16795273,0.0,0.0,0.0,0.0,0.0,0.0,0.09864391,0.13843095,0.0,0.0,0.0,0.0,0.0,0.0,0.29329428,0.0,0.19098842,0.0,0.0,0.0,0.0,0.0,0.110689685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027651742,0.012641065,0.0,0.1382526,0.0,0.13274431,0.0065769814,0.044300765,0.0,0.069532275,0.079102226,0.04934035,0.002821195,0.0,0.06214308,0.0,0.0,0.07736877,0.027246313,0.0,0.027579464,0.013419267,0.0,0.009058982,0.0,0.0,0.033854604,0.0,0.049377397,0.0,0.0,0.13698857
0.020565022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56281656,0.0,0.0,0.0,0.0,0.0,0.41661844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33873567,0.0,0.0,0.0,0.29933938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3619249,0.0,0.0,0.0,0.0
0.0,0.11785342,0.0,0.0,0.064852886,0.0,0.0,0.0,0.0241306,0.0,0.0,0.107919954,0.11289069,0.0,0.029242672,0.0,0.0,0.056019947,0.0,0.30404744,0.066465035,0.0,0.0,0.020952275,0.0,0.0,0.0,0.048565645,0.0,0.0,0.047059488,0.0
0.0,0.120894246,0.0,0.09227687,0.0,0.0,0.0,0.0,0.0,0.19134915,0.0,0.13953117,0.08251399,0.0,0.15955772,0.0,0.0,0.0,0.0,0.0,0.029736869,0.0,0.06778717,0.0,0.0,0.0,0.0,0.06087626,0.0,0.0,0.055476528,0.0
0.0,0.0,0.24771076,0.025151234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14848012,0.0,0.16613409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05304967,0.0,0.0,0.0,0.0,0.0,0.0,0.2817214,0.07775275,0.0
