0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.0,0.032151744,0.12459299,0.059556995,0.009903733,0.17555349,0.019004077,0.03485553,0.046165247,0.0746429,0.0,0.09816815,0.0,0.039959233,0.015337283,0.05264556,0.14173695,0.0,0.029022591,0.017559275,0.0,0.029144235
0.008841104,0.0,0.017661534,0.0,0.0,0.06468565,0.0,0.23064952,0.14721641,0.19422168,0.0,0.028761998,0.0,0.14543918,0.0,0.014633894,0.009380201,0.0,0.0,0.0,0.0,0.13850886
0.29252452,0.0,0.0,0.18381305,0.0,0.059195224,0.09918565,0.0,0.0,0.0,0.0,0.14060713,0.0,0.0,0.046910565,0.0,0.11456248,0.0,0.0,0.06320138,0.0,0.0
0.39578402,0.0,0.2667343,0.0,0.07282581,0.11487989,0.08006755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06970843,0.0,0.0
0.060287796,0.0,0.0,0.061088074,0.0,0.052428473,0.0629215,0.48660564,0.0,0.018201517,0.0,0.060208052,0.0,0.0,0.06261742,0.0,0.0,0.0,0.016215213,0.062498603,0.05692771,0.0
0.14177197,0.06844118,0.070953876,0.023106245,0.0,0.0,0.0,0.069799796,0.0816778,0.09715448,0.0,0.06305856,0.0,0.075122684,0.029502632,0.046700858,0.12587935,0.0,0.02998238,0.0,0.0,0.07684821
0.086130776,0.05008105,0.0,0.08506206,0.09258524,0.052527294,0.0,0.035257764,0.1244976,0.11000845,0.0,0.079444535,0.0,0.013600309,0.08158657,0.0,0.0,0.0,0.0,0.085047,0.0810612,0.023110224
0.027702505,0.110137776,0.018098375,0.0,0.0,0.04900539,0.02186993,0.0,0.111629404,0.12180901,0.038323265,0.024451572,0.0,0.067533754,0.0,0.090360776,0.015894141,0.10249047,0.06455415,0.027668552,0.017762126,0.09070881
0.051760007,0.15123996,0.0075546023,0.0,0.0,0.08861123,0.038624845,0.13631886,0.0,0.17823714,0.007432659,0.012623313,0.0,0.09130125,0.028946104,0.0,0.057445943,0.0,0.0,0.0,0.03665553,0.1132485
0.0,0.1743798,0.0,0.0,0.0,0.024696272,0.0,0.2516063,0.10011934,0.0,0.108959,0.0,0.0,0.17198868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16825067
0.07439834,0.0,0.04706539,0.016444786,0.0,0.0,0.0,0.205404,0.15760939,0.18523435,0.0,0.06483401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24900971
0.25409877,0.0,0.16888697,0.053258635,0.07436451,0.09275851,0.06979534,0.0,0.0,0.021063333,0.0,0.0,0.0,0.011024501,0.061262295,0.0,0.12668628,0.0,0.0,0.06680084,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1852737,0.015070951,0.0,0.0,0.037670072,0.0,0.21403056,0.10572265,0.09509716,0.0,0.026982814,0.015058605,0.0,0.0,0.0,0.012297598,0.0,0.0,0.0,0.0,0.29279587
0.05530007,0.0,0.0,0.041784592,0.058253516,0.17462867,0.048073612,0.0,0.0826624,0.01112697,0.0,0.036307666,0.0,0.09479311,0.0,0.004351755,0.25090304,0.0,0.0,0.056065653,0.046392225,0.03935669
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29771307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37931862,0.244912,0.078056276,0.0,0.0
0.12809214,0.06780827,0.08337289,0.0,0.0,0.17374402,0.0,0.07438385,0.07852394,0.10087524,0.0,0.063301735,0.0,0.08756636,0.033168286,0.0,0.0,0.0,0.043977592,0.0,0.0,0.0651857
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27720597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3363914,0.0,0.0,0.2843242,0.102078386,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22831175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920348,0.0,0.3559282,0.0,0.123725235,0.0,0.0
0.053746812,0.0,0.0,0.0,0.05475085,0.0,0.056978583,0.15368533,0.0,0.026514485,0.0,0.0,0.0,0.0,0.051160622,0.19410028,0.0,0.17018329,0.23887971,0.0,0.0,0.0
0.08256525,0.054468796,0.0,0.08393919,0.08943742,0.048756983,0.086522356,0.038596448,0.12988426,0.11141645,0.0,0.07429523,0.0,0.017842617,0.07839389,0.0,0.0,0.0,0.0,0.0790909,0.0,0.02479022
0.020293519,0.14601533,0.015822714,0.0,0.0,0.061477605,0.017523741,0.1434841,0.1302074,0.120698355,0.09193672,0.020540081,0.0,0.2003987,0.0,0.0,0.02036743,0.0,0.0,0.0,0.011234342,0.0
