0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.019385723,0.10588479,0.0,0.0,0.12690702,0.082279526,0.11783839,0.011820517,0.08513604,0.0,0.088347316,0.044298872,0.0,0.09602348,0.095313095,0.12676519,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.068195306,0.0143579235,0.0,0.0,0.0,0.18834345,0.11203102,0.16611278,0.0,0.035016544,0.020610353,0.118677385,0.07469234,0.0,0.047155373,0.049523193,0.105284356,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.10253526,0.005377,0.26034698,0.0,0.0,0.0,0.0,0.24285932,0.0,0.06607722,0.03903911,0.1416408,0.0,0.0,0.057572603,0.063566424,0.02098528,0.0
0.0,0.052393734,0.0,0.20664349,0.0,0.0,0.0,0.0,0.2055633,0.0,0.02222148,0.03736188,0.14016046,0.13100158,0.0,0.034214906,0.0,0.17043917,0.0
0.0,0.06183943,0.011449799,0.17365506,0.0,0.0,0.20730746,0.13057967,0.0,0.0,0.059363514,0.0217701,0.14624344,0.0,0.0,0.07072711,0.05124839,0.065816045,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28080967,0.0,0.0,0.0,0.023960318,0.025398383,0.66983163,0.0,0.0
0.0,0.10805649,0.011091379,0.05829669,0.0,0.0,0.10850663,0.04339144,0.092729755,0.060142953,0.0,0.0,0.07408046,0.0,0.0,0.20864913,0.20072177,0.034333263,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11623144,0.00888866,0.12052703,0.0,0.0,0.13028209,0.086742505,0.17018798,0.016959926,0.10361743,0.0,0.0,0.0,0.0,0.11783228,0.089718625,0.03901202,0.0
0.0,0.07440647,0.0,0.28592864,0.0,0.0,0.0,0.23274325,0.0036109216,0.0,0.0,0.08224309,0.006266514,0.0,0.0,0.0,0.0,0.31480116,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09709496,0.01931852,0.08510854,0.0,0.013675768,0.11381149,0.05942679,0.11041162,0.014540715,0.17358671,0.0086157955,0.08340049,0.0,0.0,0.0,0.16653316,0.05447549,0.0
0.0,0.11569139,0.0016036509,0.06264207,0.0,0.02042686,0.10752373,0.0,0.0760423,0.10870974,0.22885822,0.0,0.046378575,0.0,0.0,0.23212332,0.0,0.0,0.0
0.0,0.15413968,0.006700602,0.20293525,0.0,0.0,0.011725118,0.17860633,0.1110804,0.0,0.014268377,0.0398324,0.081842676,0.18381117,0.0,0.015057912,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
