0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.11160739,0.10584193,0.20073111,0.0,0.13828939,0.0,0.22450383,0.0,0.020743482,0.008429081,0.18006355,0.0,0.009790333
0.0,0.0,0.0,0.4446647,0.53406477,0.0,0.0,0.0,0.0,0.0,0.0,0.0212705,0.0,0.0,0.0,0.0
0.0,0.11900807,0.20545954,0.0,0.2397418,0.25996622,0.0,0.0,0.03839032,0.0,0.0,0.1374341,0.0,0.0,0.0,0.0
0.0,0.018815394,0.33172277,0.26558638,0.0,0.38387552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.19205916,0.0,0.4032232,0.3899948,0.0,0.0,0.0,0.0,0.0,0.0,0.014722807,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098484516,0.0,0.0,0.9015155,0.0
0.0,0.14957498,0.0,0.060562413,0.0,0.0,0.0,0.0,0.0,0.12343483,0.0,0.0,0.0,0.6664278,0.0,0.0
0.0,0.07050507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8073926,0.064348064,0.0,0.0,0.057754364
0.0,0.43064934,0.0,0.0,0.0,0.0,0.05314815,0.17437084,0.02778354,0.0,0.0,0.0,0.0,0.256564,0.05748414,0.0
0.0,0.039383847,0.0,0.030121233,0.0,0.0,0.07453309,0.0,0.0,0.0,0.0,0.79662126,0.030924808,0.0,0.0,0.028415646
0.0,0.0,0.0,0.11898289,0.0,0.0,0.3452451,0.0,0.19271599,0.0,0.23266786,0.0,0.0,0.0,0.11038818,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11394487,0.0,0.0,0.0,0.0,0.0,0.8027583,0.0,0.08329682,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
