0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0.0,0.0,0.0,0.0,0.021925412,0.06811104,0.0,0.0,0.23407112,0.098052844,0.013627899,0.0,0.0,0.0,0.0,0.0,0.20081005,0.0,0.0,0.0,0.0,0.22359942,0.0,0.0,0.0,0.0,0.0,0.0,0.13980213
0.0,0.0,0.0,0.0,0.06620412,0.0045758593,0.0,0.0,0.048933994,0.17609832,0.026641365,0.26054555,0.0,0.0,0.06869787,0.0,0.10359387,0.0,0.0,0.0,0.0,0.19912182,0.0,0.0,0.0,0.04558723,0.0,0.0,0.0
0.0,0.06502368,0.0,0.0,0.0,0.0,0.027397787,0.0,0.0,0.0,0.0,0.0,0.030004334,0.08369143,0.043569405,0.13644357,0.0,0.06817385,0.0,0.0,0.0,0.0,0.051561553,0.15252435,0.15417317,0.0,0.18743683,0.0,0.0
0.0,0.0,0.0,0.0,0.2046631,0.20095663,0.08887868,0.0,0.0,0.2533123,0.0,0.00250658,0.0,0.0,0.0,0.0,0.08535115,0.0,0.0,0.0,0.02254029,0.07905751,0.0,0.0,0.0,0.0,0.0,0.0,0.06273377
0.0,0.0,0.0,0.16714148,0.0,0.17297217,0.049439542,0.0,0.04534386,0.21741322,0.07173158,0.0,0.0,0.0,0.0,0.0,0.095174044,0.0,0.0,0.0,0.0,0.12620361,0.0,0.0,0.0,0.02494045,0.0,0.0,0.029640064
0.0,0.0,0.0,0.28726906,0.16936728,0.0,0.086740546,0.0,0.0033793417,0.2096157,0.0,0.024629049,0.0,0.0,0.049320806,0.0,0.019961437,0.0,0.0,0.0,0.072067,0.011901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0657484
0.0,0.0,0.0,0.09671181,0.11904232,0.100372694,0.0,0.0,0.0,0.29148182,0.0,0.0,0.0,0.0,0.0,0.0,0.2119602,0.0,0.0,0.0,0.0,0.18043116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44447792,0.0,0.08313844,0.0,0.0,0.0,0.0007933446,0.27778968,0.1581301,0.0,0.0,0.0,0.03567055,0.0,0.0,0.0,0.0,0.0
0.04680816,0.029854082,0.0,0.0,0.10432163,0.0,0.0,0.0,0.0,0.18188095,0.19811055,0.0,0.0,0.06180274,0.03047841,0.027211888,0.00043954028,0.0,0.0,0.0,0.10439629,0.0,0.0,0.06882678,0.0,0.0,0.0,0.0,0.14586899
0.0,0.0,0.0,0.13682151,0.08246973,0.09124484,0.041527275,0.0,0.05570632,0.0,0.23673263,0.085573375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12586482,0.00437825,0.0,0.0,0.0,0.07894084,0.0,0.0,0.060740415
0.0,0.0,0.0,0.0,0.16139525,0.066043615,0.0,0.0,0.10861312,0.20960957,0.0,0.102915734,0.0,0.0,0.0,0.0,0.071159035,0.0,0.0,0.0,0.043205857,0.12991555,0.0,0.0,0.0,0.04545784,0.0,0.0,0.06168442
0.0,0.21838401,0.0,0.0,0.0,0.02596755,0.099755704,0.032024965,0.0,0.024741845,0.16186447,0.0,0.0,0.0,0.0,0.0,0.0,0.06086217,0.0022489957,0.1289713,0.0,0.0,0.054159023,0.0,0.0,0.13584581,0.05517409,0.0,0.0
