0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039232165,0.0,0.035716627,0.2410172,0.14612734,0.0,0.0,0.022268543,0.0,0.28162184,0.23401636
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01843411,0.2926188,0.0,0.0,0.026312951,0.0,0.0,0.108246766,0.0,0.5252297,0.029157547
0.0,0.31770957,0.0,0.22597378,0.0,0.0,0.005995948,0.0,0.019990152,0.0,0.43033054
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.31662074,0.0,0.5842988,0.0,0.0,0.0,0.099080525,0.0,0.0,0.0
0.0,0.37978944,0.0,0.21371941,0.3798989,0.0,0.026592307,0.0,0.0,0.0,0.0
