0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21389373,0.7335892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052517153
0.0,0.0,0.4374442,0.0,0.0,0.037126575,0.0,0.0,0.0,0.0,0.13284595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3925833,0.0,0.0,0.0,0.0,0.0
0.0,0.20783359,0.0,0.0,0.15457684,0.0,0.0,0.0,0.0,0.0,0.058811907,0.120886505,0.0,0.0,0.0,0.0,0.0,0.3178999,0.13999122,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65025353,0.0,0.0,0.0,0.0,0.0,0.0,0.079828635,0.11686416,0.0,0.0,0.15305363
0.0,0.0,0.26802132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28974396,0.2726043,0.0,0.0,0.0,0.0,0.0,0.16963047,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.13293397,0.33917782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26191595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26597226,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01657753,0.0,0.0,0.0,0.0,0.0,0.0,0.0056007714,0.16613695,0.5068701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21864124,0.086173415,0.0
0.0,0.0,0.055226915,0.0,0.008305866,0.0,0.06958238,0.0,0.0,0.0,0.0,0.0,0.08008972,0.0,0.0,0.108994,0.0,0.060439207,0.0,0.0,0.267895,0.0,0.07766343,0.27180347
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6414223,0.35857773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22453202,0.0,0.0,0.0,0.0,0.0,0.04909548,0.0,0.0,0.0,0.1120031,0.24476373,0.050686263,0.047352135,0.0,0.008076125,0.0,0.0,0.0,0.0,0.083982006,0.0,0.047455475,0.13205369
0.31359118,0.0,0.2627961,0.0,0.078619815,0.0,0.0,0.0,0.08919943,0.06925202,0.0,0.13537155,0.0,0.0,0.0,0.037977703,0.0,0.013192208,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.28248474,0.0,0.2914687,0.0,0.0,0.0,0.0,0.018715402,0.16988543,0.0,0.0,0.0,0.0,0.0,0.0,0.23744576,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08420772,0.062360942,0.30240068,0.0,0.0,0.014171205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045991436,0.0,0.0,0.06891584,0.0,0.21706282,0.0,0.0,0.2048893
0.0,0.0,0.0,0.10204227,0.0,0.0,0.16904183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7289159,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03724963,0.0,0.03155733,0.0,0.0,0.2810982,0.0,0.0,0.33753327,0.0,0.067141354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085631356,0.15978894,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5346894,0.0,0.22757162,0.0,0.0,0.0,0.0,0.0,0.029866373,0.2078726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3795608,0.4428638,0.0,0.0,0.037078135,0.0,0.0,0.0,0.0,0.07940234,0.0,0.0,0.0,0.0,0.0,0.0,0.0610949,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.57117164,0.06536703,0.0,0.04265116,0.0,0.0,0.0,0.0,0.0,0.24137756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943263,0.0
0.0,0.0,0.0,0.08129762,0.0,0.0,0.06564525,0.0896852,0.0,0.0,0.0,0.0,0.23418504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07430529,0.45488164
0.0,0.0,0.0,0.07931393,0.0,0.0,0.10860945,0.0,0.0,0.0,0.0,0.0,0.04899716,0.69520587,0.0,0.022596953,0.0,0.0,0.0,0.0,0.0,0.0,0.04527661,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.075158834,0.0,0.0,0.0,0.15379934,0.5045892,0.07664627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11804084,0.0,0.071765445
0.0,0.02621346,0.020536782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022474365,0.15779512,0.0,0.0,0.0,0.0,0.0165545,0.0,0.0,0.75572866,0.0,0.0006971143,0.0
