0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.024897967,0.0,0.09588138,0.0,0.0,0.0,0.11368259,0.0,0.08754223,0.048108228,0.0,0.0,0.0,0.1311248,0.07116953,0.08353929,0.028161814,0.31589213
0.0,0.0,0.0,0.10024,0.0,0.0,0.16137445,0.09808054,0.1085072,0.0,0.082134135,0.0,0.114558816,0.0,0.017166207,0.116922356,0.08446907,0.11654719,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.065412946,0.11602542,0.0,0.0,0.0,0.0,0.08540885,0.08228908,0.13233702,0.043007355,0.042098477,0.0,0.05443126,0.0,0.05958793,0.08888892,0.088273235,0.084320515,0.057918947
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18036169,0.0,0.10623533,0.0,0.0,0.0,0.022644104,0.113441415,0.0,0.0790079,0.0,0.11939707,0.0,0.011649366,0.114920154,0.099101245,0.15324166,0.0
0.085472986,0.11983317,0.0,0.057088837,0.0,0.0,0.0,0.0,0.1870845,0.05100793,0.13386275,0.0,0.05352084,0.0,0.0067625674,0.17282343,0.0,0.08802111,0.044521816
0.0,0.10502954,0.0,0.110109895,0.0,0.0,0.08079817,0.15647197,0.0,0.0,0.12981603,0.0,0.052345164,0.0,0.014396971,0.16276696,0.13903198,0.04923336,0.0
0.14275555,0.012449896,0.0,0.13858175,0.0,0.0,0.0,0.1499704,0.0,0.0,0.092785485,0.0,0.0,0.0,0.19731313,0.0,0.2661438,0.0,0.0
0.031624537,0.11528843,0.0,0.062055275,0.0,0.0,0.08993139,0.12006246,0.15629584,0.009747902,0.0,0.0,0.06734538,0.0,0.012927355,0.14597458,0.12957817,0.048903733,0.0102649005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.17214172,0.0,0.09350802,0.0,0.0,0.15128651,0.08380529,0.09917986,0.0,0.076502286,0.0,0.0,0.0,0.021405518,0.11484508,0.06876967,0.118556134,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3352533,0.0,0.051724628,0.23498495,0.0,0.0,0.0,0.0,0.0,0.33116648,0.020406999,0.0,0.0,0.0,0.0,0.012623562,0.0,0.013840111,0.0
0.044835087,0.11672328,0.0,0.07024494,0.0,0.0,0.095239826,0.14401904,0.16425766,0.0,0.13350354,0.0,0.06408361,0.0,0.008206748,0.0,0.08725675,0.049163155,0.02246638
0.050683185,0.10968285,0.0,0.10481598,0.0,0.0,0.09871625,0.015726177,0.16832313,0.069982864,0.13752119,0.0,0.061786246,0.0,0.0139473155,0.11462974,0.0,0.008079879,0.04610519
0.0,0.1985031,0.0,0.11820167,0.0,0.0,0.20756601,0.108111314,0.086439654,0.0,0.045392115,0.0,0.13596098,0.0,0.013794231,0.086030915,0.0,0.0,0.0
0.4371117,0.018399648,0.0,0.12656884,0.0,0.0,0.0,0.13389377,0.0,0.0,0.062923655,0.0,0.0,0.0,0.0022101393,0.08656081,0.10590561,0.026425788,0.0
