0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0.0,0.0,0.0,0.05883205,0.0,0.0,0.0,0.0,0.58173364,0.06642141,0.01903863,0.0,0.0,0.0,0.0,0.0,0.26008332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013890925
0.08366747,0.0,0.0,0.0,0.0909087,0.058461357,0.077652514,0.07966776,0.13959573,0.14896484,0.0,0.01385839,0.03250658,0.0,0.0,0.0,0.109735884,0.0,0.0,0.0,0.0,0.12313009,0.0,0.041850705,0.0,0.0,0.0,0.0,0.0
0.0,0.028446393,0.0,0.0,0.0,0.0,0.0,0.08519301,0.0,0.0,0.04542956,0.023056604,0.039916657,0.0,0.14418447,0.06338365,0.0,0.041806668,0.04362678,0.0,0.033649918,0.0,0.058738373,0.0,0.14366673,0.06297661,0.093486816,0.045854583,0.046583205
0.0,0.0,0.030625345,0.0,0.15291446,0.19880691,0.16102521,0.0,0.0,0.124348186,0.0,0.0,0.0,0.07455956,0.0,0.0,0.0,0.0,0.044772398,0.0,0.03968429,0.0,0.0,0.08080526,0.02269774,0.0,0.0,0.0,0.06976066
0.0,0.0,0.0,0.24275401,0.0,0.0800313,0.26697722,0.0,0.05048585,0.18940032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17035128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3312947,0.114254236,0.0,0.33000165,0.0,0.0,0.22444938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02925989,0.16237116,0.15465255,0.20077941,0.0,0.0,0.0,0.13310844,0.0,0.0,0.0,0.071450666,0.0,0.0,0.0,0.0,0.044352606,0.0,0.03749539,0.0,0.0,0.07614393,0.02018964,0.0,0.0048074615,0.0,0.06538887
0.043018494,0.1393639,0.014818879,0.063413545,0.06390559,0.08179817,0.0,0.0,0.04845212,0.1287146,0.13064623,0.0588485,0.011978346,0.08018037,0.0,0.0,0.0,0.0,0.012959947,0.030266419,0.0,0.0,0.0,0.09163495,0.0,0.0,0.0,0.0,0.0
0.010733667,0.07865779,0.0,0.0,0.0292512,0.0,0.0,0.0,0.0,0.09966076,0.18375617,0.0,0.0,0.13513705,0.0,0.08224529,0.0,0.0,0.0,0.0,0.09454165,0.0,0.0,0.15246554,0.0,0.0,0.0,0.0,0.13355085
0.0,0.061695732,0.0,0.1252473,0.13283557,0.21243861,0.14208911,0.01572153,0.061809078,0.0,0.07195884,0.0,0.0,0.043323975,0.0357118,0.0,0.0,0.0,0.0061267023,0.0,0.0,0.0,0.0,0.06151898,0.0,0.0,0.0,0.0,0.029522773
0.07140841,0.0,0.0,0.0,0.021737391,0.0,0.0845258,0.0,0.15679356,0.190294,0.0,0.0,0.0,0.0,0.0,0.0,0.20144889,0.0,0.0,0.0,0.0,0.27379197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016614748,0.077818274,0.004800999,0.037762634,0.06661382,0.08136214,0.050357435,0.16307689,0.0,0.040594734,0.077469036,0.0,0.0,0.0,0.024885407,0.0,0.0,0.09959926,0.0,0.05592328,0.0,0.0,0.0112103885,0.0,0.06928131,0.10494237,0.0,0.017687274,0.0
0.0,0.0,0.112450786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21340197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2969221,0.0,0.3246942,0.0,0.052530997,0.0,0.0
0.009966887,0.08068303,0.01962015,0.029314276,0.0298203,0.048759162,0.04003258,0.06713691,0.038100895,0.026995996,0.05822323,0.0014999608,0.032186262,0.0,0.06897031,0.02853965,0.0,0.015871264,0.046223246,0.008099077,0.09139344,0.0,0.011504887,0.12310277,0.03094781,0.0,0.024180563,0.013351561,0.05547582
0.0,0.071193285,0.18125248,0.023863448,0.0,0.0,0.0,0.04995707,0.0,0.10009177,0.102937415,0.0,0.021946821,0.15707026,0.0,0.0,0.0,0.0,0.12670773,0.0,0.0,0.02355697,0.0,0.1414228,0.0,0.0,0.0,0.0,0.0
0.0,0.09736593,0.17384614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044205794,0.0,0.0,0.081707425,0.10759183,0.0,0.0,0.0,0.120215,0.13275526,0.062738396,0.0,0.108777195,0.055874262,0.0,0.0,0.0,0.0,0.05470796
