0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,0.0766386,0.0,0.056101806,0.050616357,0.031808887,0.0,0.0,0.096112855,0.0,0.0,0.09936424,0.06548302,0.040212393,0.0,0.0,0.05971024,0.029626131,0.0,0.034565795,0.11236829,0.026403764,0.068085104,0.0,0.15290257
0.24883708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15899368,0.064993456,0.0,0.0,0.0,0.21440895,0.0,0.09636311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21640365
0.05998868,0.035192028,0.0,0.047547437,0.024618633,0.04978703,0.032964136,0.0,0.051623672,0.04939026,0.0,0.07491618,0.041940175,0.0,0.01535915,0.049979456,0.06482918,0.06335436,0.0,0.08234083,0.0490225,0.0366006,0.027216518,0.05685735,0.08647181
0.0,0.28898686,0.0,0.0,0.0,0.16465718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28066203,0.0,0.0,0.0,0.0,0.2656939,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.31049624,0.014483567,0.20408896,0.0,0.4147618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056169443,0.0,0.0
0.0,0.17043723,0.07683919,0.0780713,0.06572978,0.0,0.24728222,0.11327436,0.0,0.0,0.0,0.0,0.017297098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03682888,0.10959787,0.07366029,0.010981805,0.0
0.0,0.0,0.14709389,0.0,0.0,0.17168885,0.0,0.08769672,0.040052738,0.044964124,0.0,0.05047932,0.10241009,0.0,0.0,0.0,0.0681864,0.0,0.0,0.05502634,0.0,0.15038648,0.027991008,0.0,0.054024
0.0,0.0,0.06679597,0.0,0.0,0.18439178,0.28256345,0.0,0.0,0.0,0.0,0.010372518,0.0,0.0,0.0,0.0,0.0,0.0,0.30845973,0.0,0.0,0.1474165,0.0,0.0,0.0
0.16969635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779462,0.027358802,0.0,0.039629057,0.0,0.14807175,0.09101319,0.0,0.20291524,0.009050125,0.0,0.0,0.04512178,0.1891975
0.124861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059797518,0.0,0.0,0.08879736,0.0,0.0,0.13386577,0.13353947,0.0,0.11158215,0.0,0.11021089,0.0,0.0,0.0,0.19425303,0.04309276
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10107037,0.0,0.076368816,0.0,0.0,0.050783914,0.03550037,0.035737917,0.16024937,0.0,0.0,0.0,0.022319203,0.0,0.0,0.0,0.09788308,0.023719123,0.13802288,0.078464024,0.0,0.020325746,0.0,0.0,0.15955517
0.17591135,0.0,0.0,0.013341323,0.0,0.026574193,0.0,0.0,0.05645413,0.0,0.0,0.05077563,0.0,0.0,0.0,0.17420034,0.00031646222,0.1645682,0.0,0.07884779,0.05848538,0.031208247,0.0,0.01030653,0.1590104
0.0,0.22597499,0.0,0.0,0.14456654,0.0,0.0,0.2468229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02098768,0.0,0.3151093,0.0,0.0,0.046538584,0.0,0.0,0.0
0.41195035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5880496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32520333,0.0,0.0030822142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261951,0.0,0.0,0.0,0.0,0.4097635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14854471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1738467,0.0,0.0,0.08347231,0.02536053,0.0,0.04213721,0.0,0.0,0.08439805,0.0,0.16628926,0.021659538,0.0,0.0,0.07977826,0.17451331
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.015369913,0.11070005,0.0,0.0,0.0,0.0,0.46620643,0.0,0.0,0.0,0.36921674,0.0,0.0,0.038506854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03715634,0.0,0.0,0.0,0.0,0.054795522,0.020358743,0.0,0.24935733,0.014581397,0.0,0.10658594,0.044973828,0.0,0.086296655,0.010887398,0.21952572,0.014525524,0.0,0.0,0.0,0.049819272,0.0,0.0,0.09113624
0.0,0.36392704,0.0,0.17628351,0.0,0.38521534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07457412,0.0,0.0
0.0,0.0,0.08309603,0.0,0.0,0.23203701,0.39739665,0.23169284,0.0,0.0,0.0,0.0,0.05577751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
