0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03152798,0.0,0.32339904,0.0,0.0,0.0,0.0,0.01903868,0.0,0.0,0.0,0.2006473,0.0,0.0,0.0,0.0,0.028802034,0.0,0.0,0.045629416,0.30195332,0.0,0.0,0.049002234,0.0,0.0
0.0,0.46471438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00865088,0.0,0.0,0.12700644,0.3181197,0.0,0.0,0.08150855,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933235,0.0,0.0,0.0,0.0,0.0,0.0,0.13551375,0.0,0.0,0.37116274,0.0
0.0,0.02750763,0.034137454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2541463,0.0,0.54813415,0.0,0.0,0.0,0.0,0.0,0.0,0.11343925,0.0,0.0,0.0,0.022635182,0.0,0.0
0.0,0.0,0.3143432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21662441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4690324
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.080430284,0.0,0.0,0.0092414105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41256633,0.0,0.0,0.0,0.0,0.07325549,0.0,0.016332142,0.0,0.090468064,0.3177063,0.0
0.0,0.057820722,0.13212462,0.0,0.24924678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999006,0.0,0.0,0.0,0.08364812,0.025129033,0.0,0.081190564,0.0,0.0,0.0,0.05575088,0.015099235,0.0
0.0,0.0,0.0,0.0,0.0,0.07605479,0.0,0.0,0.0,0.0,0.0,0.80771756,0.07861497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03761272,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3299723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47902596,0.0,0.0,0.0,0.19100179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.22619568,0.0,0.0,0.0,0.055833142,0.076871544,0.0,0.0,0.15363744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060856335,0.05958504,0.0,0.22084561,0.0498628,0.07689064,0.0,0.0,0.019421713
0.0,0.0,0.0,0.0,0.7431151,0.0,0.0,0.0,0.0,0.011015305,0.14478901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101080574,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.10170614,0.0,0.0,0.044780172,0.0,0.0,0.15983878,0.0,0.0,0.0,0.0,0.465781,0.0,0.01744174,0.0,0.0,0.0,0.0,0.102644175,0.0,0.0,0.0,0.10780796,0.0,0.0
0.0,0.0,0.0,0.15015732,0.025864556,0.0,0.0,0.03698481,0.0,0.0,0.0,0.0,0.12820303,0.053955894,0.0,0.0,0.039396122,0.0,0.0,0.040091943,0.0,0.095713064,0.0,0.041977823,0.32048643,0.0671691
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.043259237,0.33854854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14201549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04029062,0.0,0.0,0.0,0.35233566,0.0,0.0835504
