0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.010717388,0.003129578,0.53091955,0.0049716528,0.0,0.0,0.0,0.0,0.4502618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9670893,0.0,0.032910623,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009043839,0.5355357,0.0,0.0,0.0,0.023702398,0.007173896,0.0,0.022238927,0.0076053846,0.39469996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003480326,0.49607646,0.0,0.0,0.47951964,0.0,0.020923585,0.0,0.0,0.0,0.0
