0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,0.0,0.0,0.0,0.017391484,0.05053096,0.0,0.0,0.013209355,0.0,0.0,0.0,0.0,0.054243937,0.0,0.0401335,0.0,0.8244907
0.0,0.0,0.20788679,0.036280468,0.25048658,0.2050763,0.0,0.0,0.0,0.0,0.09950571,0.0,0.0,0.0,0.0,0.0,0.14724243,0.0,0.0535218,0.0
0.0,0.0,0.0,0.0,0.05438639,0.18750547,0.12296811,0.0,0.057939876,0.11050572,0.19315936,0.0,0.11761029,0.0,0.0,0.0,0.0,0.13814907,0.017775677,0.0
0.0,0.17342769,0.022374824,0.0,0.24491331,0.17881669,0.0,0.0,0.0,0.0,0.07882092,0.0,0.029354742,0.0,0.0,0.0,0.12644917,0.0,0.14584266,0.0
0.0,0.1921114,0.015128079,0.17280288,0.0,0.18161671,0.0,0.0,0.046641182,0.0,0.08381297,0.029284088,0.022841956,0.0,0.04581128,0.0,0.115462296,0.0,0.09448713,0.0
0.0,0.12863179,0.085743695,0.06809256,0.15771732,0.0,0.1620731,0.0,0.061573435,0.0,0.021008324,0.0,0.0,0.0,0.04963755,0.0,0.07758373,0.10673054,0.08120792,0.0
0.023362653,0.0,0.12085994,0.00802343,0.035931647,0.18686032,0.0,0.0,0.067237705,0.057910636,0.08056927,0.0,0.17807765,0.034230847,0.06383015,0.0,0.0,0.14168848,0.0014172846,0.0
0.0,0.04482883,0.0,0.070194416,0.0,0.07612517,0.0,0.0,0.17450263,0.044217784,0.11182375,0.2687387,0.04782651,0.0,0.14472549,0.01701677,0.0,0.0,0.0,0.0
0.034071717,0.10633255,0.028726311,0.010644808,0.04160823,0.07122622,0.09026142,0.07344612,0.0,0.054715518,0.0,0.057101533,0.01091031,0.0,0.22454037,0.15173668,0.0,0.04467827,0.0,0.0
0.0,0.0,0.40150246,0.0,0.0005826364,0.12816198,0.0,0.0,0.032215428,0.0,0.0,0.0,0.37277442,0.0,0.0,0.0,0.0,0.064763166,0.0,0.0
0.0,0.0,0.9970983,0.0,0.0029016652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1536838,0.0,0.0,0.05479851,0.044078972,0.0,0.3098353,0.10164679,0.0,0.024698364,0.0,0.08575895,0.0,0.098594174,0.0,0.0,0.0,0.0,0.12690514
0.0,0.0,0.18223538,0.01020893,0.10277781,0.0832326,0.16445322,0.0,0.012049977,0.13931932,0.08244954,0.0,0.0,0.0,0.0,0.0,0.13621984,0.0,0.087053396,0.0
0.0,0.0,0.12011843,0.0,0.063439496,0.2946492,0.21670863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747106,0.030373698,0.0
0.0,0.12024603,0.0,0.0,0.04726616,0.06599672,0.09263532,0.08446337,0.29490355,0.0,0.0,0.066774786,0.0,0.0,0.0,0.18422344,0.0,0.04349058,0.0,0.0
0.14907005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33040315,0.0,0.0,0.0,0.0,0.0,0.29719803,0.0,0.0,0.08904836,0.0,0.13428037
0.0,0.18162301,0.0,0.10750789,0.17172392,0.16183984,0.0,0.0,0.0,0.0,0.07193354,0.0,0.090206385,0.0,0.0,0.0,0.0,0.0,0.21516538,0.0
0.09205021,0.0,0.12610498,0.0,0.0,0.16009873,0.21010414,0.0,0.030617993,0.082398385,0.09177211,0.0,0.0,0.02943964,0.016302286,0.07999558,0.0,0.0,0.0,0.08111598
0.24099794,0.14312701,0.0,0.09808833,0.017752556,0.042374313,0.0,0.0,0.0,0.0,0.0,0.0,0.046973582,0.0,0.0,0.0,0.18633585,0.0,0.0,0.22435045
0.9785842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019250471,0.0,0.002165397,0.0,0.0
