0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.0,0.0,0.0,0.088057496,0.0,0.0,0.0,0.0,0.0,0.0017557528,0.23242734,0.026214624,0.0,0.0,0.0,0.07374693,0.036105875,0.06683887,0.061482165,0.0,0.0,0.0,0.41337085
0.0,0.0,0.0,0.0,0.0,0.10252748,0.3037302,0.20054798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09094397,0.30225042,0.0,0.0
0.0,0.0,0.0,0.0,0.16994995,0.24959555,0.21486668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2317758,0.0,0.13381197,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083149545,0.038592968,0.09189981,0.07991071,0.0,0.244678,0.13970019,0.2568798,0.0,0.0,0.0,0.0,0.06518893
0.0,0.0,0.14478901,0.0,0.0,0.21219163,0.2028371,0.0,0.0,0.0,0.0,0.0,0.0,0.028521964,0.04057506,0.0,0.0,0.0,0.0,0.17684224,0.0,0.19424297,0.0
0.0,0.0,0.15806451,0.032980822,0.12186258,0.0,0.14044636,0.0,0.0,0.0,0.0,0.0,0.02883265,0.05793186,0.062224917,0.033226065,0.025198886,0.032754008,0.0,0.11529735,0.0,0.15491411,0.036265872
0.0,0.0,0.09972985,0.0,0.114908785,0.12174643,0.0,0.09989939,0.1252005,0.0202249,0.0,0.0,0.0,0.0,0.027455907,0.0,0.0,0.0,0.022308053,0.11789947,0.11990793,0.13071875,0.0
0.0,0.038191475,0.0,0.03915379,0.023770789,0.0,0.3416545,0.0,0.041929286,0.06213184,0.025080672,0.0,0.0,0.0,0.0,0.0,0.034145534,0.01005004,0.07192399,0.0,0.31196803,0.0,0.0
0.0,0.0,0.016640766,0.0,0.020237757,0.0,0.6665342,0.0,0.0,9.9199526e-05,0.0018029772,0.007864326,0.0,0.0,0.25561035,0.004733772,0.0042028534,0.009267652,0.013006219,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.11867989,0.0,0.0,0.0,0.0,0.0,0.0,0.06896457,0.042614732,0.081543095,0.057811655,0.0,0.16131744,0.20711346,0.13413236,0.106646396,0.0,0.0,0.0,0.021176446
0.3601166,0.0,0.0,0.0,0.0,0.0,0.0,0.11272249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07995766,0.03762322,0.08067569,0.0,0.0,0.0,0.0,0.32890436
0.026568992,0.0,0.0,0.11176511,0.0,0.0,0.0,0.0,0.0,0.14242308,0.047457915,0.0,0.0,0.0,0.0,0.058195166,0.22285238,0.059863515,0.19687204,0.0,0.0,0.0,0.13400178
0.0,0.0,0.0,0.117168196,0.0,0.0,0.0,0.0,0.0,0.0,0.003789827,0.0,0.0,0.0,0.0,0.41794792,0.0,0.4610941,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.11738085,0.13733502,0.019949647,0.0,0.0,0.0,0.0,0.0,0.06904551,0.0,0.101216875,0.0,0.0,0.1808661,0.10709934,0.19138293,0.0,0.0084542455,0.0,0.007992449,0.059277043
0.0,0.0,0.0,0.1451456,0.0,0.0,0.0,0.0,0.0,0.0,0.09733193,0.0,0.06968847,0.033649612,0.0,0.26839697,0.0,0.2638576,0.0,0.0,0.0,0.0,0.1219298
0.0,0.0,0.0,0.21345636,0.0,0.0,0.0,0.0,0.0,0.0,0.07133791,0.0,0.1906461,0.026750691,0.0,0.0,0.05168455,0.44612437,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.044746332,0.09913095,0.0,0.0,0.0,0.014670415,0.0,0.13084622,0.048933182,0.08897246,0.07027644,0.075895354,0.028382815,0.106376275,0.0,0.086175546,0.14353153,0.0,0.0,0.0,0.06206243
0.0,0.0,0.0,0.20431444,0.0,0.0,0.0,0.0,0.0,0.0,0.08045741,0.0,0.19646056,0.078388184,0.009924943,0.34951058,0.0809438,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.16323449,0.0,0.0,0.0,0.0,0.0,0.09155147,0.07722514,0.04838102,0.071118675,0.036297705,0.0,0.17008953,0.17060971,0.14013895,0.0,0.0,0.0,0.0,0.031353265
0.0,0.0,0.15455812,0.023869127,0.13130812,0.14241208,0.15342726,0.0,0.0,0.0,0.0,0.0,0.02367126,0.049419507,0.05731428,0.020741161,0.016456623,0.026482627,0.0,0.0,0.0,0.17494726,0.025392596
0.0,0.020841476,0.0,0.048839975,0.015266323,0.0,0.29164642,0.31089255,0.021075968,0.072108544,0.0,0.0,0.03458205,0.0,0.0,0.030930702,0.04431049,0.039049435,0.070456006,0.0,0.0,0.0,0.0
0.0,0.0,0.10077561,0.0,0.21484107,0.21213406,0.19833957,0.05371128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22019841,0.0,0.0,0.0
0.13600332,0.0,0.075718544,0.054641884,0.04976915,0.020363566,0.0,0.0,0.0,0.039338972,0.06991582,0.06571446,0.007098666,0.036314312,0.14296527,0.045342147,0.07893008,0.048829578,0.070719615,0.025600119,0.0,0.03273448,0.0
