0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0.0,0.0,0.18383515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10375471,0.1547161,0.12675415,0.0,0.0,0.0,0.0,0.0,0.20876679,0.12513468,0.0,0.0,0.0,0.0,0.0,0.0,0.09703842,0.0
0.0,0.0,0.04132983,0.0,0.101802856,0.024106728,0.0727137,0.061737012,0.0,0.013177551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07169963,0.13334408,0.06917424,0.0,0.10335635,0.009111507,0.0,0.0,0.13599572,0.028456263,0.0984509,0.0,0.0,0.0,0.035543684,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10858549,0.0,0.0,0.0,0.0,0.56993014,0.0,0.0,0.017078537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14379357,0.0,0.0,0.0,0.0,0.16061223,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.27682006,0.089244805,0.0,0.0,0.0,0.0,0.09130147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21056312,0.0,0.0,0.20590758,0.0,0.0,0.0,0.120316446,0.005846479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.22134805,0.09726494,0.0,0.0,0.0,0.0,0.08840177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24337725,0.0,0.0,0.14299768,0.0,0.0,0.0,0.19290358,0.013706687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3386032,0.04932925,0.0,0.029102573,0.0,0.0,0.09750155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16428655,0.0,0.0,0.2538475,0.0,0.0,0.0,0.06732939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25534207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23316962,0.06550392,0.0,0.07970309,0.0,0.0,0.0,0.20655039,0.11220929,0.04752168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61639863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21342689,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077568285,0.053474676,0.041383483,0.0,0.0,0.10276489,0.0,0.0,0.19899717,0.0,0.334222,0.0,0.0,0.0,0.0,0.0,0.0,0.1915895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05559168,0.0,0.013808668,0.009525571,0.036982175,0.0,0.023453427,0.0,0.033598304,0.0,0.0,0.03093711,0.03853719,0.0,0.0,0.13584529,0.033411205,0.07784155,0.04932181,0.016131984,0.012099177,0.0,0.0,0.0,0.0,0.048717737,0.028111337,0.02712129,0.042747263,0.067269355,0.0,0.0,0.16537029,0.0,0.047970578,0.0056070094
0.06419277,0.06468477,0.0,0.022566937,0.0,0.06898608,0.0,0.055035297,0.0,0.14379403,0.08977683,0.0,0.0,0.03507668,0.0,0.0,0.0,0.015093304,0.14546347,0.0,0.092995696,0.03500525,0.0,0.0,0.036830913,0.031479705,0.058928452,0.0,0.0,0.0,0.0,0.0,0.0,0.040089853,0.0,0.0
0.0,0.15505473,0.0,0.0,0.05076295,0.05459025,0.0,0.0,0.0,0.24765004,0.021250285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18172629,0.07813044,0.0,0.0,0.14639236,0.0,0.0,0.0,0.036262445,0.0,0.012781562,0.0,0.0,0.015398585,0.0,0.0,0.0,0.0
0.02411659,0.0,0.0,0.0045673884,0.0,0.007651737,0.0,0.0123326145,0.032546747,0.013671678,0.031332653,0.0,0.0,0.0,0.0360375,0.057774205,0.033031743,0.04036112,0.008648008,0.0,0.0,0.03971694,0.0,0.067771755,0.016264262,0.019869644,0.0,0.3167244,0.0,0.04787006,0.036669895,0.026954927,0.031088274,0.037525468,0.016525192,0.040947206
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044180665,0.0,0.041536964,0.043085925,0.0,0.0046920613,0.0,0.0,0.0,0.0,0.18751945,0.016248958,0.03650364,0.0,0.0,0.0,0.0,0.21368009,0.0,0.0,0.02169326,0.0,0.0,0.06294967,0.0,0.0,0.0,0.05651335,0.04584264,0.09794554,0.0,0.0,0.12760787,0.0,0.0,0.0
0.028710207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28288525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21757616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24691835,0.0,0.0,0.22391002,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.10629952,0.0,0.0,0.0,0.0,0.0,0.06586388,0.0,0.0,0.0,0.27794468,0.0,0.0,0.066228755,0.0,0.18534629,0.0,0.0,0.0,0.0,0.04172832,0.0,0.16129602,0.095292516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21187839,0.0,0.0,0.0,0.0,0.022549702,0.0,0.09707754,0.0,0.0,0.0,0.0,0.12662494,0.102191746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120728806,0.0,0.0,0.02001757,0.0,0.0,0.0,0.0,0.0,0.029722853,0.0,0.0,0.12470994,0.048105028,0.09639337
0.0,0.26578966,0.008688249,0.0,0.13411513,0.08255509,0.014163809,0.10849112,0.0,0.024437936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016127534,0.0,0.0,0.0,0.2836083,0.0,0.0,0.0,0.062023185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
