0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.0,0.0,0.0,0.06888323,0.034165103,0.0,0.0,0.0,0.0,0.043909546,0.0,0.0,0.0,0.29354024,0.0,0.0,0.21492644,0.13032354,0.0,0.0,0.0,0.0,0.2142519,0.0,0.0,0.0,0.0,0.0,0.0
0.08861413,0.0,0.12282221,0.0,0.0,0.0,0.0,0.07124181,0.033308268,0.0,0.0,0.039172,0.0,0.0,0.040476006,0.042052127,0.13808411,0.036147255,0.0,0.061240345,0.0,0.025111746,0.0,0.019559173,0.035716467,0.0,0.12656853,0.0,0.0,0.11988576
0.0,0.0,0.0,0.0,0.0,0.0,0.06535376,0.0,0.0,0.0,0.0,0.0,0.0,0.06804559,0.0,0.0,0.07709129,0.0,0.0,0.0,0.0,0.06089983,0.0,0.0,0.0,0.29977024,0.0,0.3135267,0.11531263,0.0
0.017678274,0.0,0.040504575,0.0,0.22478914,0.17427295,0.19656667,0.0,0.0,0.22245833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071162595,0.0,0.0,0.0,0.060157225,0.0,0.05645658,0.0,0.0
0.052752603,0.0,0.0,0.19093008,0.0,0.13407946,0.14360535,0.03471649,0.04908267,0.15200624,0.17829303,0.0,0.0,0.0042147157,0.03931038,0.0,0.0,0.0,0.0,0.00949047,0.0,0.009104552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024139727
0.008963914,0.0,0.0,0.33498532,0.29558215,0.0,0.11411825,0.0,0.0,0.23729216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038962167,0.0,0.0,0.13875504,0.11889883,0.06991569,0.0,0.0,0.0,0.045838628,0.0,0.0,0.0,0.0,0.20813975,0.0,0.0,0.1496179,0.006338658,0.0,0.0,0.0,0.22353327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08794095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568018,0.0,0.107836924,0.053153977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18773511,0.026206251,0.0,0.38032502,0.0,0.0,0.0
0.0,0.114559196,0.06584208,0.0,0.08857531,0.0,0.0,0.0,0.0,0.1210161,0.12600578,0.0,0.0,0.08217844,0.0,0.0,0.07422538,0.0,0.0,0.0,0.0,0.11373754,0.0,0.0,0.092152014,0.031627547,0.0,0.049477722,0.0,0.04060275
0.08951304,0.0,0.0,0.15024394,0.107886665,0.12557665,0.045464754,0.055769935,0.032273743,0.0,0.107098326,0.0,0.007998916,0.0,0.08705142,0.0,0.0,0.07351761,0.059618045,0.0,0.0,0.0,0.0,0.05798695,0.0,0.0,0.0,0.0,0.0,0.0
0.041656896,0.0,0.050309736,0.0,0.14384775,0.0,0.0,0.040004198,0.16019976,0.15347748,0.0,0.07947346,0.0,0.100766234,0.0,0.0,0.0,0.0,0.0,0.010631502,0.0,0.1272217,0.0,0.0,0.047752764,0.0,0.0,0.0012728779,0.0,0.043385744
0.0,0.049704876,0.07827078,0.0,0.0,0.0,0.1252613,0.0,0.0,0.092367575,0.15561867,0.0,0.0,0.032110833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052027054,0.13211986,0.0,0.14394253,0.13857648,0.0
0.05297358,0.0,0.09823172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19454226,0.2344012,0.0,0.0,0.0,0.0,0.0,0.12494241,0.0,0.080737956,0.0,0.21417092
0.034240365,0.0,0.03313356,0.13102971,0.09433106,0.06555079,0.064074434,0.026324416,0.054950293,0.09146542,0.08152883,0.0,0.0,0.0,0.0,0.02988981,0.0,0.0,0.0,0.04565581,0.0,0.09479566,0.0,0.0,0.07147444,0.009931396,0.0,0.034208138,0.0,0.037415937
0.33979514,0.0,0.0,0.0,0.0,0.0,0.0,0.17280735,0.0,0.0,0.0,0.0,0.23035075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25704676,0.0,0.0,0.0
0.0,0.0,0.62159586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27769107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100713074,0.0,0.0,0.0,0.0
0.041627944,0.071073085,0.20698376,0.0,0.023142012,0.0,0.0,0.0,0.028015273,0.009955062,0.0,0.06678363,0.0,0.104059085,0.0,0.0,0.0,0.0,0.0,0.05298855,0.0,0.12599725,0.0,0.0,0.08071383,0.0264954,0.035319105,0.047522537,0.0,0.07932347
