0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013668333,0.11870496,0.0,0.0,0.22157796,0.0,0.009630993,0.0,0.0115577765,0.0,0.0,0.0,0.6248599
0.03615667,0.0,0.056031357,0.1221376,0.1215264,0.0,0.18165673,0.0,0.0,0.0013054939,0.0370762,0.0,0.051909894,0.0,0.065044336,0.0,0.07882072,0.0,0.040829528,0.076887384,0.0,0.08718351,0.043434102
0.0,0.15811232,0.0,0.20504342,0.06410588,0.0,0.21764411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11196095,0.0,0.0,0.0,0.0,0.07794258,0.0,0.03415087,0.13103983
0.0,0.12931396,0.0,0.0,0.22579041,0.0,0.15082009,0.0,0.0,0.021185698,0.01696225,0.0,0.0,0.08462075,0.0,0.0,0.0,0.0,0.022979056,0.18055984,0.0,0.1677679,0.0
0.0,0.11651924,0.06603683,0.12204931,0.0,0.0,0.20046684,0.0,0.0,0.0075045247,0.04022969,0.0,0.05856193,0.0,0.057875555,0.0,0.075449035,0.0,0.02950695,0.106652535,0.0,0.07973282,0.03941478
0.0,0.0,0.0,0.0,0.0,0.0,0.060417943,0.06978965,0.14232045,0.0,0.120697364,0.18764961,0.0,0.15797901,0.0,0.0,0.03155326,0.0,0.17094773,0.058644928,0.0,0.0,0.0
0.0,0.08635075,0.0,0.09219965,0.211459,0.0,0.0,0.11476583,0.0,0.04259671,0.02845381,0.0,0.0,0.0,0.0,0.08849934,0.0,0.0,0.058433767,0.13038865,0.0,0.14685248,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5848802,0.0,0.0,0.0,0.08597344,0.0,0.0,0.0,0.014479312,0.0,0.08255828,0.0,0.09513343,0.0,0.110801995,0.0,0.02617339
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03357993,0.0,0.06642015,0.032260418,0.0,0.13127878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19711521,0.0,0.06120419,0.0,0.0,0.091336444,0.0,0.16528228,0.22152261
0.076651074,0.0,0.0,0.0,0.0,0.0,0.10746654,0.0,0.0,0.0,0.0,0.04452282,0.07869545,0.0,0.15610197,0.0,0.1650886,0.0,0.11448176,0.0,0.06737506,0.047069836,0.14254683
0.08997954,0.0,0.0,0.0,0.0,0.0,0.08484522,0.0,0.0,0.0,0.16126885,0.0,0.0,0.0,0.21360943,0.03434636,0.17765936,0.0,0.09535145,0.0,0.024431905,0.0,0.11850788
0.0,0.0,0.0,0.0,0.0,0.0,0.11864295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58906716,0.0,0.006398841,0.0,0.0,0.0,0.0,0.0,0.28589106
0.0,0.1763739,0.0,0.028080143,0.1256853,0.13921492,0.0,0.0,0.12122796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08568405,0.12731743,0.0,0.19641635,0.0
0.08978413,0.0,0.0,0.025723906,0.008878856,0.0,0.07430294,0.0,0.0,0.015417783,0.096263126,0.08350273,0.112860456,0.0,0.0,0.0,0.11595625,0.0,0.063312106,0.02421675,0.0,0.048158467,0.24162236
0.0,0.016125094,0.0,0.0,0.0,0.06785113,0.081478976,0.0,0.07289144,0.0,0.20400986,0.19200319,0.0,0.0,0.06189738,0.0,0.026693953,0.0,0.21253432,0.06451462,0.0,0.0,0.0
0.014972966,0.046680283,0.0,0.02175035,0.05447269,0.0,0.07325073,0.0,0.0,0.018581124,0.16068144,0.07774289,0.018670322,0.0,0.09349064,0.025190111,0.0,0.0,0.14597972,0.054372314,0.014097155,0.0969783,0.08308892
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031419523,0.03635375,0.0,0.029465772,0.041934367,0.0,0.114106946,0.007636952,0.0,0.0,0.13063103,0.033444528,0.035334922,0.0,0.105282225,0.0,0.17688277,0.0,0.0,0.025406433,0.06239917,0.07585333,0.09384829
0.0,0.08189421,0.048164967,0.11324298,0.097750604,0.0,0.1853755,0.0,0.0,0.0042421655,0.050283585,0.0,0.04193191,0.0,0.084303744,0.0,0.09367676,0.0,0.022335269,0.0,0.0,0.115039,0.06175932
0.0,0.0,0.0,0.0,0.0,0.0,0.25948304,0.14242686,0.0,0.0,0.051658362,0.02458638,0.0,0.0,0.09797241,0.0,0.15062265,0.0,0.15958574,0.0,0.0,0.0,0.11366456
0.03603023,0.04715494,0.050352804,0.06603037,0.07904667,0.0,0.13061191,0.0,0.0,0.029511714,0.092645004,0.0,0.04467757,0.0,0.073509,0.0,0.10960322,0.0,0.06384739,0.10633936,0.0,0.0,0.07063979
0.14588524,0.0,0.0,0.0,0.0,0.0,0.07539295,0.0,0.0,0.03966318,0.1129479,0.059166208,0.0,0.0,0.23971905,0.0,0.12964234,0.0,0.09583112,0.03301536,0.0,0.06873668,0.0
