0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.0,0.21298686,0.16820247,0.23440258,0.12293221,0.0,0.0,0.032354936,0.0,0.0,0.0,0.0015972872,0.09839262,0.0,0.012988144,0.0,0.08120888,0.0,0.025500445,0.009433569,0.0,0.0
0.14790133,0.0,0.13469796,0.18810508,0.14513013,0.025084792,0.011550956,0.029905682,0.0,0.0,0.0,0.016553625,0.119515754,0.0,0.024556708,0.0,0.08767054,0.0,0.06533875,0.003988702,0.0,0.0
0.17216946,0.19726051,0.0,0.19579153,0.18807098,0.0,0.0,0.0,0.011096398,0.0,0.0,0.0,0.13937162,0.0,0.0,0.0,0.043622542,0.0,0.05261691,0.0,0.0,0.0
0.1442198,0.17536573,0.12902865,0.0,0.1511959,0.0059536826,0.012516807,0.013176784,0.014631244,0.0,0.007663408,0.0,0.13921107,0.0,0.033374757,0.0,0.09578196,0.0,0.077880174,0.0,0.0,0.0
0.11415362,0.20356862,0.16179849,0.23710068,0.0,0.004563893,0.0,0.041018248,0.0,0.0,0.0,0.013897051,0.08932716,0.0,0.013116058,0.0,0.07284951,0.0,0.03254367,0.016063005,0.0,0.0
0.017678928,0.06842321,0.12898467,0.03300892,0.02218534,0.0,0.15618987,0.06337495,0.0,0.0,0.0,0.091070786,0.06573658,0.0,0.04520187,0.0,0.09296613,0.0,0.0443676,0.094755165,0.0,0.07605595
0.029327532,0.035132173,0.061176453,0.028637223,0.03823572,0.03829972,0.0,0.00597769,0.09373921,0.0671371,0.0647684,0.021223797,0.10605111,0.04345197,0.11683039,0.0,0.08038491,0.0,0.106708705,0.020940583,0.0,0.041977175
0.0064628185,0.049366433,0.1298017,0.010913899,0.002888997,0.0,0.11724848,0.0,0.0,0.0,0.0,0.111153066,0.055967286,0.0,0.066309616,0.0,0.11040925,0.0,0.056934502,0.14365864,0.0,0.13888533
0.09881567,0.020632075,0.030317793,0.049738534,0.050330807,0.055645898,0.063564874,0.0,0.0,0.0,0.08212014,0.024376027,0.06581709,0.0,0.1111147,0.0412225,0.041685145,0.061032925,0.13375634,0.0,0.06982954,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06454032,0.0,0.030146081,0.024678359,0.0222254,0.05244272,0.08320692,0.0,0.124996774,0.0,0.0,0.0,0.056044936,0.08183192,0.13762267,0.0,0.037985,0.054716703,0.14406766,0.0,0.0,0.08549446
0.0,0.060646366,0.14303884,0.016304854,0.0,0.13240783,0.11097756,0.14897883,0.0,0.0,0.0,0.0,0.032738745,0.0,0.0,0.0,0.084251024,0.0,0.0,0.21037826,0.0,0.060277708
0.10499895,0.22318059,0.15385929,0.2690784,0.10691296,0.007430135,0.0,0.047818694,0.0,0.0,0.0,0.015496276,0.0,0.0,0.0,0.0,0.038384523,0.0,0.014034318,0.01880589,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09668757,0.27095285,0.11739853,0.29492858,0.12940007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069167174,0.0,0.0,0.0,0.021465337,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14948629,0.2110879,0.12761116,0.226924,0.1538,0.0,0.0,0.0064816545,0.0,0.0,0.0,0.0,0.09159292,0.0,0.0,0.0,0.0,0.0,0.033016134,0.0,0.0,0.0
0.06941832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39237535,0.0,0.3461183,0.0,0.034112323,0.0,0.029074866,0.0,0.0,0.0,0.12890083,0.0,0.0,0.0
0.09283761,0.26697895,0.15046114,0.30506313,0.10990692,0.0,0.0,0.00080118515,0.0,0.0,0.0,0.0,0.04467421,0.0,0.0,0.0,0.02927689,0.0,0.0,0.0,0.0,0.0
0.0,0.0009684925,0.0827315,0.0,0.0,0.17201053,0.09600251,0.2263161,0.0,0.0,0.0,0.3248885,0.0,0.0,0.0,0.0,0.033266537,0.0,0.0,0.0,0.0,0.06381581
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09632733,0.26508483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6385878
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27234134,0.0,0.2656622,0.0,0.0,0.0,0.0,0.0,0.0,0.13087542,0.0,0.0,0.33112103,0.0
