0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07680578,0.0,0.0,0.0,0.30787134,0.0,0.0,0.18942922,0.0,0.0,0.42589366
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07014667,0.25172725,0.0,0.0,0.13506743,0.0,0.0,0.07820279,0.0,0.0,0.0,0.22891797,0.0,0.0,0.17032836,0.06560955,0.0
0.0,0.0,0.04444441,0.0,0.3444314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25568867,0.0841747,0.0,0.20818433,0.063076444,0.0
0.009023891,0.0,0.0,0.4271793,0.0,0.0,0.0,0.0,0.0,0.14346679,0.0,0.0,0.0,0.0,0.18298088,0.0,0.0,0.12544659,0.091536544,0.020365968
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3294729,0.0,0.0,0.0,0.0,0.124787115,0.0,0.06562113,0.0,0.0,0.007844735,0.42655918,0.0,0.0,0.0,0.045714937,0.0
0.07101621,0.0,0.0,0.040693462,0.045472622,0.0,0.0,0.0,0.0,0.025084442,0.0,0.0,0.0,0.14173162,0.07807004,0.37060317,0.09852355,0.0,0.041007865,0.08779698
0.14331032,0.0,0.0,0.14122325,0.1334249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10298824,0.23252237,0.092739694,0.0,0.0,0.0,0.052856393,0.10093483
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060887124,0.0,0.0,0.0,0.110106714,0.0,0.0,0.0,0.05070254,0.20257545,0.0,0.0,0.0,0.061492443,0.0,0.05620439,0.33752224,0.0,0.0,0.120508984
0.28227365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09110653,0.06574535,0.0,0.0,0.0,0.0,0.0,0.023941118,0.15878145,0.0,0.0015140203,0.37663788
0.018782612,0.0,0.063040406,0.25621927,0.17659308,0.0,0.0,0.0,0.0,0.033983428,0.0,0.0,0.0,0.031224167,0.0,0.13345626,0.060244136,0.12498757,0.061834887,0.039634187
0.059366874,0.0,0.0,0.045316707,0.041738216,0.0,0.0,0.0,0.4115163,0.00046043115,0.0,0.0,0.0,0.10301004,0.08383283,0.0,0.11213705,0.0,0.046705812,0.095915705
0.20181888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080308974,0.0,0.0,0.0,0.2780395,0.07454385,0.0,0.0,0.0,0.10420622,0.26108262
0.0,0.0,0.0,0.29965982,0.32990992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37043023,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.18099786,0.35648912,0.32050478,0.0,0.0,0.0,0.0,0.028908907,0.0,0.0,0.0,0.0,0.11309938,0.0,0.0,0.0,0.0,0.0
0.33436653,0.0,0.0,0.04577249,0.0,0.0,0.0,0.0,0.0,0.17749545,0.0,0.0,0.0,0.31822214,0.016030846,0.026865806,0.061390746,0.0,0.019855961,0.0
