0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26729408,0.0,0.0,0.0,0.0,0.0,0.0,0.15740198,0.0,0.0,0.0,0.0,0.0,0.5753039
0.0,0.0,0.0,0.0,0.0,0.0,0.014841757,0.0,0.10476041,0.3862292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17255917,0.3216094,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.20828313,0.0,0.0,0.0,0.34841076,0.0,0.0,0.0,0.0,0.0,0.009156447,0.0,0.0,0.0,0.0,0.0,0.32236776,0.1117819,0.0,0.0
0.0,0.0,0.038273007,0.0,0.03024126,0.022024637,0.0,0.15129837,0.0,0.0,0.122948244,0.1848881,0.0,0.03458371,0.07741449,0.0,0.043765638,0.0,0.15948026,0.0,0.0,0.0,0.0,0.0,0.13508226
0.0,0.0,0.04683477,0.14054365,0.0,0.06409532,0.0,0.14834484,0.0,0.0,0.068481475,0.14327413,0.0,0.006904895,0.06074854,0.0,0.07407575,0.0,0.122894675,0.0,0.038978897,0.0,0.0,0.0,0.084823154
0.0,0.0,0.06883301,0.12331793,0.036014147,0.0,0.0,0.16699512,0.0,0.0,0.09291666,0.16333835,0.0,0.017659593,0.0067754984,0.0,0.038939442,0.0,0.1598759,0.0,0.03590511,0.0,0.0,0.0,0.08942928
0.06872685,0.1827127,0.0,0.035360433,0.0,0.0,0.0,0.0,0.21513872,0.07554227,0.0,0.0,0.0,0.03273425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09236324,0.29047903,0.0,0.0069424156
0.0,0.020032173,0.102819584,0.14314035,0.09859296,0.06305515,0.020276982,0.0,0.038863987,0.0,0.06588849,0.09864002,0.0,0.062997974,0.009913483,0.0,0.061327297,0.0,0.10916545,0.016705547,0.0326058,0.0,0.0,0.0,0.05597478
0.0,0.15805358,0.0,0.0,0.0,0.0,0.14519635,0.0,0.0,0.31368533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107732706,0.27533203,0.0,0.0
0.06105117,0.16379233,0.029086886,0.0,0.025903357,0.10770166,0.0,0.013041013,0.12293745,0.0,0.0,0.0,0.0,0.0,0.0,0.02019717,0.0,0.0,0.0,0.028788365,0.050924335,0.113425955,0.26315042,0.0,0.0
0.0,0.004717671,0.14312528,0.09023887,0.079100005,0.043114536,0.0,0.06783064,0.00980589,0.0,0.0,0.189001,0.0,0.006701581,0.15178387,0.009055571,0.026925612,0.0,0.1785994,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.04338216,0.1341087,0.115328714,0.071113035,0.041558467,0.0,0.05854068,0.06962995,0.0,0.10405368,0.0,0.0,0.08889773,0.0,0.0,0.024674179,0.0,0.15671894,0.0,0.09199372,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11778013,0.026542747,0.0,0.07419179,0.0,0.0,0.09768245,0.034847308,0.055608742,0.0,0.0,0.14361538,0.0,0.0,0.0,0.0,0.007431181,0.0,0.12216976,0.0,0.20697255,0.0,0.0,0.0,0.11315802
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052169748,0.0,0.0,0.33372906,0.32260224,0.0,0.0,0.0,0.0,0.0,0.0,0.29149893,0.0,0.0,0.0,0.0,0.0,0.0
0.20264629,0.0,0.0,0.0,0.045891587,0.20227514,0.0,0.024371466,0.0,0.10143333,0.0372278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20867062,0.103764124,0.056576684,0.0,0.017143039
0.0,0.0,0.0,0.021984356,0.0,0.0,0.0,0.0658765,0.0,0.0,0.0,0.13463318,0.0,0.0,0.0,0.0,0.0,0.0,0.10108773,0.0,0.0,0.0,0.0,0.19082022,0.48559803
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07602815,0.10926982,0.0327195,0.019620616,0.0,0.07936932,0.0,0.0,0.1442141,0.23350532,0.0,0.07285439,0.05075834,0.0,0.04365557,0.0,0.0,0.0,0.08891303,0.0,0.0,0.0,0.0490919
0.0,0.1754838,0.0,0.0,0.0,0.0,0.0,0.119869925,0.019079655,0.2978862,0.0,0.0,0.0,0.0,0.0,0.122030795,0.07803155,0.0,0.0,0.0,0.0,0.16623971,0.02137838,0.0,0.0
0.0,0.037049808,0.11917928,0.087077186,0.062411103,0.067600384,0.0,0.048306514,0.053139582,0.053736284,0.0,0.13173006,0.0,0.103021875,0.0,0.013394236,0.037908982,0.0,0.10943881,0.015712565,0.0,0.0,0.02752529,0.0,0.032768067
0.0,0.0,0.01662753,0.0,0.0,0.11809098,0.0,0.0,0.0,0.86528146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.069436826,0.19539504,0.0,0.059174813,0.0,0.0,0.1430941,0.04150054,0.16409773,0.16601305,0.0,0.03473429,0.0,0.0,0.0,0.0,0.03447357,0.0,0.0,0.0,0.04390289,0.005715421,0.0,0.0,0.0424617
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.008206088,0.09550431,0.10124384,0.010283311,0.0,0.044550594,0.12436792,0.07768934,0.0,0.0,0.121236324,0.0,0.12431171,0.0,0.0,0.15453747,0.0,0.13146046,0.0,0.0066085574,0.0,0.0,0.0,0.0
