0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2736172,0.14262308,0.015983684,0.0,0.0,0.0,0.31115702,0.256619
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.33676258,0.0,0.0,0.048495814,0.0,0.0,0.0,0.0,0.54087776,0.073863864
0.0,0.32087106,0.0,0.2068675,0.0,0.0,0.014586332,0.0,0.0,0.026788525,0.43088663
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.34580874,0.0,0.6541912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.41191027,0.0,0.21143015,0.36058927,0.0,0.0,0.0,0.0,0.016070323,0.0
