0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09059135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08988633,0.024034008,0.14366253,0.0,0.0,0.0,0.080044955,0.0,0.088927336,0.0,0.0,0.06750427,0.0,0.0,0.06710194,0.065726906,0.085199475,0.07819033,0.0,0.119130604
0.0,0.0,0.0,0.03245479,0.17622504,0.0,0.09662878,0.09955991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28899547,0.088135146,0.10066396,0.0,0.0,0.0,0.0,0.0,0.034436394,0.0,0.08290048,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.076593004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92340696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02315529,0.17966183,0.0,0.0,0.0483205,0.0,0.0,0.0,0.0,0.14481667,0.16934806,0.0039481986,0.0,0.0,0.0,0.17862217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024790207,0.19291154,0.0,0.0,0.0,0.0,0.0,0.0,0.03442559
0.0,0.13805127,0.0,0.0,0.0,0.1229293,0.086931854,0.08762089,0.044774488,0.0022637472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03313265,0.0,0.013284669,0.061385997,0.0,0.05764971,0.032712065,0.0,0.0028431301,0.0,0.0,0.119136184,0.0,0.09108735,0.0,0.048781384,0.040384028,0.017031318,0.0,0.0
0.0,0.06521317,0.0,0.036785807,0.058660332,0.0,0.086943574,0.1145411,0.0,0.12524737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089754805,0.07016185,0.110323794,0.0,0.0,0.0,0.0,0.0,0.10382718,0.049512736,0.08902822,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.12644981,0.0,0.0,0.19021511,0.30986372,0.0,0.10963548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15229422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022631733,0.0,0.08890995,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.18542887,0.0,0.0,0.16461843,0.36593482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11127423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101785295,0.0,0.07095827,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07110707,0.0,0.0,0.0,0.0,0.0,0.16292544,0.0,0.3821795,0.0,0.0,0.0,0.0,0.0,0.09571616,0.121160984,0.14458746,0.022323413,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22441624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77558374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
