0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4733902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5266098,0.0,0.0,0.0,0.0,0.0
0.0,0.13067833,0.0,0.0,0.21052197,0.0,0.0,0.0,0.0,0.0,0.24270229,0.25742322,0.0,0.0,0.0,0.0,0.0,0.15867427,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66854995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25298643,0.0,0.0,0.078463696
0.0,0.0,0.098447345,0.0,0.0,0.0,0.0,0.0,0.0,0.04381794,0.10222689,0.49501857,0.0,0.0,0.05256758,0.0,0.0,0.20792167,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.14650401,0.0,0.0,0.0,0.0,0.22938704,0.0,0.0,0.0,0.059756678,0.04206506,0.23808785,0.0,0.0,0.0,0.12935182,0.0,0.0,0.0,0.15484747,0.0,0.0
0.0,0.0,0.10616564,0.0,0.0,0.0,0.14399503,0.0,0.0,0.0,0.0,0.032980364,0.04966125,0.0,0.0,0.18515375,0.0,0.0831537,0.0,0.0,0.19174494,0.0,0.0,0.20714523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36028048,0.5548253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04274953,0.0,0.0,0.042144675
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592706,0.5410304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078479506,0.0,0.0,0.121219456
0.0,0.0019116129,0.14995146,0.0,0.1893867,0.0,0.0,0.0,0.10405618,0.07225368,0.0,0.10424468,0.0,0.106911816,0.056011446,0.0,0.0,0.041897252,0.17337511,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.13701534,0.0,0.30242,0.0,0.0,0.0,0.09754477,0.06421969,0.20004977,0.0,0.0,0.0,0.0,0.0,0.006039669,0.19271073,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.22382684,0.0,0.0,0.061480884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430166,0.0,0.0,0.28452635
0.0,0.0,0.0,0.020410964,0.0,0.0,0.04768456,0.0,0.0,0.0,0.091084145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408204,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.102823555,0.0,0.0,0.35860702,0.0,0.0,0.019208254,0.0,0.095127776,0.0,0.0,0.0,0.0,0.0,0.0,0.16775706,0.22610296,0.0,0.0,0.030373408
0.0,0.0,0.036300734,0.0,0.4686468,0.0,0.0,0.0,0.31798956,0.0,0.0,0.16395561,0.0,0.0,0.0,0.0,0.0,0.013107241,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.21944466,0.0,0.23640136,0.0,0.0,0.0,0.053197663,0.0,0.20487045,0.28608587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5717977,0.4282023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12782392,0.0,0.17079641,0.0,0.048211496,0.0,0.0,0.0,0.0,0.0,0.0,0.115962945,0.13854446,0.0,0.0,0.19639985,0.0,0.2022609,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36467853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63532144
0.0,0.0,0.01883408,0.0052458355,0.0,0.0,0.04339311,0.0,0.0,0.0,0.0,0.0059239124,0.0,0.9173404,0.0,0.0,0.009262644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13867281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8613272,0.0,0.0,0.0
