0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0005638718,0.0,0.03451432,0.0,0.0,0.0,0.0,0.0,0.0,0.017344607,0.0,0.039488394,0.0,0.9080888
0.0,0.0,0.0,0.17846736,0.04097837,0.23185325,0.0,0.0,0.0,0.0,0.24526286,0.07927622,0.0,0.1263982,0.0,0.0,0.09776369,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1609367,0.020661464,0.0,0.0,0.16708158,0.46098727,0.0,0.032908358,0.1573332,0.0,0.0,0.0,9.138564e-05,0.0,0.0
0.0,0.1832934,0.0,0.0,0.16828586,0.20981742,0.0,0.0,0.0,0.0,0.115472175,0.088804305,0.03008722,0.0068030157,0.0,0.0,0.1090527,0.0,0.088383906,0.0
0.0,0.1137843,0.06549057,0.18421626,0.0,0.2000154,0.0,0.0,0.0,0.0,0.21371041,0.04949416,0.0,0.10363782,0.0,0.0,0.06965111,0.0,0.0,0.0
0.0,0.14031917,0.1121889,0.12697224,0.052650146,0.0,0.11621873,0.0,0.0,0.06500675,0.12094291,0.06534139,0.008199245,0.067285836,0.004491982,0.0,0.071666494,0.046500396,0.0022157482,0.0
0.0,0.0,0.15874048,0.017816551,0.0,0.21713305,0.0,0.0,0.013930026,0.07973192,0.14003566,0.014822111,0.18024582,0.08141785,0.011644261,0.0,0.0,0.084482275,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.022094166,0.0,0.0,0.34192586,0.0,0.013457765,0.21051477,0.012671705,0.0,0.29174408,0.0,0.0,0.0,0.0,0.10759164
0.0,0.0674415,0.109863706,0.05399426,0.0,0.13017397,0.050171528,0.0,0.0,0.090285055,0.066717714,0.105981894,0.0,0.055249285,0.15358081,0.1165402,0.0,0.0,0.0,0.0
0.0,0.0,0.31168294,0.0,0.0,0.13404883,0.0051561547,0.0,0.0,0.0,0.13485722,0.0,0.29003394,0.12422097,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01581788,0.36053792,0.14792128,0.0,0.15166713,0.0,0.0,0.0,0.0,0.0,0.07484221,0.049930688,0.1767397,0.0,0.0,0.019877074,0.0026661372,0.0,0.0
0.0,0.06643392,0.0,0.0,0.056061905,0.02340906,0.0,0.2538281,0.15463452,0.0,0.031675287,0.0,0.0677172,0.0,0.14609511,0.053185344,0.0,0.0,0.0,0.14695951
0.0,0.0,0.15831617,0.05797355,0.0,0.08547408,0.094862156,0.0,0.0,0.18647277,0.19910935,0.08838868,0.0,0.08917021,0.0,0.0,0.04023311,0.0,0.0,0.0
0.0,0.0,0.1050441,0.07302442,0.0,0.25925806,0.22442946,0.0,0.0,0.0,0.10745538,0.045051873,0.0,0.0,0.0,0.0,0.0,0.18573664,0.0,0.0
0.0,0.11227939,0.08480903,0.047235787,0.0,0.12977561,0.080095634,0.0,0.1791205,0.0,0.05359358,0.10285324,0.0,0.043345556,0.0,0.16689163,0.0,0.0,0.0,0.0
0.067930765,0.0,0.0,0.006460058,0.0,0.0,0.0,0.0,0.33766824,0.0,0.0,0.011142295,0.0,0.0,0.35287812,0.0,0.0,0.12578923,0.0,0.098131336
0.0,0.16242711,0.0,0.13863863,0.09605759,0.17905053,0.0,0.0,0.0,0.0,0.11710113,0.089152575,0.090978116,0.012115311,0.0,0.0,0.0,0.0,0.11447902,0.0
0.0,0.0,0.159405,0.030523526,0.0,0.17656083,0.16672727,0.0,0.0,0.06311386,0.19363023,0.039357796,0.0,0.09848597,0.0,0.0627964,0.0,0.0,0.0,0.009399091
0.0,0.10327947,0.047047976,0.15533888,0.0549519,0.13678207,0.0,0.0,0.0,0.0,0.15117359,0.0,0.1020316,0.0512328,0.0,0.0,0.19816169,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
