species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Capitis,0.8770335430723308,0.8213441666609229,0.00871764942583092,0.007989033406637314
Staphylococcus_Haemolyticus,0.8767854323035159,0.8124132517734735,2.7923363090653908e-05,0.0037003920198314666
Enterococcus_Faecium,0.9653871371393488,0.7908901532384607,0.0018603613012263542,0.011886386139498994
Pseudomonas_Aeruginosa,0.9114174304892156,0.7856860263490135,0.005149058199706791,0.014194713149793647
Staphylococcus_Epidermidis,0.9105604859824468,0.7769437518717459,0.0021351929298016326,0.014834483024368184
Klebsiella_Variicola,0.8360604459489377,0.7566907348474773,0.008492291007639263,0.016644566496058943
Staphylococcus_Aureus,0.9035114985033115,0.732089900634958,0.0034122126243094075,0.0062303857237056
Staphylococcus_Lugdunensis,0.8716089807820047,0.7222397184883882,0.018523968555965553,0.018622705652904192
Klebsiella_Pneumoniae,0.852763326379604,0.7110407233534062,0.0046544293478699705,0.007290560419181691
Stenotrophomonas_Maltophilia,0.9224025340832531,0.7092417037304999,0.014230185826222319,0.040933425967913495
Staphylococcus_Hominis,0.7930063196237116,0.7021335164455016,0.011162380103750646,0.012595182420492346
Proteus_Mirabilis,0.8828118899750066,0.6908552014495103,0.0007782260702050015,0.0019728795932090204
Escherichia_Coli,0.8382418037154863,0.690842240874934,6.730256800202561e-05,0.0023994688537505304
Serratia_Marcescens,0.8649720544312067,0.6886883406237176,0.008466845797808542,0.009193269354698164
Candida_Albicans,0.7062230277343362,0.671227035156355,0.016584173437947658,0.056288384908732725
Klebsiella_Oxytoca,0.853791853672256,0.6677888217237067,0.0035795244970849294,0.018562328648961512
Citrobacter_Koseri,0.8754731034057412,0.6598848804526366,0.005863504206958414,0.01326623210177702
Enterococcus_Faecalis,0.9735662421427194,0.656827097631936,0.0011772161141858084,0.01935605974084631
Streptococcus_Pneumoniae,0.7672540843330302,0.6553210605924857,0.039263313023487345,0.03050140866356138
Enterobacter_Cloacae,0.7811351250273051,0.635453480979774,0.013181976239146742,0.027857022587830238
Citrobacter_Freundii,0.8281429496468005,0.6325296910072463,0.022276487327152317,0.01081889388711621
Campylobacter_Jejuni,0.9007995922604282,0.611340952690124,0.008381365752581804,0.013548737221680374
Morganella_Morganii,0.881071348764765,0.601542172788379,0.001588837053315639,0.022755174213756058
Proteus_Vulgaris,0.929049751741401,0.5997456061701285,0.0013270461517720378,0.09128936987620812
Haemophilus_Influenzae,0.7570606078673503,0.5741617578244749,0.02489740501978338,0.07633083951550829
