species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.9567122936041594,0.8943381190262569,0.0012062650046494316,0.0006998440229841751
Staphylococcus_Hominis,0.956739590004315,0.8927418059767664,0.0025536384618062846,0.010092282325223634
Staphylococcus_Capitis,0.9564936090775652,0.8869805849250115,0.004403402204350759,0.012483966549110215
Staphylococcus_Epidermidis,0.9819682184529548,0.8785402895004292,0.0007463949865468833,0.005508923493645401
Klebsiella_Pneumoniae,0.9625330393221411,0.8708422902740551,0.0023670555838476437,0.01394152374650337
Proteus_Mirabilis,0.9569687175411237,0.8654051143812271,0.0007960825458450671,0.0037417491238815326
Enterobacter_Cloacae,0.919324124756767,0.8616460952326299,0.0073917427542636305,0.01508112973438458
Escherichia_Coli,0.9480208350062866,0.860008327920195,0.00022453044517367626,0.00102857328437167
Enterococcus_Faecium,0.9730827460672268,0.8290901038979891,0.0017364224221985136,0.006364868038065352
Staphylococcus_Aureus,0.9694926638504546,0.8188843889930071,0.0015883601925875679,0.0007379581943077196
Staphylococcus_Lugdunensis,0.9005998934869048,0.813147352987162,0.006817828261360626,0.007775315696576468
Pseudomonas_Aeruginosa,0.9549109055894813,0.8073503188135034,0.00044199624497620604,0.03586226558840133
Klebsiella_Oxytoca,0.9152196854286574,0.7916040818998735,0.022244822377393725,0.0229643720716744
Citrobacter_Freundii,0.9018904718299717,0.7834340466012192,0.0053625972969768565,0.002045555521416942
Citrobacter_Koseri,0.9038185643708723,0.7725742002175373,0.0013035201421378595,0.04332471933334475
Klebsiella_Variicola,0.8159546075340843,0.7656826645143384,0.0037275759268581288,0.029411701738356666
Serratia_Marcescens,0.8884553601921514,0.7606576954769597,0.0027744350217621117,0.003894809010633715
Morganella_Morganii,0.9209550816122515,0.7421818910733873,0.006096639209949406,0.007550221356673159
Streptococcus_Pneumoniae,0.816377147187646,0.7413243576743413,0.03694062592966868,0.0031016330724051855
Enterococcus_Faecalis,0.9815669976952333,0.7321918350259128,0.0002486599359280417,0.01989260383954805
Candida_Albicans,0.7535636181498919,0.7230024151058532,0.03372966215155243,0.04360597568859281
Stenotrophomonas_Maltophilia,0.9169855380813804,0.7147882672012836,0.012169217442412061,0.042888967914127774
Campylobacter_Jejuni,0.8876564192474128,0.6577898870551099,0.007156714930440622,0.015381551685331729
Proteus_Vulgaris,0.9334990003313142,0.6424327731833517,1.94681675715902e-05,0.08918586428004338
Haemophilus_Influenzae,0.7680853646021615,0.5875462664787544,0.023393141423137254,0.01081928844659874
