species,auc_micro,auc_macro,auc_micro_std,auc_macro_std,alpha_mean
Staphylococcus_Haemolyticus,0.883682273242482,0.7993550100218666,8.355961788403254e-05,0.010243602684293363,0.20000000298023224
Staphylococcus_Capitis,0.8928831352443463,0.7933903228283536,0.00841576043402742,0.003572972184280765,0.20000000298023224
Staphylococcus_Epidermidis,0.9124406745240865,0.7752480746923003,0.0003376367934567748,0.004306764700645449,0.20000000298023224
Enterococcus_Faecium,0.962970663450681,0.7689036864000169,0.000974046668332007,0.003182125214171383,0.20000000298023224
Pseudomonas_Aeruginosa,0.9132793816996239,0.7635773048935803,0.00221118553437033,0.007330371141805625,0.20000000298023224
Klebsiella_Variicola,0.8006798407608569,0.7414767151568693,0.02039975102905639,0.027973141024593196,0.20000000298023224
Staphylococcus_Aureus,0.9089602746295762,0.7342540156727044,0.0031967956059490987,0.022981137468578827,0.20000000298023224
Proteus_Mirabilis,0.8891029704791316,0.7094801540498408,0.003092702339724862,0.009082274900383103,0.20000000298023224
Stenotrophomonas_Maltophilia,0.9126413161235758,0.7064412537751066,0.017417941812223114,0.03244991590012575,0.20000000298023224
Klebsiella_Pneumoniae,0.8561422347915593,0.7055562984357504,0.004084738411403055,0.020976108096633583,0.20000000298023224
Candida_Albicans,0.7091150349159043,0.6921451113472922,0.033872195563475926,0.06546461193514252,0.20000000298023224
Staphylococcus_Lugdunensis,0.833484243578924,0.6738791396044099,0.00835223235797028,0.018829601961849407,0.20000000298023224
Citrobacter_Koseri,0.8768107480501859,0.672543783829001,6.228983429240609e-05,0.004242337198412605,0.20000000298023224
Serratia_Marcescens,0.8418465589728354,0.6714714269433504,0.008934665096997751,0.014600850651452946,0.20000000298023224
Enterococcus_Faecalis,0.9766689143526482,0.6700109793184332,0.00025454004067471114,0.0011318420911133331,0.20000000298023224
Staphylococcus_Hominis,0.8126228346991824,0.6689836898254298,0.016192639539678366,0.00042119925355937893,0.20000000298023224
Escherichia_Coli,0.8483382800953394,0.6688432228831156,0.00027788550957003055,0.012058458557303087,0.20000000298023224
Streptococcus_Pneumoniae,0.7541805631331601,0.6618008304565106,0.027999217883551863,0.03380466146471578,0.20000000298023224
Proteus_Vulgaris,0.9295756804887167,0.6270778416225484,0.0015167298505912585,0.0825010176847843,0.20000000298023224
Klebsiella_Oxytoca,0.8544446405471862,0.6244109996221823,0.00016894841071302125,0.021507545955785357,0.20000000298023224
Enterobacter_Cloacae,0.7875376484337555,0.6156057290021599,0.0008663226578924377,0.01423037772344532,0.20000000298023224
Citrobacter_Freundii,0.8260792978902178,0.6114046369889988,0.0016778710263301577,0.02017288637932757,0.20000000298023224
Morganella_Morganii,0.8723240030704827,0.606374388254436,0.00674979819803212,0.051181952298450684,0.20000000298023224
Campylobacter_Jejuni,0.8886099047683367,0.6036941707012955,0.011153548809428038,0.001298809754410657,0.20000000298023224
Haemophilus_Influenzae,0.7692653628884834,0.5608787037856009,0.032103948086790124,0.045399186781098826,0.20000000298023224
