species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.9386922573980481,0.8938771594759107,0.011615747804947648,0.01933740390927111
Staphylococcus_Capitis,0.924949664074226,0.8696899899946999,0.027540143245881506,0.051705391584167405
Enterococcus_Faecium,0.9664484942518079,0.8129013321009632,0.0030945035396252154,0.01828323131349451
Staphylococcus_Hominis,0.8570194249078948,0.8095292274829605,0.022208824114945316,0.0219571133983782
Staphylococcus_Epidermidis,0.9259141685151322,0.8066992113624053,0.003766394124908721,0.015423597802465524
Klebsiella_Variicola,0.8718091510016434,0.7978956501486577,0.02489136942509899,0.06731974073805283
Streptococcus_Pneumoniae,0.836507372211184,0.7957025062588386,0.033492988453245165,0.039113737094825504
Stenotrophomonas_Maltophilia,0.9404476384567009,0.770830934593633,0.01513832588872817,0.036766936267961466
Staphylococcus_Lugdunensis,0.8727171134369207,0.7663460965213811,0.0424259101943327,0.08374968313577973
Staphylococcus_Aureus,0.8956362599413478,0.7660956774332852,0.015706513871369513,0.020649627303507764
Proteus_Vulgaris,0.9394282634944646,0.7470817567579772,0.012967031307518586,0.07547599669196099
Campylobacter_Jejuni,0.9153628185238907,0.7243995341740467,0.018361760133685616,0.09362541010051166
Klebsiella_Pneumoniae,0.8469575649033532,0.7181337656640899,0.006211295929568808,0.013863245447677157
Pseudomonas_Aeruginosa,0.8749502514323501,0.7173439703018034,0.018913281524927036,0.03543729328602001
Candida_Albicans,0.8038784218588388,0.715641752886462,0.059606325942105104,0.11420194659893733
Enterobacter_Cloacae,0.8296475896220799,0.7065258920654087,0.013372835552176634,0.031045683824542772
Serratia_Marcescens,0.8746356351267697,0.7048408928593985,0.022461648751654486,0.02666342996477302
Klebsiella_Oxytoca,0.8678434578942079,0.6992235777276827,0.0323539288091749,0.06995253631214071
Escherichia_Coli,0.837034839428408,0.6967469042841048,0.007319957412915632,0.025548236669553716
Enterococcus_Faecalis,0.9686313698623872,0.6956915848114987,0.0034294942563636833,0.03873898908045887
Proteus_Mirabilis,0.8683506732574555,0.6911662971074065,0.013284855989164669,0.017463664240175588
Haemophilus_Influenzae,0.7920454932955034,0.6880236375124229,0.04116752135881265,0.05158839676889118
Morganella_Morganii,0.8830873203298554,0.6742051290327324,0.017371471105862478,0.028330228725498768
Citrobacter_Freundii,0.8581592606862263,0.6593174304518017,0.016321788107800744,0.07140358796478072
Citrobacter_Koseri,0.883213056869222,0.633679077402763,0.03463536807390338,0.05750345245459593
