model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,1,16,Cefpodoxime,1283,0.9067961960977209
species_multihead_no_enrichment,1,17,Ceftazidime,7734,0.8481598616682813
species_multihead_no_enrichment,1,18,Ceftolozane-Tazobactam,21,0.5111111111111112
species_multihead_no_enrichment,1,19,Ceftriaxone,5337,0.8997268664276598
species_multihead_no_enrichment,1,20,Cefuroxime,6803,0.8847022009905526
species_multihead_no_enrichment,1,21,Chloramphenicol,1574,0.9480952938445961
species_multihead_no_enrichment,1,22,Ciprofloxacin,12253,0.8720981496271805
species_multihead_no_enrichment,1,23,Clarithromycin,269,0.6908808628860925
species_multihead_no_enrichment,1,24,Clindamycin,3353,0.9052514243249938
species_multihead_no_enrichment,1,25,Colistin,7730,0.9789848992250365
species_multihead_no_enrichment,1,26,Cotrimoxazol,290,0.8337491090520314
species_multihead_no_enrichment,1,27,Cotrimoxazole,5544,0.8585961491413527
species_multihead_no_enrichment,1,28,Daptomycin,3547,0.8665909736020437
species_multihead_no_enrichment,1,29,Doxycycline,171,0.5727023319615911
species_multihead_no_enrichment,1,30,Ertapenem,7258,0.9363472240444328
species_multihead_no_enrichment,1,31,Erythromycin,3453,0.8977885316655679
species_multihead_no_enrichment,1,32,Fluconazole,74,0.5391304347826087
species_multihead_no_enrichment,1,33,Fosfomycin,6008,0.7510974938082475
species_multihead_no_enrichment,1,34,Fusidic acid,2522,0.8806315741193738
species_multihead_no_enrichment,1,35,Gentamicin,8376,0.9142413403857292
species_multihead_no_enrichment,1,36,Gentamicin_high_level,119,0.7247191011235955
species_multihead_no_enrichment,1,37,Imipenem,11492,0.9707506077137315
species_multihead_no_enrichment,1,38,Itraconazole,72,0.6088657105606259
species_multihead_no_enrichment,1,39,Levofloxacin,9073,0.8839373896150569
species_multihead_no_enrichment,1,40,Linezolid,3827,0.9444553548049227
species_multihead_no_enrichment,1,41,Meropenem,9788,0.9372062097701164
species_multihead_no_enrichment,1,42,Meropenem_with_meningitis,27,0.34722222222222215
species_multihead_no_enrichment,1,43,Micafungin,74,0.9068627450980392
species_multihead_no_enrichment,1,44,Minocycline,1955,0.8708862375263738
species_multihead_no_enrichment,1,45,Moxifloxacin,159,0.9947076612903226
species_multihead_no_enrichment,1,46,Mupirocin,1683,0.9540461838809973
species_multihead_no_enrichment,1,47,Nitrofurantoin,4222,0.9020053728000228
species_multihead_no_enrichment,1,48,Norfloxacin,4927,0.8640017667051488
species_multihead_no_enrichment,1,49,Oxacillin,3152,0.9148273741287122
species_multihead_no_enrichment,1,50,Penicillin,3445,0.9476145490601883
species_multihead_no_enrichment,1,51,Penicillin_with_meningitis,62,0.6970172684458399
