model_mode,mean_global_auc,std_global_auc,mean_macro_antibiotic_auc,std_macro_antibiotic_auc,mean_final_gamma,std_final_gamma,mean_final_gamma_pair_std,mean_final_gamma_pair_min,mean_final_gamma_pair_max,n_folds
bio_prior_gated_species_head,0.9269480949192772,0.001464070772563527,0.8533301520573902,0.006637727329913063,0.1357317239046097,0.0017692718561730357,0.0920959770679474,0.02580001689493656,0.8471085548400878,5
bio_prior_gated_implicit_hypernetwork,0.9248903502029393,0.0014195507932272518,0.8460797142673101,0.012198787515497479,0.13672241270542146,0.0016989725255959253,0.09312578737735748,0.02268666382879019,0.828431499004364,5
