species,auc_micro,auc_macro,auc_micro_std,auc_macro_std,alpha_mean
Staphylococcus_Capitis,0.8883723857963066,0.794020548863263,0.010195965660395767,0.01177736159349041,
Staphylococcus_Haemolyticus,0.8818008035238485,0.7936121827964524,0.00035592622047248,0.0023411035678737036,
Enterococcus_Faecium,0.9660717792708118,0.7859086097743277,0.002078233083634584,0.005695164309918399,
Pseudomonas_Aeruginosa,0.9123141549486764,0.7720938063073881,0.00022179138981170965,0.017223974802501207,
Staphylococcus_Epidermidis,0.9074205692535016,0.7583902315431403,0.005947992914067446,0.005551361538044752,
Klebsiella_Variicola,0.8169655232257442,0.742354168250577,0.018864026329066474,0.01974787170077219,
Staphylococcus_Aureus,0.9084164857810418,0.7307718153824425,0.0026247699110265588,0.017678725202547263,
Klebsiella_Pneumoniae,0.860989204783909,0.7202787095508801,0.002305430703164413,0.012075115554773697,
Stenotrophomonas_Maltophilia,0.9202823621316769,0.7163143176528419,0.017132026528915045,0.04772509677240461,
Proteus_Mirabilis,0.8863162799887505,0.706504200223367,0.002023844403591657,0.0030206915619960806,
Staphylococcus_Hominis,0.806434826471166,0.6855218059311838,0.021159789381458738,0.002839380286288884,
Candida_Albicans,0.7341656562644114,0.683772301174167,0.04437736236652845,0.06990168335330532,
Citrobacter_Koseri,0.8810688796134594,0.6799267021783686,0.003377892344338884,0.025101833930423145,
Serratia_Marcescens,0.8506393190554455,0.6751139250446543,0.00505390839983022,0.01118198682846211,
Escherichia_Coli,0.8472252388768879,0.6643278810719611,0.005579052905899607,0.01255133094483496,
Staphylococcus_Lugdunensis,0.8547932822982423,0.6631922043556033,0.012082589389344978,0.008206537198847397,
Streptococcus_Pneumoniae,0.7592811385194431,0.6459690425260499,0.029983628116787286,0.020426857992516867,
Enterococcus_Faecalis,0.9753312869419923,0.6417226620716576,0.000585045875524437,0.0034442124641572147,
Klebsiella_Oxytoca,0.8550582907584616,0.6403755781824595,0.008404821863906176,0.02291971536839088,
Proteus_Vulgaris,0.9272516652826885,0.6383611821727069,0.00326625100758543,0.0983638349715194,
Enterobacter_Cloacae,0.7853977275043058,0.6302491780334991,0.011167293396333655,0.05504393030937965,
Haemophilus_Influenzae,0.7694463153653719,0.6047578806643416,0.031087325652872977,0.030483431861966448,
Citrobacter_Freundii,0.8368147134737118,0.6017418013917742,0.010754214942908513,0.016292937339675295,
Campylobacter_Jejuni,0.8915498113532219,0.5926552773305008,0.011118727972620644,0.020019458900351284,
Morganella_Morganii,0.873081582140559,0.5828570897046992,0.0028725578964471365,0.014079757330611564,
