species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.9379028161893135,0.9009342205499538,0.016770311641753823,0.01659901437498866
Staphylococcus_Capitis,0.9167959153109638,0.8573850584614533,0.02262601598475563,0.022791726342836008
Enterococcus_Faecium,0.969516889406394,0.8376467117105697,0.0035321336412540705,0.01915345921572764
Staphylococcus_Epidermidis,0.9350409561827735,0.8265426470327828,0.006423500436872101,0.023065174944028464
Klebsiella_Variicola,0.8648482515801634,0.7993704508144382,0.02324114178621375,0.05531256070620479
Streptococcus_Pneumoniae,0.848056782056293,0.7991607072737541,0.04098755000071083,0.03362951715730016
Staphylococcus_Hominis,0.8489788486402144,0.7923448805033199,0.015346900993681528,0.01450966961314752
Staphylococcus_Aureus,0.918465416231202,0.7899669452495526,0.005932793708350093,0.0189626763452997
Pseudomonas_Aeruginosa,0.9302533874851215,0.7828081029428992,0.003875656113864687,0.03538618972029564
Stenotrophomonas_Maltophilia,0.9283202557906692,0.7624516799672507,0.013963678643065186,0.04836186118035469
Klebsiella_Pneumoniae,0.871531665121052,0.7581287347415515,0.0021975002325331167,0.007951730960791376
Staphylococcus_Lugdunensis,0.8601830892799478,0.7500278181550902,0.03374261353575036,0.07915870711253124
Proteus_Vulgaris,0.9490540031339336,0.7409297716541889,0.01219549448069753,0.05492156406655138
Klebsiella_Oxytoca,0.870381793753434,0.7330276293898704,0.01804092045914813,0.05510965957947838
Citrobacter_Koseri,0.8868855799698887,0.7329215575258079,0.02450949624134575,0.04425053839709362
Escherichia_Coli,0.8572663027932625,0.7267227799780905,0.0074966357914757475,0.018447560372506642
Serratia_Marcescens,0.8885525208324699,0.7235828933789347,0.016133295199301702,0.033382945859561045
Enterococcus_Faecalis,0.976963981941846,0.7124447511278549,0.0011124011974317132,0.026914319524389736
Proteus_Mirabilis,0.888629880727777,0.7107645278786561,0.009001374931012284,0.018138892351292926
Haemophilus_Influenzae,0.8010947148179968,0.6994425355073017,0.01724393526115238,0.08146019683252301
Candida_Albicans,0.7291422239290678,0.6975133038556777,0.07987571623194754,0.11807785968923225
Enterobacter_Cloacae,0.8185559811893828,0.6830940563006994,0.019405665914686083,0.02728429145078933
Citrobacter_Freundii,0.8557418789753145,0.6596011727986276,0.024356660535194127,0.08647274731925324
Campylobacter_Jejuni,0.9041027651726564,0.6541211545574959,0.016130579667559337,0.1398604782079101
Morganella_Morganii,0.8861154417327484,0.6521136913512178,0.014746795987407534,0.010287717716667238
