model_mode,antibiotic,mean_auc,std_auc,mean_n_val_pairs,n_folds
bio_prior_gated_implicit_hypernetwork,Polymyxin B,0.9995231705096186,0.0006643370008964202,519.4,5
bio_prior_gated_implicit_hypernetwork,Posaconazole,0.4641495776176082,0.2720837614281535,58.4,5
bio_prior_gated_implicit_hypernetwork,Pristinamycin,0.9643438279303684,0.00500505849203391,1338.2,5
bio_prior_gated_implicit_hypernetwork,Rifampicin,0.885112909989725,0.00898110214898977,2316.6,5
bio_prior_gated_implicit_hypernetwork,Strepomycin_high_level,0.5996153846153847,0.23390831523110453,16.2,5
bio_prior_gated_implicit_hypernetwork,Teicoplanin,0.946509371891954,0.013519980181177242,2826.6,5
bio_prior_gated_implicit_hypernetwork,Tetracycline,0.9104753428888885,0.0017948123881566763,3326.6,5
bio_prior_gated_implicit_hypernetwork,Ticarcillin,0.9219516118251241,0.005954884964769276,1736.0,5
bio_prior_gated_implicit_hypernetwork,Tigecycline,0.994005894845969,0.0017591702769296606,3664.8,5
bio_prior_gated_implicit_hypernetwork,Tobramycin,0.8869337186883414,0.004989642341746556,9029.2,5
bio_prior_gated_implicit_hypernetwork,Vancomycin,0.9691261360169576,0.010978595316660844,4168.2,5
bio_prior_gated_implicit_hypernetwork,Voriconazole,0.7293044138090468,0.15272699915655924,61.8,5
bio_prior_gated_species_head,5-Fluorocytosine,0.5687370307489152,0.2784608372476644,60.75,4
bio_prior_gated_species_head,Amikacin,0.8841531313130802,0.010549782286542835,8866.4,5
bio_prior_gated_species_head,Amoxicillin,0.9074350464823612,0.04395238508318395,40.2,5
bio_prior_gated_species_head,Amoxicillin-Clavulanic acid,0.913834763666755,0.0027044318440523616,5747.4,5
bio_prior_gated_species_head,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.945090909090909,0.05545305512155352,16.0,5
bio_prior_gated_species_head,Ampicillin,0.9566811379019795,0.003346963417944964,4253.2,5
bio_prior_gated_species_head,Anidulafungin,0.6614994117947931,0.12060279175189045,60.8,5
bio_prior_gated_species_head,Azithromycin,0.8012770146520147,0.06936223152924695,40.8,5
bio_prior_gated_species_head,Aztreonam,0.8497592826647546,0.009892303093404714,4294.4,5
bio_prior_gated_species_head,Benzylpenicillin,0.8837129859470669,0.0393222581290636,136.8,5
bio_prior_gated_species_head,Caspofungin,0.9775280410399096,0.026430697542003962,63.0,5
bio_prior_gated_species_head,Cefazolin,0.9309210052557633,0.007402442056108879,1919.6,5
bio_prior_gated_species_head,Cefepime,0.8858716967462854,0.005196749116093966,10042.6,5
bio_prior_gated_species_head,Cefixime,0.7791872279360997,0.008285944678792553,2974.6,5
bio_prior_gated_species_head,Cefotaxime,0.8883486169263927,0.006970725024682973,3863.2,5
bio_prior_gated_species_head,Cefoxitin,0.9564191993876054,0.003938160288450675,1242.0,5
bio_prior_gated_species_head,Cefpodoxime,0.90804593191639,0.006388353342329588,1274.6,5
bio_prior_gated_species_head,Ceftazidime,0.8442105623319389,0.005375487088343573,7696.0,5
bio_prior_gated_species_head,Ceftazidime-Avibactam,0.5,,7.0,1
bio_prior_gated_species_head,Ceftobiprole,1.0,,5.0,1
bio_prior_gated_species_head,Ceftolozane-Tazobactam,0.673905723905724,0.11505684079400705,18.6,5
bio_prior_gated_species_head,Ceftriaxone,0.8961961269066269,0.003854631858438133,5354.6,5
bio_prior_gated_species_head,Cefuroxime,0.8839137073132509,0.0021734030021331265,6751.6,5
bio_prior_gated_species_head,Chloramphenicol,0.9522872125346037,0.004459412281733738,1565.6,5
bio_prior_gated_species_head,Ciprofloxacin,0.8744302241252313,0.0013893750545044133,12192.2,5
bio_prior_gated_species_head,Clarithromycin,0.7729812714724317,0.04365401039708816,263.2,5
bio_prior_gated_species_head,Clindamycin,0.8962965992695411,0.004365091104224411,3330.6,5
bio_prior_gated_species_head,Colistin,0.9770646531736364,0.0019691248041388046,7695.2,5
bio_prior_gated_species_head,Cotrimoxazol,0.8253514833963962,0.05216642511886997,286.6,5
bio_prior_gated_species_head,Cotrimoxazole,0.8628334337556345,0.004942572935691382,5562.6,5
bio_prior_gated_species_head,Daptomycin,0.8859560197274732,0.022777857522767616,3539.6,5
bio_prior_gated_species_head,Doxycycline,0.626335555240926,0.04845762979937881,164.4,5
bio_prior_gated_species_head,Ertapenem,0.9281687859703925,0.004226576921259752,7267.6,5
bio_prior_gated_species_head,Erythromycin,0.8951670321390219,0.005816806509395504,3441.2,5
bio_prior_gated_species_head,Fluconazole,0.6679367588932807,0.19898332450617895,61.2,5
bio_prior_gated_species_head,Fosfomycin,0.7436302394783089,0.00642707979205813,5994.2,5
bio_prior_gated_species_head,Fusidic acid,0.8587981706145442,0.014143492336434053,2490.6,5
bio_prior_gated_species_head,Gentamicin,0.9134251765769024,0.002959638076925705,8326.8,5
bio_prior_gated_species_head,Gentamicin_high_level,0.8004755517379729,0.033898583310792076,129.2,5
bio_prior_gated_species_head,Imipenem,0.9700760156094008,0.001406965724679358,11475.0,5
bio_prior_gated_species_head,Itraconazole,0.634519978273005,0.1840532258479261,56.6,5
bio_prior_gated_species_head,Levofloxacin,0.8874323014102872,0.0024927488683914776,9128.4,5
bio_prior_gated_species_head,Linezolid,0.891908442807934,0.018810546794852275,3871.6,5
bio_prior_gated_species_head,Meropenem,0.9443186503842466,0.003749964857801253,9726.8,5
bio_prior_gated_species_head,Meropenem_with_meningitis,0.6143098688750863,0.06296991484548525,25.2,5
bio_prior_gated_species_head,Meropenem_without_meningitis,0.8309941520467836,0.2643850529870146,15.666666666666666,3
bio_prior_gated_species_head,Micafungin,0.9221659285182999,0.06256231692152951,61.4,5
bio_prior_gated_species_head,Minocycline,0.881661334002197,0.008917434428897529,1954.2,5
bio_prior_gated_species_head,Moxifloxacin,0.9875386347626186,0.007851058836042571,179.6,5
bio_prior_gated_species_head,Mupirocin,0.9616634910640345,0.004039766285473594,1645.6,5
bio_prior_gated_species_head,Nitrofurantoin,0.8971784423354083,0.007998072086613017,4254.0,5
bio_prior_gated_species_head,Norfloxacin,0.8656178871539904,0.005163598761775289,4989.2,5
bio_prior_gated_species_head,Oxacillin,0.9196260501480069,0.0039813006614783705,3112.0,5
bio_prior_gated_species_head,Penicillin,0.949062378292193,0.0028666656773640147,3450.8,5
bio_prior_gated_species_head,Penicillin_with_meningitis,0.7489063412334062,0.0418037396967026,51.0,5
bio_prior_gated_species_head,Penicillin_with_other_infections,0.7240112093788564,0.040561249159892794,51.2,5
bio_prior_gated_species_head,Penicillin_with_pneumonia,0.9075641025641026,0.09046913669467657,51.2,5
bio_prior_gated_species_head,Piperacillin,0.9056706733526143,0.015220370509045402,3778.2,5
bio_prior_gated_species_head,Piperacillin-Tazobactam,0.8720664410097978,0.006709046021362005,5855.8,5
bio_prior_gated_species_head,Polymyxin B,0.9997050223128967,0.0006434432386633704,519.4,5
bio_prior_gated_species_head,Posaconazole,0.4838690227078974,0.10477945111799479,58.4,5
bio_prior_gated_species_head,Pristinamycin,0.9654749942724138,0.004353162841456655,1338.2,5
bio_prior_gated_species_head,Rifampicin,0.8849710135369853,0.007495206923589781,2316.6,5
bio_prior_gated_species_head,Strepomycin_high_level,0.5633760683760685,0.14750893149590757,16.2,5
bio_prior_gated_species_head,Teicoplanin,0.9515551110393987,0.013778014890204072,2826.6,5
bio_prior_gated_species_head,Tetracycline,0.9114452315945691,0.002370712911017953,3326.6,5
bio_prior_gated_species_head,Ticarcillin,0.9226131838874707,0.005546437101890288,1736.0,5
bio_prior_gated_species_head,Tigecycline,0.9936634960570541,0.001972468183079826,3664.8,5
bio_prior_gated_species_head,Tobramycin,0.8883375530019487,0.004614261445219623,9029.2,5
bio_prior_gated_species_head,Vancomycin,0.9709261683289103,0.008488663358627165,4168.2,5
bio_prior_gated_species_head,Voriconazole,0.524859605429812,0.22816080746548265,61.8,5
