model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
implicit_species_hypernetwork,2,22,Staphylococcus_Lugdunensis,90,1820,0.9616021638370444
implicit_species_hypernetwork,2,23,Stenotrophomonas_Maltophilia,130,722,0.976013986013986
implicit_species_hypernetwork,2,24,Streptococcus_Pneumoniae,112,1223,0.7910590177612484
implicit_species_hypernetwork,3,0,Campylobacter_Jejuni,97,258,0.891869300911854
implicit_species_hypernetwork,3,1,Candida_Albicans,58,381,0.8422614002373283
implicit_species_hypernetwork,3,2,Citrobacter_Freundii,136,2168,0.8785550820707071
implicit_species_hypernetwork,3,3,Citrobacter_Koseri,181,2902,0.9720467234792829
implicit_species_hypernetwork,3,4,Enterobacter_Cloacae,303,4464,0.9177938492321087
implicit_species_hypernetwork,3,5,Enterococcus_Faecalis,896,13774,0.9883409525079886
implicit_species_hypernetwork,3,6,Enterococcus_Faecium,444,4866,0.9747897135723671
implicit_species_hypernetwork,3,7,Escherichia_Coli,1556,24761,0.8677209547151457
implicit_species_hypernetwork,3,8,Haemophilus_Influenzae,203,679,0.8507738283243033
implicit_species_hypernetwork,3,9,Klebsiella_Oxytoca,256,4222,0.9265407468103136
implicit_species_hypernetwork,3,10,Klebsiella_Pneumoniae,3850,68131,0.8759739546118979
implicit_species_hypernetwork,3,11,Klebsiella_Variicola,135,2144,0.9420068657232471
implicit_species_hypernetwork,3,12,Morganella_Morganii,156,2560,0.9390512277011017
implicit_species_hypernetwork,3,13,Proteus_Mirabilis,457,8258,0.9171352000763504
implicit_species_hypernetwork,3,14,Proteus_Vulgaris,83,1240,0.9611977054989939
implicit_species_hypernetwork,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9515125448685633
implicit_species_hypernetwork,3,16,Serratia_Marcescens,257,4001,0.9688395298281158
implicit_species_hypernetwork,3,17,Staphylococcus_Aureus,1453,28324,0.9207238716144244
implicit_species_hypernetwork,3,18,Staphylococcus_Capitis,82,1753,0.9431122271046941
implicit_species_hypernetwork,3,19,Staphylococcus_Epidermidis,1142,23131,0.9328273984532243
implicit_species_hypernetwork,3,20,Staphylococcus_Haemolyticus,66,1369,0.9150592455608636
implicit_species_hypernetwork,3,21,Staphylococcus_Hominis,160,3276,0.8625072261201475
implicit_species_hypernetwork,3,22,Staphylococcus_Lugdunensis,96,1942,0.8475116138795119
implicit_species_hypernetwork,3,23,Stenotrophomonas_Maltophilia,143,898,0.9780158787615532
implicit_species_hypernetwork,3,24,Streptococcus_Pneumoniae,75,779,0.8635296906483347
implicit_species_hypernetwork,4,0,Campylobacter_Jejuni,96,219,0.9398890869479105
implicit_species_hypernetwork,4,1,Candida_Albicans,66,501,0.7405945419103312
implicit_species_hypernetwork,4,2,Citrobacter_Freundii,132,2104,0.884662792003594
implicit_species_hypernetwork,4,3,Citrobacter_Koseri,174,2764,0.9747731701171225
implicit_species_hypernetwork,4,4,Enterobacter_Cloacae,324,4832,0.8808049862807713
implicit_species_hypernetwork,4,5,Enterococcus_Faecalis,935,14775,0.987223341697521
implicit_species_hypernetwork,4,6,Enterococcus_Faecium,439,4796,0.9722943937547781
implicit_species_hypernetwork,4,7,Escherichia_Coli,1523,24120,0.8498199688434079
implicit_species_hypernetwork,4,8,Haemophilus_Influenzae,151,470,0.8475
