species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Pseudomonas_Aeruginosa,0.8335377011328069,0.6281095836866081,0.019369733259128535,0.03958632440786516
Enterococcus_Faecium,0.9468971892894766,0.6237120273892907,0.0029877376565812363,0.019998809595636685
Proteus_Vulgaris,0.9424577128590055,0.6040309872182468,0.007969892854502345,0.07560839577653429
Serratia_Marcescens,0.8675873413403721,0.5971301453439273,0.014537292419978613,0.021138382937434613
Stenotrophomonas_Maltophilia,0.9238834373480577,0.5926525401523908,0.014201316557952311,0.05345521388935398
Staphylococcus_Capitis,0.7566476586742794,0.5884538155970682,0.019411569112930384,0.024609792770780778
Citrobacter_Koseri,0.8709610246934056,0.5840878464628834,0.04070344022800921,0.1085178811802331
Staphylococcus_Haemolyticus,0.7679980701908043,0.5838711544635622,0.021678062373654973,0.031015717330356157
Klebsiella_Variicola,0.7492527796527642,0.5811402939463562,0.02746497928433517,0.03620023178162604
Staphylococcus_Aureus,0.821544212986954,0.5774844287213237,0.008939412527028965,0.02148479918669666
Candida_Albicans,0.7481039824018729,0.5654458960769174,0.011666026782781069,0.04622461707770963
Morganella_Morganii,0.8769810151099057,0.5636616685496181,0.0056325928668946,0.030008384606965796
Haemophilus_Influenzae,0.7905260056587717,0.5634279860026072,0.021028442900378835,0.08939943432172588
Staphylococcus_Hominis,0.7290027440435703,0.5610498339711084,0.009596688491111779,0.027396475811145012
Streptococcus_Pneumoniae,0.7554710552747554,0.5591568249176733,0.025673311400198705,0.04128925739613996
Enterococcus_Faecalis,0.9564265999678796,0.5584931269156327,0.012889763936869652,0.036322428576306465
Citrobacter_Freundii,0.863950766280948,0.5563389320070251,0.010284004149403246,0.032230299594298135
Klebsiella_Oxytoca,0.8781550315337242,0.5392970919768613,0.01895793550471169,0.041892459286875565
Staphylococcus_Lugdunensis,0.8363696371700398,0.5354710803610604,0.02512652285127655,0.03212320275985361
Staphylococcus_Epidermidis,0.8243717269634386,0.5295769767826004,0.004365864690624494,0.014384340438714604
Proteus_Mirabilis,0.8708151609727685,0.5268606614500257,0.007522287784607383,0.014593391511734432
Campylobacter_Jejuni,0.8796136266062268,0.5147332783794732,0.02182014867505022,0.1150917525198688
Escherichia_Coli,0.7994427560532377,0.5098977913899823,0.0031775783955914185,0.015779014041831373
Enterobacter_Cloacae,0.8044281478731676,0.49880414882267293,0.013244622842590172,0.02179808969926592
Klebsiella_Pneumoniae,0.782036420800802,0.4919311792589801,0.007472790481157404,0.002773658393759114
