model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,2,0,Campylobacter_Jejuni,100,229,0.9037221300902893,0.8097231947760503,3,69.66666666666667
species_multihead_no_enrichment,2,1,Candida_Albicans,64,487,0.868241890268322,0.7231594947163096,8,60.875
species_multihead_no_enrichment,2,2,Citrobacter_Freundii,115,1855,0.8950923251947143,0.5693517796652792,23,70.34782608695652
species_multihead_no_enrichment,2,3,Citrobacter_Koseri,171,2732,0.9372069255261987,0.754016503869356,23,103.08695652173913
species_multihead_no_enrichment,2,4,Enterobacter_Cloacae,324,4816,0.9227190045820042,0.7510106645923151,22,176.63636363636363
species_multihead_no_enrichment,2,5,Enterococcus_Faecalis,981,14954,0.9868956819170839,0.7594244415719261,18,521.7222222222222
species_multihead_no_enrichment,2,6,Enterococcus_Faecium,462,4954,0.9737533772297715,0.8034976578313178,23,179.2608695652174
species_multihead_no_enrichment,2,7,Escherichia_Coli,1539,24279,0.8603083589036863,0.6809804097514303,30,802.8666666666667
species_multihead_no_enrichment,2,8,Haemophilus_Influenzae,152,452,0.8541436464088398,0.6940445747923528,7,44.42857142857143
species_multihead_no_enrichment,2,9,Klebsiella_Oxytoca,243,4043,0.9365357391217962,0.6897004105072401,19,145.3684210526316
species_multihead_no_enrichment,2,10,Klebsiella_Pneumoniae,3813,67329,0.8799964063407013,0.7518481436905599,30,2198.6
species_multihead_no_enrichment,2,11,Klebsiella_Variicola,141,2205,0.9503503151534094,0.7707687592389798,18,83.83333333333333
species_multihead_no_enrichment,2,12,Morganella_Morganii,159,2628,0.9358328792054802,0.7096278688216819,21,89.0
species_multihead_no_enrichment,2,13,Proteus_Mirabilis,465,8526,0.9141876291324306,0.6835455323655667,28,280.5357142857143
species_multihead_no_enrichment,2,14,Proteus_Vulgaris,110,1667,0.976581062691165,0.618881086097546,17,65.3529411764706
species_multihead_no_enrichment,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9506467758627749,0.7769923476523518,17,584.3529411764706
species_multihead_no_enrichment,2,16,Serratia_Marcescens,244,3890,0.9637777477992211,0.6518260295782546,20,145.0
species_multihead_no_enrichment,2,17,Staphylococcus_Aureus,1454,28377,0.9215953706608424,0.767327721517931,35,717.5428571428571
species_multihead_no_enrichment,2,18,Staphylococcus_Capitis,78,1703,0.8790569819087857,0.7667969306510484,20,61.55
species_multihead_no_enrichment,2,19,Staphylococcus_Epidermidis,1169,23774,0.928110416280497,0.7928031143461753,33,678.030303030303
species_multihead_no_enrichment,2,20,Staphylococcus_Haemolyticus,60,1334,0.9036144578313253,0.8588200266548812,24,44.125
species_multihead_no_enrichment,2,21,Staphylococcus_Hominis,172,3606,0.9024949721472924,0.802599131305214,24,121.29166666666667
species_multihead_no_enrichment,2,22,Staphylococcus_Lugdunensis,90,1820,0.9588117727115155,0.7588128762139804,16,52.0625
species_multihead_no_enrichment,2,23,Stenotrophomonas_Maltophilia,130,722,0.9766200466200466,0.6709262545506419,6,50.333333333333336
species_multihead_no_enrichment,2,24,Streptococcus_Pneumoniae,112,1223,0.8139551397555498,0.7206715986220398,23,44.608695652173914
species_multihead_no_enrichment,3,0,Campylobacter_Jejuni,97,258,0.8432370820668693,0.3622641914934167,5,50.6
species_multihead_no_enrichment,3,1,Candida_Albicans,58,381,0.8858281064587218,0.8462301003877825,7,54.42857142857143
species_multihead_no_enrichment,3,2,Citrobacter_Freundii,136,2168,0.9018229166666666,0.7207116319131516,22,86.13636363636364
species_multihead_no_enrichment,3,3,Citrobacter_Koseri,181,2902,0.9712386129885396,0.7542635389873503,20,105.5
species_multihead_no_enrichment,3,4,Enterobacter_Cloacae,303,4464,0.9145334993088595,0.7172985045783333,25,158.76
species_multihead_no_enrichment,3,5,Enterococcus_Faecalis,896,13774,0.9883476154768687,0.7240259129543722,20,550.7
species_multihead_no_enrichment,3,6,Enterococcus_Faecium,444,4866,0.9758333075582774,0.762328039842323,22,193.54545454545453
species_multihead_no_enrichment,3,7,Escherichia_Coli,1556,24761,0.8588537337742939,0.6700711429965133,31,792.1290322580645
species_multihead_no_enrichment,3,8,Haemophilus_Influenzae,203,679,0.870477902767317,0.6665094392090272,12,46.916666666666664
species_multihead_no_enrichment,3,9,Klebsiella_Oxytoca,256,4222,0.920153427875994,0.631679758913292,23,150.56521739130434
species_multihead_no_enrichment,3,10,Klebsiella_Pneumoniae,3850,68131,0.8683916132571099,0.7189444258506535,31,2175.8064516129034
species_multihead_no_enrichment,3,11,Klebsiella_Variicola,135,2144,0.930083228371737,0.7208585955335405,13,93.46153846153847
species_multihead_no_enrichment,3,12,Morganella_Morganii,156,2560,0.9268798011028592,0.6318920671281272,22,87.31818181818181
species_multihead_no_enrichment,3,13,Proteus_Mirabilis,457,8258,0.9187891426529657,0.7349050182655114,27,271.8888888888889
species_multihead_no_enrichment,3,14,Proteus_Vulgaris,83,1240,0.9630983486285766,0.5978335140047842,13,61.92307692307692
species_multihead_no_enrichment,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9496045798435562,0.7855687880206638,15,674.9333333333333
species_multihead_no_enrichment,3,16,Serratia_Marcescens,257,4001,0.9653234493057492,0.6404618496587896,19,146.21052631578948
species_multihead_no_enrichment,3,17,Staphylococcus_Aureus,1453,28324,0.9281697225788683,0.786092421558641,33,714.939393939394
species_multihead_no_enrichment,3,18,Staphylococcus_Capitis,82,1753,0.9408035153797867,0.8584756265910897,22,64.95454545454545
species_multihead_no_enrichment,3,19,Staphylococcus_Epidermidis,1142,23131,0.9316468363334603,0.8204844849708604,34,643.3235294117648
species_multihead_no_enrichment,3,20,Staphylococcus_Haemolyticus,66,1369,0.9563342237290458,0.8917474637526549,24,46.0
species_multihead_no_enrichment,3,21,Staphylococcus_Hominis,160,3276,0.8407749172460761,0.7493609285548127,22,112.77272727272727
species_multihead_no_enrichment,3,22,Staphylococcus_Lugdunensis,96,1942,0.846901378145095,0.6853931511034267,19,62.10526315789474
species_multihead_no_enrichment,3,23,Stenotrophomonas_Maltophilia,143,898,0.9796970647618587,0.7477680723078927,7,50.714285714285715
species_multihead_no_enrichment,3,24,Streptococcus_Pneumoniae,75,779,0.8928766149105133,0.7816637958964296,22,28.227272727272727
species_multihead_no_enrichment,4,0,Campylobacter_Jejuni,96,219,0.9416716181422063,0.905222547108512,3,67.0
species_multihead_no_enrichment,4,1,Candida_Albicans,66,501,0.769541910331384,0.6928536087520188,8,62.625
species_multihead_no_enrichment,4,2,Citrobacter_Freundii,132,2104,0.8974632187780773,0.5884477234026355,20,77.25
species_multihead_no_enrichment,4,3,Citrobacter_Koseri,174,2764,0.9653075788206192,0.5939361461169506,17,87.76470588235294
species_multihead_no_enrichment,4,4,Enterobacter_Cloacae,324,4832,0.9196393000049499,0.6740769129394504,23,182.2608695652174
species_multihead_no_enrichment,4,5,Enterococcus_Faecalis,935,14775,0.9869177961152329,0.7323062462683055,22,520.9090909090909
species_multihead_no_enrichment,4,6,Enterococcus_Faecium,439,4796,0.9730078178337754,0.8292672595480659,22,185.72727272727272
species_multihead_no_enrichment,4,7,Escherichia_Coli,1523,24120,0.8559587477912398,0.7165441411432795,30,796.9
species_multihead_no_enrichment,4,8,Haemophilus_Influenzae,151,470,0.8598989898989899,0.7192862512109434,12,33.5
