species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.9241094427905812,0.8556137585266992,0.006978253266916645,0.009692285932739353
Staphylococcus_Capitis,0.9067341447941011,0.8320399567136653,0.001346535108807112,0.019613764965432323
Staphylococcus_Epidermidis,0.9232889621282743,0.7987163823680916,0.005007348783532428,0.0013898399791039684
Enterococcus_Faecium,0.9659385221521868,0.7873889600164632,2.02260918403252e-05,0.009333803506410943
Staphylococcus_Hominis,0.8426590746596938,0.76969890643924,0.01713605089955933,0.016078935491339985
Pseudomonas_Aeruginosa,0.9099441423100305,0.745502072083908,0.0005017646441667911,0.02972357704032358
Staphylococcus_Aureus,0.9042465070212616,0.7379667612485687,0.0009908061986777517,0.006539280837817851
Klebsiella_Oxytoca,0.8699108409646017,0.7345228154857952,0.020487533349443587,0.013888463663316919
Proteus_Mirabilis,0.8772288390348593,0.7126172732737206,0.007725505860079085,0.0021920294072207414
Stenotrophomonas_Maltophilia,0.9278393477677431,0.7120761863962791,0.01583583536607841,0.031942136909920205
Candida_Albicans,0.7529988964869284,0.7064728765691688,0.009404590437106397,0.008864434576952074
Klebsiella_Variicola,0.7832485491042287,0.7032313452776962,0.005071478697791398,0.005001761600307131
Klebsiella_Pneumoniae,0.8447040191396984,0.6988418948347912,0.00347736932824555,0.0018827507495171592
Escherichia_Coli,0.8386203109973835,0.6930580498756516,9.964111336696613e-05,0.01422633534258183
Staphylococcus_Lugdunensis,0.85141836643648,0.6841912610353703,0.018601014461562038,0.0011584646627375017
Serratia_Marcescens,0.8468724041725447,0.6715405467698545,0.0039634750676956765,0.0016589883720652399
Citrobacter_Koseri,0.8622830986263739,0.6672894927243158,0.005779679440304275,0.045958992255312414
Enterococcus_Faecalis,0.9751564092480449,0.6598167657405964,0.0011269048934559045,0.0007873792118077705
Campylobacter_Jejuni,0.8968589096450286,0.6545451968681041,0.015191257368269373,0.04216512644259629
Haemophilus_Influenzae,0.7811892743841341,0.6511053784800457,0.015138443982364413,0.007130324917192232
Streptococcus_Pneumoniae,0.7734411113477359,0.6503223566199938,0.03946132504527633,0.02144102222434424
Enterobacter_Cloacae,0.791589526114237,0.6290157583347074,0.002543289394447479,0.015400127518284346
Morganella_Morganii,0.8728409818169724,0.6278508802508147,0.0036626487789903073,0.01395310673897221
Proteus_Vulgaris,0.9206633614725551,0.6148796373780787,0.0026624836280011444,0.06372744394142177
Citrobacter_Freundii,0.8280278703245114,0.6101688581864005,0.03380912354968535,0.031025277982346222
