model_mode,fold,species_id,species,antibiotic_id,antibiotic,gamma
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,63,Tetracycline,0.056111857295036316
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,64,Ticarcillin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,65,Tigecycline,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,66,Tobramycin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,67,Vancomycin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,68,Voriconazole,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,0,5-Fluorocytosine,0.11418165266513824
bio_prior_gated_species_head,0,1,Candida_Albicans,1,Amikacin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,2,Amoxicillin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,3,Amoxicillin-Clavulanic acid,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,5,Ampicillin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,6,Anidulafungin,0.09074687957763672
bio_prior_gated_species_head,0,1,Candida_Albicans,7,Azithromycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,8,Aztreonam,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,9,Benzylpenicillin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,10,Caspofungin,0.120701365172863
bio_prior_gated_species_head,0,1,Candida_Albicans,11,Cefazolin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,12,Cefepime,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,13,Cefixime,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,14,Cefotaxime,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,15,Cefoxitin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,16,Cefpodoxime,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,17,Ceftazidime,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,18,Ceftolozane-Tazobactam,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,19,Ceftriaxone,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,20,Cefuroxime,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,21,Chloramphenicol,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,22,Ciprofloxacin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,23,Clarithromycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,24,Clindamycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,25,Colistin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,26,Cotrimoxazol,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,27,Cotrimoxazole,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,28,Daptomycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,29,Doxycycline,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,30,Ertapenem,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,31,Erythromycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,32,Fluconazole,0.14600051939487457
bio_prior_gated_species_head,0,1,Candida_Albicans,33,Fosfomycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,34,Fusidic acid,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,35,Gentamicin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,36,Gentamicin_high_level,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,37,Imipenem,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,38,Itraconazole,0.07392260432243347
bio_prior_gated_species_head,0,1,Candida_Albicans,39,Levofloxacin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,40,Linezolid,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,41,Meropenem,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,42,Meropenem_with_meningitis,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,43,Meropenem_without_meningitis,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,44,Micafungin,0.12575314939022064
bio_prior_gated_species_head,0,1,Candida_Albicans,45,Minocycline,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,46,Moxifloxacin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,47,Mupirocin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,48,Nitrofurantoin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,49,Norfloxacin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,50,Oxacillin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,51,Penicillin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,52,Penicillin_with_meningitis,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,53,Penicillin_with_other_infections,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,54,Penicillin_with_pneumonia,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,55,Piperacillin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,56,Piperacillin-Tazobactam,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,57,Polymyxin B,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,58,Posaconazole,0.10685683786869049
bio_prior_gated_species_head,0,1,Candida_Albicans,59,Pristinamycin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,60,Rifampicin,0.10000000149011612
bio_prior_gated_species_head,0,1,Candida_Albicans,61,Strepomycin_high_level,0.10000000149011612
