model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
bio_prior_gated_species_head,2,22,Staphylococcus_Lugdunensis,90,1820,0.9607248169340791
bio_prior_gated_species_head,2,23,Stenotrophomonas_Maltophilia,130,722,0.9766783216783217
bio_prior_gated_species_head,2,24,Streptococcus_Pneumoniae,112,1223,0.8411073929753863
bio_prior_gated_species_head,3,0,Campylobacter_Jejuni,97,258,0.8758358662613982
bio_prior_gated_species_head,3,1,Candida_Albicans,58,381,0.8542973385319546
bio_prior_gated_species_head,3,2,Citrobacter_Freundii,136,2168,0.878515625
bio_prior_gated_species_head,3,3,Citrobacter_Koseri,181,2902,0.9777693089430894
bio_prior_gated_species_head,3,4,Enterobacter_Cloacae,303,4464,0.9258559831377011
bio_prior_gated_species_head,3,5,Enterococcus_Faecalis,896,13774,0.9879011643736612
bio_prior_gated_species_head,3,6,Enterococcus_Faecium,444,4866,0.9745279066108034
bio_prior_gated_species_head,3,7,Escherichia_Coli,1556,24761,0.8610875094651967
bio_prior_gated_species_head,3,8,Haemophilus_Influenzae,203,679,0.8121674481887315
bio_prior_gated_species_head,3,9,Klebsiella_Oxytoca,256,4222,0.9256043892475894
bio_prior_gated_species_head,3,10,Klebsiella_Pneumoniae,3850,68131,0.8692937493160303
bio_prior_gated_species_head,3,11,Klebsiella_Variicola,135,2144,0.9370427996344867
bio_prior_gated_species_head,3,12,Morganella_Morganii,156,2560,0.9285811047716189
bio_prior_gated_species_head,3,13,Proteus_Mirabilis,457,8258,0.9176291205625718
bio_prior_gated_species_head,3,14,Proteus_Vulgaris,83,1240,0.9666765345655336
bio_prior_gated_species_head,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9498856697235363
bio_prior_gated_species_head,3,16,Serratia_Marcescens,257,4001,0.9685270547770402
bio_prior_gated_species_head,3,17,Staphylococcus_Aureus,1453,28324,0.9295038990745278
bio_prior_gated_species_head,3,18,Staphylococcus_Capitis,82,1753,0.9217920996954266
bio_prior_gated_species_head,3,19,Staphylococcus_Epidermidis,1142,23131,0.931483270605072
bio_prior_gated_species_head,3,20,Staphylococcus_Haemolyticus,66,1369,0.9628516634989127
bio_prior_gated_species_head,3,21,Staphylococcus_Hominis,160,3276,0.8549801826129652
bio_prior_gated_species_head,3,22,Staphylococcus_Lugdunensis,96,1942,0.8795789726169941
bio_prior_gated_species_head,3,23,Stenotrophomonas_Maltophilia,143,898,0.9826331072982778
bio_prior_gated_species_head,3,24,Streptococcus_Pneumoniae,75,779,0.8830389949034018
