fold,species_id,species,n_val_samples,n_val_pairs,auc
4,2,Citrobacter_Freundii,132,2104,0.8935141509433964
4,3,Citrobacter_Koseri,174,2764,0.9790068149949123
4,4,Enterobacter_Cloacae,324,4832,0.9072015582796316
4,5,Enterococcus_Faecalis,935,14775,0.9874238788848885
4,6,Enterococcus_Faecium,439,4796,0.972316571389807
4,7,Escherichia_Coli,1523,24120,0.8517665402420966
4,8,Haemophilus_Influenzae,151,470,0.812449494949495
4,9,Klebsiella_Oxytoca,251,4109,0.9534716671829329
4,10,Klebsiella_Pneumoniae,3914,69309,0.8673844688321881
4,11,Klebsiella_Variicola,130,2062,0.9065849317777338
4,12,Morganella_Morganii,174,2803,0.9272822700799133
4,13,Proteus_Mirabilis,495,8843,0.9211657111504267
4,14,Proteus_Vulgaris,63,923,0.9830744418979712
4,15,Pseudomonas_Aeruginosa,1057,12536,0.9479732867013027
4,16,Serratia_Marcescens,263,4114,0.96250981874633
4,17,Staphylococcus_Aureus,1433,27930,0.929415977696218
4,18,Staphylococcus_Capitis,80,1590,0.9227919780245362
4,19,Staphylococcus_Epidermidis,1155,23351,0.9180313652238918
4,20,Staphylococcus_Haemolyticus,64,1371,0.9090384779092534
4,21,Staphylococcus_Hominis,125,2611,0.823553589059129
4,22,Staphylococcus_Lugdunensis,100,2090,0.8829556817108482
4,23,Stenotrophomonas_Maltophilia,130,839,0.9726786945529763
4,24,Streptococcus_Pneumoniae,92,979,0.8065992514281962
