model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
species_only,1,43,Micafungin,74,0.928921568627451
species_only,1,44,Minocycline,1955,0.8845556047784594
species_only,1,45,Moxifloxacin,159,0.9929435483870968
species_only,1,46,Mupirocin,1683,0.9452116925544432
species_only,1,47,Nitrofurantoin,4222,0.8915664051147922
species_only,1,48,Norfloxacin,4927,0.8577741310557679
species_only,1,49,Oxacillin,3152,0.9225576744458486
species_only,1,50,Penicillin,3445,0.9498741738403329
species_only,1,51,Penicillin_with_meningitis,62,0.7755102040816326
species_only,1,52,Penicillin_with_other_infections,62,0.786096256684492
species_only,1,53,Penicillin_with_pneumonia,62,0.9083333333333333
species_only,1,54,Piperacillin,3835,0.930952543374946
species_only,1,55,Piperacillin-Tazobactam,5893,0.8787386432683391
species_only,1,56,Polymyxin B,516,1.0
species_only,1,57,Posaconazole,73,0.6441176470588235
species_only,1,58,Pristinamycin,1304,0.9641145377997958
species_only,1,59,Rifampicin,2366,0.8991072079763524
species_only,1,60,Strepomycin_high_level,14,0.5111111111111111
species_only,1,61,Teicoplanin,2793,0.9434992072203927
species_only,1,62,Tetracycline,3328,0.9073228489488582
species_only,1,63,Ticarcillin,1766,0.9232091172214183
species_only,1,64,Tigecycline,3688,0.9942584456412504
species_only,1,65,Tobramycin,9055,0.8846596998340334
species_only,1,66,Vancomycin,4145,0.9679186991869919
species_only,1,67,Voriconazole,73,0.5833333333333334
species_only,2,0,5-Fluorocytosine,58,0.45614035087719296
species_only,2,1,Amikacin,8802,0.8954334020133341
species_only,2,2,Amoxicillin,42,0.8888888888888888
species_only,2,3,Amoxicillin-Clavulanic acid,5820,0.9046248346446084
species_only,2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,1.0
species_only,2,5,Ampicillin,4212,0.9585395528492018
species_only,2,6,Anidulafungin,62,0.5726190476190476
species_only,2,7,Azithromycin,45,0.8444444444444446
species_only,2,8,Aztreonam,4173,0.8454556292946835
species_only,2,9,Benzylpenicillin,142,0.8339598997493735
species_only,2,10,Caspofungin,64,1.0
species_only,2,11,Cefazolin,1942,0.9209924500103072
species_only,2,12,Cefepime,9968,0.8753354312909616
species_only,2,13,Cefixime,2913,0.789052553162671
species_only,2,14,Cefotaxime,3748,0.8897580126677277
species_only,2,15,Cefoxitin,1197,0.9535138492814186
species_only,2,16,Cefpodoxime,1323,0.9161430502460558
species_only,2,17,Ceftazidime,7626,0.8495071055146732
species_only,2,18,Ceftolozane-Tazobactam,21,0.6851851851851851
species_only,2,19,Ceftriaxone,5427,0.8919513861635432
species_only,2,20,Cefuroxime,6671,0.8694956613607805
species_only,2,21,Chloramphenicol,1534,0.9465217576066632
species_only,2,22,Ciprofloxacin,12152,0.8642626221294342
species_only,2,23,Clarithromycin,277,0.7742916481234237
species_only,2,24,Clindamycin,3393,0.8827874720858462
species_only,2,25,Colistin,7609,0.975443880786303
species_only,2,26,Cotrimoxazol,298,0.8238467261904762
species_only,2,27,Cotrimoxazole,5643,0.860346592802462
species_only,2,28,Daptomycin,3593,0.8304271316589344
species_only,2,29,Doxycycline,166,0.6001796945193172
species_only,2,30,Ertapenem,7205,0.9225912826558681
species_only,2,31,Erythromycin,3507,0.8865978166041828
species_only,2,32,Fluconazole,62,0.8360655737704918
species_only,2,33,Fosfomycin,5901,0.7419417014631507
species_only,2,34,Fusidic acid,2535,0.845597237811649
species_only,2,35,Gentamicin,8265,0.9099859831482795
species_only,2,36,Gentamicin_high_level,140,0.7199093741149815
species_only,2,37,Imipenem,11485,0.9668220850558147
species_only,2,38,Itraconazole,56,0.6153846153846154
species_only,2,39,Levofloxacin,9167,0.8817268972132333
species_only,2,40,Linezolid,3965,0.8930464135021097
species_only,2,41,Meropenem,9688,0.9416575345920546
species_only,2,42,Meropenem_with_meningitis,23,0.5952380952380952
species_only,2,43,Micafungin,62,0.9774011299435028
species_only,2,44,Minocycline,1938,0.8830445489933004
species_only,2,45,Moxifloxacin,175,0.9899890789952676
species_only,2,46,Mupirocin,1653,0.9604586026469684
species_only,2,47,Nitrofurantoin,4235,0.8926429120594309
species_only,2,48,Norfloxacin,5007,0.8688396334195683
species_only,2,49,Oxacillin,3157,0.9067739989599584
species_only,2,50,Penicillin,3495,0.9497238405375044
species_only,2,51,Penicillin_with_meningitis,54,0.6679174484052532
species_only,2,52,Penicillin_with_other_infections,54,0.6587301587301587
