model_mode,antibiotic,mean_auc,std_auc,mean_n_val_pairs,n_folds
enriched_implicit_hypernetwork,Piperacillin,0.9157713200645338,0.009408180486200571,3778.2,5
enriched_implicit_hypernetwork,Piperacillin-Tazobactam,0.8692506986019077,0.01103212177671409,5855.8,5
enriched_implicit_hypernetwork,Polymyxin B,0.999097284884342,0.0016824911349453478,519.4,5
enriched_implicit_hypernetwork,Posaconazole,0.5777583507711385,0.25766269295873634,58.4,5
enriched_implicit_hypernetwork,Pristinamycin,0.9654245966077607,0.004143984275802778,1338.2,5
enriched_implicit_hypernetwork,Rifampicin,0.8873560038212522,0.009651137077932744,2316.6,5
enriched_implicit_hypernetwork,Strepomycin_high_level,0.6626495726495726,0.18488934840065796,16.2,5
enriched_implicit_hypernetwork,Teicoplanin,0.9412297920878112,0.011569132630785645,2826.6,5
enriched_implicit_hypernetwork,Tetracycline,0.909683155351747,0.002799632483333532,3326.6,5
enriched_implicit_hypernetwork,Ticarcillin,0.9225471852230089,0.004922723881802517,1736.0,5
enriched_implicit_hypernetwork,Tigecycline,0.9937783366081092,0.0015349052971685448,3664.8,5
enriched_implicit_hypernetwork,Tobramycin,0.8853061770302763,0.004074001145829138,9029.2,5
enriched_implicit_hypernetwork,Vancomycin,0.9640841418651902,0.014003784819759415,4168.2,5
enriched_implicit_hypernetwork,Voriconazole,0.7148500790410983,0.2333248848215911,61.8,5
enriched_species_only_head,5-Fluorocytosine,0.599651009243539,0.270952296329085,60.75,4
enriched_species_only_head,Amikacin,0.8804499661958035,0.00892717682938663,8866.4,5
enriched_species_only_head,Amoxicillin,0.902286631662581,0.03329298492120164,40.2,5
enriched_species_only_head,Amoxicillin-Clavulanic acid,0.9122703569130083,0.003588395263907438,5747.4,5
enriched_species_only_head,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.9012121212121211,0.09378286078513043,16.0,5
enriched_species_only_head,Ampicillin,0.9568505424042687,0.0027980147226363728,4253.2,5
enriched_species_only_head,Anidulafungin,0.6157910146900479,0.11715849512195908,60.8,5
enriched_species_only_head,Azithromycin,0.8192555708180708,0.047842784977946674,40.8,5
enriched_species_only_head,Aztreonam,0.8500538539482395,0.011442447841117073,4294.4,5
enriched_species_only_head,Benzylpenicillin,0.8847057271817084,0.025977519190774647,136.8,5
enriched_species_only_head,Caspofungin,0.973041474654378,0.0508895237133956,63.0,5
enriched_species_only_head,Cefazolin,0.9307944187544976,0.002991641074912706,1919.6,5
enriched_species_only_head,Cefepime,0.8836892130163108,0.00615880039773185,10042.6,5
enriched_species_only_head,Cefixime,0.7795720034096411,0.016694394913088075,2974.6,5
enriched_species_only_head,Cefotaxime,0.885762790276328,0.008302409204123071,3863.2,5
enriched_species_only_head,Cefoxitin,0.9568695622341952,0.0036950232353827107,1242.0,5
enriched_species_only_head,Cefpodoxime,0.9044203567305746,0.007329585900436805,1274.6,5
enriched_species_only_head,Ceftazidime,0.8428562217242135,0.008941723957244158,7696.0,5
enriched_species_only_head,Ceftazidime-Avibactam,0.8333333333333334,,7.0,1
enriched_species_only_head,Ceftobiprole,1.0,,5.0,1
enriched_species_only_head,Ceftolozane-Tazobactam,0.6884175084175084,0.17521615072564017,18.6,5
enriched_species_only_head,Ceftriaxone,0.8960387214399954,0.006862489863951484,5354.6,5
enriched_species_only_head,Cefuroxime,0.8811060464144689,0.0061266740906762655,6751.6,5
enriched_species_only_head,Chloramphenicol,0.9510643722418655,0.004854579717663435,1565.6,5
enriched_species_only_head,Ciprofloxacin,0.872000189757987,0.0020640596603309445,12192.2,5
enriched_species_only_head,Clarithromycin,0.7739418575170383,0.03410751712314058,263.2,5
enriched_species_only_head,Clindamycin,0.8981942095107598,0.006524081211987432,3330.6,5
enriched_species_only_head,Colistin,0.9760643245220555,0.003172509371330046,7695.2,5
enriched_species_only_head,Cotrimoxazol,0.8371429805805557,0.05969519742314059,286.6,5
enriched_species_only_head,Cotrimoxazole,0.8584100960871568,0.00577002060677158,5562.6,5
enriched_species_only_head,Daptomycin,0.8797198863966786,0.04123698756655841,3539.6,5
enriched_species_only_head,Doxycycline,0.622062736611897,0.08473640921766831,164.4,5
enriched_species_only_head,Ertapenem,0.9256962622936928,0.00318733726898251,7267.6,5
enriched_species_only_head,Erythromycin,0.8937747360091193,0.004802464566786223,3441.2,5
enriched_species_only_head,Fluconazole,0.5386854280131093,0.19578732201094523,61.2,5
enriched_species_only_head,Fosfomycin,0.7429556060801711,0.00315966110848994,5994.2,5
enriched_species_only_head,Fusidic acid,0.8543336400061394,0.012965676616583141,2490.6,5
enriched_species_only_head,Gentamicin,0.9107881943607612,0.0024497608769875954,8326.8,5
enriched_species_only_head,Gentamicin_high_level,0.7838239242828473,0.05003893386322825,129.2,5
enriched_species_only_head,Imipenem,0.9690231136242696,0.0016910902602852872,11475.0,5
enriched_species_only_head,Itraconazole,0.67621839755617,0.04479322297286859,56.6,5
enriched_species_only_head,Levofloxacin,0.8858690734434193,0.003000873701770302,9128.4,5
enriched_species_only_head,Linezolid,0.9225839784293741,0.022413222682893648,3871.6,5
enriched_species_only_head,Meropenem,0.9422693282347648,0.00879792427875298,9726.8,5
enriched_species_only_head,Meropenem_with_meningitis,0.6091252587991718,0.18498575369458012,25.2,5
enriched_species_only_head,Meropenem_without_meningitis,0.7777777777777778,0.38490017945975047,15.666666666666666,3
enriched_species_only_head,Micafungin,0.8901036685860785,0.07766163599257085,61.4,5
enriched_species_only_head,Minocycline,0.879146125454184,0.0034567096089751287,1954.2,5
enriched_species_only_head,Moxifloxacin,0.9879809808804751,0.005264009211318645,179.6,5
enriched_species_only_head,Mupirocin,0.9601949184020111,0.0041667326828394805,1645.6,5
enriched_species_only_head,Nitrofurantoin,0.8911992994446974,0.005443924580631206,4254.0,5
enriched_species_only_head,Norfloxacin,0.8646811890756261,0.004682361517797626,4989.2,5
enriched_species_only_head,Oxacillin,0.918169938325949,0.003677816247201774,3112.0,5
enriched_species_only_head,Penicillin,0.948693019972924,0.004372959216013691,3450.8,5
enriched_species_only_head,Penicillin_with_meningitis,0.7434925951448292,0.07860751535827813,51.0,5
enriched_species_only_head,Penicillin_with_other_infections,0.7328080089844795,0.08447123884737262,51.2,5
enriched_species_only_head,Penicillin_with_pneumonia,0.8356940760389037,0.1261364149367109,51.2,5
enriched_species_only_head,Piperacillin,0.9223686212426383,0.005896392702079137,3778.2,5
enriched_species_only_head,Piperacillin-Tazobactam,0.8722103544531656,0.010743499340109215,5855.8,5
enriched_species_only_head,Polymyxin B,0.9996193306902444,0.0005511316137749268,519.4,5
enriched_species_only_head,Posaconazole,0.4418428272494769,0.25055642855128274,58.4,5
enriched_species_only_head,Pristinamycin,0.9660968303759068,0.003126835173422546,1338.2,5
enriched_species_only_head,Rifampicin,0.8922203373498847,0.016159189949262107,2316.6,5
enriched_species_only_head,Strepomycin_high_level,0.5929914529914531,0.1974230857574092,16.2,5
enriched_species_only_head,Teicoplanin,0.9462137450765171,0.008646699446371144,2826.6,5
enriched_species_only_head,Tetracycline,0.9088650661691112,0.0015607187245536506,3326.6,5
enriched_species_only_head,Ticarcillin,0.9232204992346846,0.006108748264916675,1736.0,5
enriched_species_only_head,Tigecycline,0.9930397772580901,0.0015900392253782815,3664.8,5
enriched_species_only_head,Tobramycin,0.8845195328166712,0.0031435107021621825,9029.2,5
enriched_species_only_head,Vancomycin,0.963653961966265,0.015106258443264693,4168.2,5
enriched_species_only_head,Voriconazole,0.5649139590907232,0.34061180202437513,61.8,5
