model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
species_only,3,15,Pseudomonas_Aeruginosa,1081,13062,0.948867352220016
species_only,3,16,Serratia_Marcescens,257,4001,0.9629352237583125
species_only,3,17,Staphylococcus_Aureus,1453,28324,0.9327360463139541
species_only,3,18,Staphylococcus_Capitis,82,1753,0.9252981795354677
species_only,3,19,Staphylococcus_Epidermidis,1142,23131,0.9318869273225566
species_only,3,20,Staphylococcus_Haemolyticus,66,1369,0.9486138935977123
species_only,3,21,Staphylococcus_Hominis,160,3276,0.8412307567430589
species_only,3,22,Staphylococcus_Lugdunensis,96,1942,0.8729757281382166
species_only,3,23,Stenotrophomonas_Maltophilia,143,898,0.9824802722073409
species_only,3,24,Streptococcus_Pneumoniae,75,779,0.877302358658291
species_only,4,0,Campylobacter_Jejuni,96,219,0.930976430976431
species_only,4,1,Candida_Albicans,66,501,0.7490253411306044
species_only,4,2,Citrobacter_Freundii,132,2104,0.8972442160826596
species_only,4,3,Citrobacter_Koseri,174,2764,0.9769871297965118
species_only,4,4,Enterobacter_Cloacae,324,4832,0.8958911879875477
species_only,4,5,Enterococcus_Faecalis,935,14775,0.9866665588230483
species_only,4,6,Enterococcus_Faecium,439,4796,0.9752615873794472
species_only,4,7,Escherichia_Coli,1523,24120,0.8600540341181198
species_only,4,8,Haemophilus_Influenzae,151,470,0.8416414141414141
species_only,4,9,Klebsiella_Oxytoca,251,4109,0.9367631255903599
species_only,4,10,Klebsiella_Pneumoniae,3914,69309,0.8723623406383588
species_only,4,11,Klebsiella_Variicola,130,2062,0.9095115681233934
species_only,4,12,Morganella_Morganii,174,2803,0.9330071335048985
species_only,4,13,Proteus_Mirabilis,495,8843,0.9245442253701777
species_only,4,14,Proteus_Vulgaris,63,923,0.9827434003904593
species_only,4,15,Pseudomonas_Aeruginosa,1057,12536,0.9516859707722851
species_only,4,16,Serratia_Marcescens,263,4114,0.9658366501458675
species_only,4,17,Staphylococcus_Aureus,1433,27930,0.9290264809775534
species_only,4,18,Staphylococcus_Capitis,80,1590,0.8981219591684708
species_only,4,19,Staphylococcus_Epidermidis,1155,23351,0.9260041027806589
species_only,4,20,Staphylococcus_Haemolyticus,64,1371,0.9331148378309355
species_only,4,21,Staphylococcus_Hominis,125,2611,0.841009251471825
species_only,4,22,Staphylococcus_Lugdunensis,100,2090,0.8975471372411075
species_only,4,23,Stenotrophomonas_Maltophilia,130,839,0.9754079521948977
species_only,4,24,Streptococcus_Pneumoniae,92,979,0.8485389716987327
global_plus_species,0,0,Campylobacter_Jejuni,81,190,0.8660714285714285
global_plus_species,0,1,Candida_Albicans,53,403,0.8694285714285714
global_plus_species,0,2,Citrobacter_Freundii,131,2099,0.8653787210452109
global_plus_species,0,3,Citrobacter_Koseri,160,2567,0.9371228260448542
global_plus_species,0,4,Enterobacter_Cloacae,345,5131,0.8825847536959478
global_plus_species,0,5,Enterococcus_Faecalis,925,14081,0.9893159321986622
global_plus_species,0,6,Enterococcus_Faecium,465,5028,0.9774854326309068
global_plus_species,0,7,Escherichia_Coli,1533,24374,0.863712346624832
global_plus_species,0,8,Haemophilus_Influenzae,170,579,0.8405359820089954
global_plus_species,0,9,Klebsiella_Oxytoca,238,3941,0.9188782912376116
global_plus_species,0,10,Klebsiella_Pneumoniae,3850,68001,0.8790992633796
global_plus_species,0,11,Klebsiella_Variicola,147,2349,0.9388038281648496
global_plus_species,0,12,Morganella_Morganii,158,2619,0.9180031854450459
global_plus_species,0,13,Proteus_Mirabilis,473,8711,0.9177443932572399
global_plus_species,0,14,Proteus_Vulgaris,86,1274,0.9695498414291907
global_plus_species,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9475562811015842
global_plus_species,0,16,Serratia_Marcescens,245,3807,0.9726857323210184
global_plus_species,0,17,Staphylococcus_Aureus,1413,27955,0.9345307614391425
global_plus_species,0,18,Staphylococcus_Capitis,89,1827,0.9363482401453045
global_plus_species,0,19,Staphylococcus_Epidermidis,1128,22712,0.927751992442512
global_plus_species,0,20,Staphylococcus_Haemolyticus,55,1205,0.9332108350301005
global_plus_species,0,21,Staphylococcus_Hominis,174,3715,0.9053005573162347
global_plus_species,0,22,Staphylococcus_Lugdunensis,104,2135,0.8798214586491495
global_plus_species,0,23,Stenotrophomonas_Maltophilia,131,609,0.9822275230438495
global_plus_species,0,24,Streptococcus_Pneumoniae,123,1304,0.8139988941875733
global_plus_species,1,0,Campylobacter_Jejuni,93,222,0.9098096901719224
global_plus_species,1,1,Candida_Albicans,74,587,0.753485987696514
global_plus_species,1,2,Citrobacter_Freundii,133,2208,0.8952264573064007
global_plus_species,1,3,Citrobacter_Koseri,165,2677,0.9735026074207361
global_plus_species,1,4,Enterobacter_Cloacae,311,4634,0.9138912391143765
global_plus_species,1,5,Enterococcus_Faecalis,895,14085,0.9856333701342159
global_plus_species,1,6,Enterococcus_Faecium,428,4553,0.978096819279084
global_plus_species,1,7,Escherichia_Coli,1578,25297,0.8674313839644751
global_plus_species,1,8,Haemophilus_Influenzae,166,532,0.8273341105605752
global_plus_species,1,9,Klebsiella_Oxytoca,251,4169,0.9342177569576581
global_plus_species,1,10,Klebsiella_Pneumoniae,3838,67924,0.879177455516757
global_plus_species,1,11,Klebsiella_Variicola,112,1766,0.876610891706506
global_plus_species,1,12,Morganella_Morganii,166,2727,0.9374225294825481
global_plus_species,1,13,Proteus_Mirabilis,482,8700,0.9163340419088553
global_plus_species,1,14,Proteus_Vulgaris,93,1370,0.980682791292555
global_plus_species,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9428901664309098
global_plus_species,1,16,Serratia_Marcescens,244,3880,0.9743084813911425
global_plus_species,1,17,Staphylococcus_Aureus,1488,29631,0.9308995721944313
global_plus_species,1,18,Staphylococcus_Capitis,90,1799,0.9524480489336719
global_plus_species,1,19,Staphylococcus_Epidermidis,1137,23116,0.9322559594709525
global_plus_species,1,20,Staphylococcus_Haemolyticus,56,1236,0.9202403455230894
global_plus_species,1,21,Staphylococcus_Hominis,149,3117,0.8833253698342655
global_plus_species,1,22,Staphylococcus_Lugdunensis,89,1763,0.9129696819768561
global_plus_species,1,23,Stenotrophomonas_Maltophilia,122,740,0.9650385129837185
global_plus_species,1,24,Streptococcus_Pneumoniae,98,921,0.831386731965074
global_plus_species,2,0,Campylobacter_Jejuni,100,229,0.8919292426755113
global_plus_species,2,1,Candida_Albicans,64,487,0.8738486183420106
global_plus_species,2,2,Citrobacter_Freundii,115,1855,0.8646783932790759
global_plus_species,2,3,Citrobacter_Koseri,171,2732,0.9430329391393636
global_plus_species,2,4,Enterobacter_Cloacae,324,4816,0.9095593637627889
global_plus_species,2,5,Enterococcus_Faecalis,981,14954,0.9881233638954012
global_plus_species,2,6,Enterococcus_Faecium,462,4954,0.9747306581217633
global_plus_species,2,7,Escherichia_Coli,1539,24279,0.855885392225491
global_plus_species,2,8,Haemophilus_Influenzae,152,452,0.8802946593001841
global_plus_species,2,9,Klebsiella_Oxytoca,243,4043,0.9504451867673356
global_plus_species,2,10,Klebsiella_Pneumoniae,3813,67329,0.8691459757624621
global_plus_species,2,11,Klebsiella_Variicola,141,2205,0.952362348283586
global_plus_species,2,12,Morganella_Morganii,159,2628,0.9358001689159352
global_plus_species,2,13,Proteus_Mirabilis,465,8526,0.9184461114762645
global_plus_species,2,14,Proteus_Vulgaris,110,1667,0.9769267458091391
global_plus_species,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9500837819635816
global_plus_species,2,16,Serratia_Marcescens,244,3890,0.9689483875063485
global_plus_species,2,17,Staphylococcus_Aureus,1454,28377,0.9242164613972097
global_plus_species,2,18,Staphylococcus_Capitis,78,1703,0.8608438955692774
global_plus_species,2,19,Staphylococcus_Epidermidis,1169,23774,0.9210877635121442
global_plus_species,2,20,Staphylococcus_Haemolyticus,60,1334,0.9050103398669305
global_plus_species,2,21,Staphylococcus_Hominis,172,3606,0.8697885907647126
global_plus_species,2,22,Staphylococcus_Lugdunensis,90,1820,0.958097055966173
global_plus_species,2,23,Stenotrophomonas_Maltophilia,130,722,0.9672727272727273
global_plus_species,2,24,Streptococcus_Pneumoniae,112,1223,0.8062284197725921
global_plus_species,3,0,Campylobacter_Jejuni,97,258,0.8663373860182372
