model_mode,mean_global_micro_auc,std_global_micro_auc,mean_macro_antibiotic_auc,std_macro_antibiotic_auc,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,n_folds
species_multihead_no_enrichment,0.926669113986825,0.0013084597493644456,0.8604202513587653,0.01906545321226768,0.9172160469597088,0.002536597565864265,0.7252011300307746,0.016791218129901402,5
implicit_species_no_enrichment,0.9266071407822217,0.002627264645200946,0.8560419330028577,0.017910567936727025,0.9152785986056753,0.002610153228620146,0.7291460964625662,0.00878642375895419,5
