fold,antibiotic_id,antibiotic,n_val_pairs,auc
1,63,Ticarcillin,1766,0.9184699861312109
1,64,Tigecycline,3688,0.9921776354781354
1,65,Tobramycin,9055,0.886913357846229
1,66,Vancomycin,4145,0.9605311653116532
1,67,Voriconazole,73,0.5869565217391304
2,0,5-Fluorocytosine,58,0.29824561403508776
2,1,Amikacin,8802,0.8894151614317407
2,2,Amoxicillin,42,0.8956916099773243
2,3,Amoxicillin-Clavulanic acid,5820,0.8988666138277936
2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,1.0
2,5,Ampicillin,4212,0.9597347306072959
2,6,Anidulafungin,62,0.4845238095238096
2,7,Azithromycin,45,0.7533333333333334
2,8,Aztreonam,4173,0.8433353801777108
2,9,Benzylpenicillin,142,0.7531328320802005
2,10,Caspofungin,64,1.0
2,11,Cefazolin,1942,0.9143786933965504
2,12,Cefepime,9968,0.871721188793267
2,13,Cefixime,2913,0.7885909070386926
2,14,Cefotaxime,3748,0.8893478149269931
2,15,Cefoxitin,1197,0.9547731315469973
2,16,Cefpodoxime,1323,0.9063905844087271
2,17,Ceftazidime,7626,0.83952706937343
2,18,Ceftolozane-Tazobactam,21,0.7222222222222222
2,19,Ceftriaxone,5427,0.8777693028319682
2,20,Cefuroxime,6671,0.8619732199680168
2,21,Chloramphenicol,1534,0.9475225225225227
2,22,Ciprofloxacin,12152,0.8498811270524494
2,23,Clarithromycin,277,0.7099095089749295
2,24,Clindamycin,3393,0.8742403574689676
2,25,Colistin,7609,0.9737820476954258
2,26,Cotrimoxazol,298,0.8294270833333333
2,27,Cotrimoxazole,5643,0.8478282913574962
2,28,Daptomycin,3593,0.8521036634138538
2,29,Doxycycline,166,0.6504941599281222
2,30,Ertapenem,7205,0.9160931860070719
2,31,Erythromycin,3507,0.8844971757851081
2,32,Fluconazole,62,0.9508196721311475
2,33,Fosfomycin,5901,0.7422425836665995
2,34,Fusidic acid,2535,0.8425903308421887
2,35,Gentamicin,8265,0.9031887550200804
2,36,Gentamicin_high_level,140,0.6811101670914755
2,37,Imipenem,11485,0.9663819267229781
2,38,Itraconazole,56,0.40865384615384615
2,39,Levofloxacin,9167,0.8678986008053797
2,40,Linezolid,3965,0.8742278481012659
2,41,Meropenem,9688,0.9410783902165989
2,42,Meropenem_with_meningitis,23,0.19047619047619052
2,43,Micafungin,62,0.9661016949152543
2,44,Minocycline,1938,0.873641456829883
2,45,Moxifloxacin,175,0.966326902074991
2,46,Mupirocin,1653,0.9650477069867651
2,47,Nitrofurantoin,4235,0.8681848993301783
2,48,Norfloxacin,5007,0.8590796834577421
2,49,Oxacillin,3157,0.9087438377535102
2,50,Penicillin,3495,0.9429255076370309
2,51,Penicillin_with_meningitis,54,0.6866791744840525
2,52,Penicillin_with_other_infections,54,0.6626984126984127
2,53,Penicillin_with_pneumonia,54,0.47115384615384615
2,54,Piperacillin,3680,0.9129154343888358
2,55,Piperacillin-Tazobactam,5915,0.862771792449128
2,56,Polymyxin B,505,0.9990361445783132
2,57,Posaconazole,61,0.65
2,58,Pristinamycin,1358,0.9617437547188392
2,59,Rifampicin,2354,0.8780643507839985
2,60,Strepomycin_high_level,21,0.5961538461538461
2,61,Teicoplanin,2891,0.9520385712040591
2,62,Tetracycline,3378,0.8920032168248048
2,63,Ticarcillin,1676,0.9206966097611038
2,64,Tigecycline,3713,0.9916653384337477
2,65,Tobramycin,8954,0.877887333834992
2,66,Vancomycin,4271,0.9802263956779007
2,67,Voriconazole,62,0.29508196721311475
3,0,Amikacin,8823,0.8819755178290349
3,1,Amoxicillin,51,0.8571428571428571
