species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Stenotrophomonas_Maltophilia,0.9247993109016562,0.7423315753778439,0.025732165827122972,0.09914085206925502
Klebsiella_Variicola,0.7630788583341175,0.7171387103893618,0.0325782823592531,0.06591471978006769
Staphylococcus_Capitis,0.7441816280703855,0.6929027049420964,0.028561416948137807,0.056423246854824874
Pseudomonas_Aeruginosa,0.8528489793932439,0.6848757489309117,0.025291710528436838,0.03087300135111454
Streptococcus_Pneumoniae,0.7685000090781954,0.667569356621108,0.04905990329294382,0.04088838659585139
Campylobacter_Jejuni,0.9016009553930389,0.6512289720094511,0.01944841330905518,0.11520547957830227
Proteus_Vulgaris,0.9260464746152653,0.6488594683307973,0.009997097398934026,0.09696058461578119
Enterococcus_Faecium,0.8868072571737947,0.6414636861305605,0.013806291376787138,0.01633420586151729
Serratia_Marcescens,0.8113157135531506,0.6403897470518997,0.034807372057520033,0.03536322373940806
Staphylococcus_Lugdunensis,0.8106444866761595,0.6337144378836225,0.03662399081817048,0.09649486322672196
Candida_Albicans,0.6837038955774395,0.6053976765537851,0.07150198389198409,0.15405563293513846
Staphylococcus_Haemolyticus,0.6233280296841391,0.6039133845282784,0.017417183720274617,0.043051747367562926
Haemophilus_Influenzae,0.7401792929109536,0.6038954679464787,0.06005897496726998,0.11625420905973613
Staphylococcus_Aureus,0.6675544879723518,0.5981260030433518,0.02611863358629497,0.01301727330012097
Morganella_Morganii,0.8530007917344868,0.5908126183639384,0.015004560297362924,0.016173890671394863
Staphylococcus_Hominis,0.6445135002715915,0.5787596850221564,0.01519713337827222,0.025545891592885457
Klebsiella_Oxytoca,0.8189196159088731,0.5696041757137178,0.040428077129321796,0.05625958170242258
Enterococcus_Faecalis,0.9637971016051218,0.5656386375589053,0.0033475687233531595,0.025490968842842847
Citrobacter_Koseri,0.869984495442284,0.5597607529376694,0.030566455925318956,0.09989855271316278
Staphylococcus_Epidermidis,0.6715661129222441,0.5577791100311633,0.028914367554248345,0.03640399862193321
Proteus_Mirabilis,0.835720806492869,0.5540221541017498,0.009139016917301544,0.044576171027894615
Enterobacter_Cloacae,0.7161772744806799,0.5532122749236158,0.02263138800740566,0.03739513673849637
Klebsiella_Pneumoniae,0.7460178758055365,0.5395520068839387,0.00965323117905443,0.019289892254935357
Citrobacter_Freundii,0.762614526178116,0.5311371326541543,0.03696391643395391,0.050697637264079616
Escherichia_Coli,0.6329753143919424,0.5161565285460714,0.02771274250742269,0.016891793213650096
