acc_tr,acc_tst,acc_val,auc_tr,auc_tst,auc_val,epoch,loss_tr,loss_tst,loss_val,step
,,,,,,0,0.6713643074035645,,,49
,,0.8141891956329346,,,0.8732738494873047,0,,,0.5531017184257507,53
0.6491841673851013,,,0.7420884966850281,,,0,,,,53
,,,,,,1,0.2892686724662781,,,99
,,0.8445945978164673,,,0.8957530856132507,1,,,0.40801820158958435,107
0.8193473219871521,,,0.8690435290336609,,,1,,,,107
,,,,,,2,0.20996803045272827,,,149
,,0.8665540814399719,,,0.9071952104568481,2,,,0.378003865480423,161
0.8601398468017578,,,0.8956979513168335,,,2,,,,161
,,,,,,3,0.2003808468580246,,,199
,,0.8699324131011963,,,0.9131796360015869,3,,,0.36476513743400574,215
0.8729603886604309,,,0.905424952507019,,,3,,,,215
,,,,,,4,0.2812564969062805,,,249
,,0.8733108043670654,,,0.9165422320365906,4,,,0.3597366511821747,269
0.8793706297874451,,,0.9098542928695679,,,4,,,,269
,,,,,,5,0.3036118447780609,,,299
,,0.875,,,0.9175260663032532,5,,,0.35845035314559937,323
0.88228440284729,,,0.9115140438079834,,,5,,,,323
,,,,,,6,0.24414421617984772,,,349
,,0.875,,,0.9186952710151672,6,,,0.35889101028442383,377
0.8857808709144592,,,0.9128574728965759,,,6,,,,377
,,,,,,7,0.7642334699630737,,,399
,,0.875,,,0.9194939732551575,7,,,0.360180139541626,431
0.8869463801383972,,,0.9142255783081055,,,7,,,,431
,,,,,,8,0.9037624001502991,,,449
,,0.875,,,0.9194360375404358,8,,,0.36186152696609497,485
0.8869463801383972,,,0.9153273105621338,,,8,,,,485
,,,,,,9,0.2338031381368637,,,499
,,0.875,,,0.9200668334960938,9,,,0.36372265219688416,539
0.8875291347503662,,,0.9165083765983582,,,9,,,,539
,,,,,,10,0.19169703125953674,,,549
,,0.875,,,0.9200495481491089,10,,,0.36569470167160034,593
0.8881118893623352,,,0.917734682559967,,,10,,,,593
,,,,,,11,0.248408243060112,,,599
,,0.875,,,0.9207499027252197,11,,,0.36777403950691223,647
0.8886946439743042,,,0.919026792049408,,,11,,,,647
,,,,,,12,0.8311222791671753,,,649
,,,,,,12,0.176170215010643,,,699
,,0.875,,,0.9202520251274109,12,,,0.3699796497821808,701
0.8892773985862732,,,0.9202612638473511,,,12,,,,701
,,,,,,13,0.35296207666397095,,,749
,,0.875,,,0.9193724393844604,13,,,0.3723331093788147,755
0.8892773985862732,,,0.9216169714927673,,,13,,,,755
,,,,,,14,0.7323349118232727,,,799
,,0.875,,,0.9191350936889648,14,,,0.3748489022254944,809
0.8898601531982422,,,0.922777533531189,,,14,,,,809
,,,,,,15,0.19268153607845306,,,849
,,0.875,,,0.9183826446533203,15,,,0.3775293231010437,863
0.8904429078102112,,,0.9239101409912109,,,15,,,,863
,,,,,,16,0.32430389523506165,,,899
,,0.875,,,0.9180006980895996,16,,,0.38036125898361206,917
0.8886946439743042,,,0.9248809814453125,,,16,,,,917
,,,,,,17,0.26494020223617554,,,949
,,0.875,,,0.9173061847686768,17,,,0.3833155632019043,971
0.8904429078102112,,,0.9260149002075195,,,17,,,,971
,,,,,,18,0.18787437677383423,,,999
,,0.875,,,0.9172887802124023,18,,,0.38635095953941345,1025
0.8910256624221802,,,0.9268468022346497,,,18,,,,1025
,,,,,,19,0.1112917810678482,,,1049
,,0.875,,,0.9175724387168884,19,,,0.38941967487335205,1079
0.8910256624221802,,,0.9277219176292419,,,19,,,,1079
,,,,,,20,0.12898874282836914,,,1099
,,0.8716216087341309,,,0.9168605208396912,20,,,0.3924747109413147,1133
0.8910256624221802,,,0.9285551905632019,,,20,,,,1133
,0.8407079577445984,,,0.8827504515647888,,21,,0.4421926438808441,,1134
