antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.32917344908663415,310,19,291,0.06129032258064516
1,Amoxicillin-Clavulanic acid,0.22123893805309736,227,226,1,0.9955947136563876
2,Aztreonam,0.505,90,30,60,0.3333333333333333
3,Cefepime,0.7869152046783625,313,9,304,0.02875399361022364
4,Cefixime,0.5130681818181819,87,32,55,0.367816091954023
5,Cefotaxime,0.4800242130750606,87,28,59,0.3218390804597701
6,Ceftazidime,0.4937452435312024,315,96,219,0.3047619047619048
7,Ceftriaxone,0.5060905130256957,232,69,163,0.2974137931034483
8,Cefuroxime,0.5194444444444444,42,12,30,0.2857142857142857
9,Ciprofloxacin,0.667384105960265,322,20,302,0.062111801242236024
10,Colistin,0.4893617021276596,287,5,282,0.017421602787456445
11,Cotrimoxazole,0.6553398058252428,224,18,206,0.08035714285714286
12,Ertapenem,0.8724489795918368,296,2,294,0.006756756756756757
13,Fosfomycin,0.5187239944521498,110,7,103,0.06363636363636363
14,Gentamicin,0.5982905982905983,124,7,117,0.056451612903225805
15,Imipenem,0.8603896103896104,310,2,308,0.0064516129032258064
16,Levofloxacin,0.6531919151490895,282,19,263,0.0673758865248227
17,Meropenem,0.8711340206185566,293,2,291,0.006825938566552901
18,Norfloxacin,0.6495535714285714,174,14,160,0.08045977011494253
19,Piperacillin,0.4964912280701755,87,30,57,0.3448275862068966
20,Piperacillin-Tazobactam,0.4645504855382688,218,61,157,0.2798165137614679
21,Ticarcillin,0.5,87,32,55,0.367816091954023
22,Tobramycin,0.5016903313049357,284,29,255,0.10211267605633803
