antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,,34,0,34,0.0
1,Amoxicillin-Clavulanic acid,0.6283422459893048,195,8,187,0.041025641025641026
2,Ampicillin,0.44230769230769235,62,36,26,0.5806451612903226
3,Cefazolin,0.5533769063180828,159,6,153,0.03773584905660377
4,Cefepime,0.5683229813664596,167,6,161,0.03592814371257485
5,Ceftriaxone,0.5544662309368191,159,6,153,0.03773584905660377
6,Cefuroxime,0.5490196078431373,159,6,153,0.03773584905660377
7,Ciprofloxacin,0.948070448070448,237,39,198,0.16455696202531644
8,Clarithromycin,0.4722222222222222,27,3,24,0.1111111111111111
9,Clindamycin,0.55608214849921,232,21,211,0.09051724137931035
10,Cotrimoxazole,,195,0,195,0.0
11,Doxycycline,0.888888888888889,27,3,24,0.1111111111111111
12,Erythromycin,0.5482695810564663,201,18,183,0.08955223880597014
13,Fusidic acid,0.7546897546897547,205,7,198,0.03414634146341464
14,Imipenem,0.9104575163398693,193,40,153,0.20725388601036268
15,Levofloxacin,1.0,42,34,8,0.8095238095238095
16,Meropenem,0.5533769063180828,159,6,153,0.03773584905660377
17,Mupirocin,0.9772727272727273,45,1,44,0.022222222222222223
18,Oxacillin,0.6118421052631579,236,8,228,0.03389830508474576
19,Penicillin,0.5176662586699307,224,95,129,0.42410714285714285
20,Piperacillin-Tazobactam,0.55119825708061,159,6,153,0.03773584905660377
21,Tetracycline,0.5257731958762887,201,7,194,0.03482587064676617
22,Tobramycin,,34,0,34,0.0
