antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin-Clavulanic acid,0.8052377868911432,359,113,246,0.3147632311977716
1,Cefazolin,0.8120682649329539,337,107,230,0.31750741839762614
2,Cefepime,0.8068692876831568,357,113,244,0.3165266106442577
3,Ceftriaxone,0.8122308004876065,337,107,230,0.31750741839762614
4,Cefuroxime,0.8125965054855749,337,107,230,0.31750741839762614
5,Ciprofloxacin,0.7801907968574634,379,55,324,0.14511873350923482
6,Clindamycin,0.7252767527675277,371,100,271,0.2695417789757412
7,Cotrimoxazole,0.4773208986858838,358,21,337,0.05865921787709497
8,Erythromycin,0.5778682345846524,366,201,165,0.5491803278688525
9,Fosfomycin,0.5454545454545454,28,22,6,0.7857142857142857
10,Fusidic acid,0.5746097201767305,369,175,194,0.4742547425474255
11,Gentamicin,0.749620965995235,369,27,342,0.07317073170731707
12,Imipenem,0.8151228733459357,345,115,230,0.3333333333333333
13,Levofloxacin,0.4444444444444444,28,9,19,0.32142857142857145
14,Meropenem,0.8119463632669647,337,107,230,0.31750741839762614
15,Mupirocin,0.6000000000000001,34,4,30,0.11764705882352941
16,Oxacillin,0.8006011362135025,377,116,261,0.3076923076923077
17,Penicillin,0.6901408450704225,356,355,1,0.9971910112359551
18,Piperacillin-Tazobactam,0.8122714343762698,337,107,230,0.31750741839762614
19,Rifampicin,0.8426916221033869,380,6,374,0.015789473684210527
20,Teicoplanin,0.4605263157894737,40,2,38,0.05
21,Tetracycline,0.5460071423144137,353,107,246,0.3031161473087819
