antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.6811081928323307,2180,145,2035,0.06651376146788991
1,Amoxicillin-Clavulanic acid,,185,185,0,1.0
2,Aztreonam,0.8502463884881303,1113,1007,106,0.9047619047619048
3,Cefepime,0.9367596541681787,2527,1021,1506,0.4040364068064899
4,Ceftazidime,0.9312679149679423,2202,865,1337,0.39282470481380566
5,Ceftolozane-Tazobactam,0.5350877192982456,41,3,38,0.07317073170731707
6,Ceftriaxone,,186,186,0,1.0
7,Cefuroxime,0.8115015974440895,942,939,3,0.9968152866242038
8,Ciprofloxacin,0.8420880590961644,2578,871,1707,0.3378588052754073
9,Colistin,0.6801563638772941,2387,65,2322,0.027230833682446585
10,Cotrimoxazole,,186,186,0,1.0
11,Ertapenem,,761,761,0,1.0
12,Fosfomycin,0.5156051533297042,730,334,396,0.4575342465753425
13,Gentamicin,0.6822440087145969,291,36,255,0.12371134020618557
14,Imipenem,0.9152582888900395,2176,930,1246,0.4273897058823529
15,Levofloxacin,0.8719462531131857,1913,701,1212,0.36644014636696287
16,Meropenem,0.6536360532604986,2397,377,2020,0.1572799332498957
17,Norfloxacin,0.6841085271317829,133,129,4,0.9699248120300752
18,Piperacillin-Tazobactam,0.6667524097802983,1839,333,1506,0.18107667210440456
19,Tobramycin,0.7863011006289308,2372,212,2160,0.0893760539629005
