antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin,0.59375,26,10,16,0.38461538461538464
1,Amoxicillin-Clavulanic acid,0.7208931419457735,68,11,57,0.16176470588235295
2,Ampicillin,0.6078947368421053,192,40,152,0.20833333333333334
3,Ceftriaxone,0.5079365079365079,64,1,63,0.015625
4,Cefuroxime,0.6898865784499055,207,92,115,0.4444444444444444
5,Ciprofloxacin,0.48523206751054854,82,3,79,0.036585365853658534
6,Clarithromycin,0.5483870967741935,32,31,1,0.96875
7,Levofloxacin,0.5030864197530864,164,2,162,0.012195121951219513
8,Meropenem_with_meningitis,0.6285714285714287,33,5,28,0.15151515151515152
9,Meropenem_without_meningitis,0.4375,33,1,32,0.030303030303030304
10,Penicillin,0.680316091954023,215,87,128,0.4046511627906977
