antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin,0.9090909090909091,25,3,22,0.12
1,Amoxicillin-Clavulanic acid,,365,0,365,0.0
2,Ampicillin,0.43359442993907743,1918,3,1915,0.0015641293013555788
3,Chloramphenicol,0.560063224446786,159,13,146,0.08176100628930817
4,Ciprofloxacin,0.8347842001930053,1653,540,1113,0.32667876588021777
5,Clindamycin,0.2823170731707317,1641,1640,1,0.9993906154783668
6,Cotrimoxazole,0.5605214152700186,182,179,3,0.9835164835164835
7,Daptomycin,,1579,0,1579,0.0
8,Fosfomycin,0.5896138357735285,1409,116,1293,0.0823278921220724
9,Gentamicin,0.97675598863175,1660,1642,18,0.9891566265060241
10,Gentamicin_high_level,0.5317241379310345,165,20,145,0.12121212121212122
11,Imipenem,0.9290118243243243,2048,1480,568,0.72265625
12,Levofloxacin,0.8689698525027867,2041,501,1540,0.24546790788829007
13,Linezolid,0.810401891252955,2123,8,2115,0.0037682524729156855
14,Minocycline,0.7158658945644468,1550,1009,541,0.6509677419354839
15,Mupirocin,0.6390977443609023,267,266,1,0.9962546816479401
16,Nitrofurantoin,0.4645808736717828,1708,14,1694,0.00819672131147541
17,Norfloxacin,0.5572766570605188,1402,1388,14,0.9900142653352354
18,Oxacillin,0.5874060150375939,268,266,2,0.9925373134328358
19,Penicillin,0.7314793621728847,1559,17,1542,0.010904425914047467
20,Piperacillin-Tazobactam,,364,0,364,0.0
21,Pristinamycin,0.6296958939103647,1553,1401,152,0.9021249195106246
22,Strepomycin_high_level,0.47465437788018433,45,14,31,0.3111111111111111
23,Teicoplanin,0.6920236336779911,2035,4,2031,0.0019656019656019656
24,Tetracycline,0.7010839706399439,1552,1264,288,0.8144329896907216
25,Vancomycin,0.6627879642689234,2131,4,2127,0.0018770530267480056
