antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.6484604105571847,830,148,682,0.1783132530120482
1,Amoxicillin-Clavulanic acid,0.8731210538941716,2375,396,1979,0.16673684210526316
2,Ampicillin,0.5897395080234712,1210,979,231,0.8090909090909091
3,Benzylpenicillin,0.47171302149178257,169,113,56,0.6686390532544378
4,Cefazolin,0.8994059248789742,1827,361,1466,0.19759168035030103
5,Cefepime,0.8908306002947698,1995,371,1624,0.18596491228070175
6,Ceftriaxone,0.8991697308900168,1827,361,1466,0.19759168035030103
7,Cefuroxime,0.8994078144308859,1827,361,1466,0.19759168035030103
8,Chloramphenicol,0.6351674641148326,842,6,836,0.007125890736342043
9,Ciprofloxacin,0.9103746320815957,3279,1177,2102,0.35895089966453186
10,Clarithromycin,0.5101696216133241,346,43,303,0.12427745664739884
11,Clindamycin,0.6664153763738162,3068,552,2516,0.17992177314211213
12,Cotrimoxazol,0.33333333333333326,168,3,165,0.017857142857142856
13,Cotrimoxazole,0.6351515151515151,2264,75,2189,0.03312720848056537
14,Daptomycin,0.6853003262329688,2913,18,2895,0.006179196704428424
15,Doxycycline,0.6014242555028053,345,14,331,0.04057971014492753
16,Erythromycin,0.6916334168184097,2812,661,2151,0.23506401137980085
17,Fosfomycin,0.6727673973811974,1006,35,971,0.03479125248508946
18,Fusidic acid,0.6439927248978601,2786,204,2582,0.0732232591529074
19,Gentamicin,0.7171905159441251,3205,122,3083,0.03806552262090484
20,Imipenem,0.9516743359946362,2660,1166,1494,0.43834586466165415
21,Levofloxacin,0.9923006695069994,1003,848,155,0.8454636091724825
22,Meropenem,0.8993649768593263,1828,361,1467,0.1974835886214442
23,Minocycline,0.5173444976076556,838,2,836,0.002386634844868735
24,Moxifloxacin,0.539568345323741,141,139,2,0.9858156028368794
25,Mupirocin,0.8457750526920864,3155,85,3070,0.02694136291600634
26,Nitrofurantoin,1.0,48,1,47,0.020833333333333332
27,Norfloxacin,0.918472906403941,151,116,35,0.7682119205298014
28,Oxacillin,0.8331256756901406,3607,627,2980,0.17382866648184087
29,Penicillin,0.6231514995312214,2997,2298,699,0.7667667667667668
30,Piperacillin-Tazobactam,0.8992906622123629,1827,361,1466,0.19759168035030103
31,Pristinamycin,0.6173652694610778,837,2,835,0.0023894862604540022
32,Rifampicin,0.6656489613829639,2421,30,2391,0.012391573729863693
33,Teicoplanin,0.8106624158696422,2825,2,2823,0.0007079646017699115
34,Tetracycline,0.7073754938252405,2818,183,2635,0.06493967352732434
35,Tigecycline,,1995,0,1995,0.0
36,Tobramycin,0.6507329633567087,830,151,679,0.1819277108433735
