antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin,0.9596774193548387,47,31,16,0.6595744680851063
1,Amoxicillin-Clavulanic acid,0.7840236686390533,65,52,13,0.8
2,Ampicillin,0.8671939736346517,509,450,59,0.8840864440078585
3,Chloramphenicol,0.6464354527938343,179,6,173,0.0335195530726257
4,Ciprofloxacin,0.8589977220956719,469,439,30,0.9360341151385928
5,Clindamycin,0.9130434782608695,47,46,1,0.9787234042553191
6,Daptomycin,0.6808499949763891,575,37,538,0.06434782608695652
7,Fosfomycin,0.5991967871485944,308,83,225,0.2694805194805195
8,Gentamicin,0.6798181284834264,501,487,14,0.9720558882235529
9,Gentamicin_high_level,0.7502164502164502,152,42,110,0.27631578947368424
10,Imipenem,0.9013505341664988,646,605,41,0.9365325077399381
11,Levofloxacin,0.946180609246946,1037,892,145,0.8601735776277725
12,Linezolid,0.5656603773584906,1070,10,1060,0.009345794392523364
13,Minocycline,0.8156437836127808,443,116,327,0.2618510158013544
14,Mupirocin,,40,0,40,0.0
15,Nitrofurantoin,0.6207988165680474,390,260,130,0.6666666666666666
16,Norfloxacin,,265,265,0,1.0
17,Penicillin,0.8651062867480779,446,402,44,0.9013452914798207
18,Piperacillin-Tazobactam,0.7628205128205129,64,52,12,0.8125
19,Pristinamycin,0.757385587431694,445,61,384,0.13707865168539327
20,Teicoplanin,0.8418893387314441,1032,57,975,0.055232558139534885
21,Tetracycline,0.8358159549817942,444,159,285,0.3581081081081081
22,Tigecycline,0.6169491525423729,591,1,590,0.001692047377326565
23,Vancomycin,0.8559250308462582,1108,97,1011,0.08754512635379061
