model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,2,0,Campylobacter_Jejuni,100,229,0.916067809102635,0.7179282213091934,3,69.66666666666667
species_multihead_no_enrichment,2,1,Candida_Albicans,64,487,0.8466159391269523,0.6028520595538812,8,60.875
species_multihead_no_enrichment,2,2,Citrobacter_Freundii,115,1855,0.9144587380764855,0.6681692108575897,23,70.34782608695652
species_multihead_no_enrichment,2,3,Citrobacter_Koseri,171,2732,0.9534349404563551,0.8042274904378873,23,103.08695652173913
species_multihead_no_enrichment,2,4,Enterobacter_Cloacae,324,4816,0.9216452490972469,0.6621367524865893,22,176.63636363636363
species_multihead_no_enrichment,2,5,Enterococcus_Faecalis,981,14954,0.9879200866049539,0.7398941458691616,18,521.7222222222222
species_multihead_no_enrichment,2,6,Enterococcus_Faecium,462,4954,0.9738442908760077,0.777435603699149,23,179.2608695652174
species_multihead_no_enrichment,2,7,Escherichia_Coli,1539,24279,0.8626957962445191,0.679986160752182,30,802.8666666666667
species_multihead_no_enrichment,2,8,Haemophilus_Influenzae,152,452,0.8214548802946593,0.6425914634945181,7,44.42857142857143
species_multihead_no_enrichment,2,9,Klebsiella_Oxytoca,243,4043,0.9392428720445062,0.6848324995950653,19,145.3684210526316
species_multihead_no_enrichment,2,10,Klebsiella_Pneumoniae,3813,67329,0.8746981755132421,0.7308465010342721,30,2198.6
species_multihead_no_enrichment,2,11,Klebsiella_Variicola,141,2205,0.9605016408813877,0.8937782196001961,18,83.83333333333333
species_multihead_no_enrichment,2,12,Morganella_Morganii,159,2628,0.9453391435530311,0.7325055643245184,21,89.0
species_multihead_no_enrichment,2,13,Proteus_Mirabilis,465,8526,0.910165373338878,0.6966723398809179,28,280.5357142857143
species_multihead_no_enrichment,2,14,Proteus_Vulgaris,110,1667,0.9777406326438632,0.7531378726694923,17,65.3529411764706
species_multihead_no_enrichment,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9520937301893213,0.7789707551483929,17,584.3529411764706
species_multihead_no_enrichment,2,16,Serratia_Marcescens,244,3890,0.9685800480362281,0.6649905990193405,20,145.0
species_multihead_no_enrichment,2,17,Staphylococcus_Aureus,1454,28377,0.9274346099500034,0.7666800197969919,35,717.5428571428571
species_multihead_no_enrichment,2,18,Staphylococcus_Capitis,78,1703,0.861068681616293,0.7168399003416911,20,61.55
species_multihead_no_enrichment,2,19,Staphylococcus_Epidermidis,1169,23774,0.9263551829042956,0.8061936596139025,33,678.030303030303
species_multihead_no_enrichment,2,20,Staphylococcus_Haemolyticus,60,1334,0.940268162201043,0.8753343925783978,24,44.125
species_multihead_no_enrichment,2,21,Staphylococcus_Hominis,172,3606,0.8929250929753714,0.7750374869909394,24,121.29166666666667
species_multihead_no_enrichment,2,22,Staphylococcus_Lugdunensis,90,1820,0.9592012291416123,0.7748445849107412,16,52.0625
species_multihead_no_enrichment,2,23,Stenotrophomonas_Maltophilia,130,722,0.9806410256410255,0.7556354275717022,6,50.333333333333336
species_multihead_no_enrichment,2,24,Streptococcus_Pneumoniae,112,1223,0.8543639768864114,0.7607569975623063,23,44.608695652173914
species_multihead_no_enrichment,3,0,Campylobacter_Jejuni,97,258,0.8703647416413374,0.42237327104850186,5,50.6
species_multihead_no_enrichment,3,1,Candida_Albicans,58,381,0.8171724021020511,0.6701746479037584,7,54.42857142857143
species_multihead_no_enrichment,3,2,Citrobacter_Freundii,136,2168,0.8862478956228956,0.6381923746856712,22,86.13636363636364
species_multihead_no_enrichment,3,3,Citrobacter_Koseri,181,2902,0.9799992653540994,0.7855373462649077,20,105.5
species_multihead_no_enrichment,3,4,Enterobacter_Cloacae,303,4464,0.9048666977234369,0.6868615438508442,25,158.76
species_multihead_no_enrichment,3,5,Enterococcus_Faecalis,896,13774,0.9884022067581261,0.7300275768148624,20,550.7
species_multihead_no_enrichment,3,6,Enterococcus_Faecium,444,4866,0.9724456201250283,0.7667503886140318,22,193.54545454545453
species_multihead_no_enrichment,3,7,Escherichia_Coli,1556,24761,0.8710132365524351,0.6645311055407329,31,792.1290322580645
species_multihead_no_enrichment,3,8,Haemophilus_Influenzae,203,679,0.8584027794650015,0.7096322754847858,12,46.916666666666664
species_multihead_no_enrichment,3,9,Klebsiella_Oxytoca,256,4222,0.9341047105841459,0.7292228983676788,23,150.56521739130434
species_multihead_no_enrichment,3,10,Klebsiella_Pneumoniae,3850,68131,0.866328641435566,0.7496189162238927,31,2175.8064516129034
species_multihead_no_enrichment,3,11,Klebsiella_Variicola,135,2144,0.9307006495270553,0.7555453473710886,13,93.46153846153847
species_multihead_no_enrichment,3,12,Morganella_Morganii,156,2560,0.9305347485629893,0.5959052907870479,22,87.31818181818181
species_multihead_no_enrichment,3,13,Proteus_Mirabilis,457,8258,0.9152137475456735,0.720378829146747,27,271.8888888888889
species_multihead_no_enrichment,3,14,Proteus_Vulgaris,83,1240,0.963321448950785,0.6598023167843177,13,61.92307692307692
species_multihead_no_enrichment,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9491412379982027,0.8024921123966953,15,674.9333333333333
species_multihead_no_enrichment,3,16,Serratia_Marcescens,257,4001,0.9694615351392102,0.5505401325239299,19,146.21052631578948
species_multihead_no_enrichment,3,17,Staphylococcus_Aureus,1453,28324,0.9269377662857222,0.7736557064393632,33,714.939393939394
species_multihead_no_enrichment,3,18,Staphylococcus_Capitis,82,1753,0.9382123177791728,0.7840805057893586,22,64.95454545454545
species_multihead_no_enrichment,3,19,Staphylococcus_Epidermidis,1142,23131,0.9295163655912193,0.8258583387697432,34,643.3235294117648
species_multihead_no_enrichment,3,20,Staphylococcus_Haemolyticus,66,1369,0.9446049725175939,0.8829177377179084,24,46.0
