model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,1,16,Cefpodoxime,1283,0.9155981854948899
species_multihead_no_enrichment,1,17,Ceftazidime,7734,0.8466488544189592
species_multihead_no_enrichment,1,18,Ceftolozane-Tazobactam,21,0.5555555555555556
species_multihead_no_enrichment,1,19,Ceftriaxone,5337,0.8968105480391122
species_multihead_no_enrichment,1,20,Cefuroxime,6803,0.8864812451172053
species_multihead_no_enrichment,1,21,Chloramphenicol,1574,0.9491078782351867
species_multihead_no_enrichment,1,22,Ciprofloxacin,12253,0.8719694874002852
species_multihead_no_enrichment,1,23,Clarithromycin,269,0.6910442882823992
species_multihead_no_enrichment,1,24,Clindamycin,3353,0.9031530803832664
species_multihead_no_enrichment,1,25,Colistin,7730,0.9768991371692917
species_multihead_no_enrichment,1,26,Cotrimoxazol,290,0.8132573057733428
species_multihead_no_enrichment,1,27,Cotrimoxazole,5544,0.8514985223967826
species_multihead_no_enrichment,1,28,Daptomycin,3547,0.8026421610369949
species_multihead_no_enrichment,1,29,Doxycycline,171,0.4917695473251029
species_multihead_no_enrichment,1,30,Ertapenem,7258,0.9272240990990991
species_multihead_no_enrichment,1,31,Erythromycin,3453,0.8929779028257688
species_multihead_no_enrichment,1,32,Fluconazole,74,0.6434782608695653
species_multihead_no_enrichment,1,33,Fosfomycin,6008,0.7393942368129832
species_multihead_no_enrichment,1,34,Fusidic acid,2522,0.8750481592465754
species_multihead_no_enrichment,1,35,Gentamicin,8376,0.9147750623998196
species_multihead_no_enrichment,1,36,Gentamicin_high_level,119,0.7674157303370788
species_multihead_no_enrichment,1,37,Imipenem,11492,0.9678979895928879
species_multihead_no_enrichment,1,38,Itraconazole,72,0.7157757496740548
species_multihead_no_enrichment,1,39,Levofloxacin,9073,0.8809372219159431
species_multihead_no_enrichment,1,40,Linezolid,3827,0.9640285415030112
species_multihead_no_enrichment,1,41,Meropenem,9788,0.9479594935460052
species_multihead_no_enrichment,1,42,Meropenem_with_meningitis,27,0.4583333333333333
species_multihead_no_enrichment,1,43,Micafungin,74,0.909313725490196
species_multihead_no_enrichment,1,44,Minocycline,1955,0.866596336314239
species_multihead_no_enrichment,1,45,Moxifloxacin,159,0.9936995967741935
species_multihead_no_enrichment,1,46,Mupirocin,1683,0.9531127778033406
species_multihead_no_enrichment,1,47,Nitrofurantoin,4222,0.8922221985951332
species_multihead_no_enrichment,1,48,Norfloxacin,4927,0.8632923914975519
species_multihead_no_enrichment,1,49,Oxacillin,3152,0.9214506263231443
species_multihead_no_enrichment,1,50,Penicillin,3445,0.9486211182910067
species_multihead_no_enrichment,1,51,Penicillin_with_meningitis,62,0.7817896389324961
species_multihead_no_enrichment,1,52,Penicillin_with_other_infections,62,0.770053475935829
species_multihead_no_enrichment,1,53,Penicillin_with_pneumonia,62,0.8833333333333334
species_multihead_no_enrichment,1,54,Piperacillin,3835,0.9210332958137206
species_multihead_no_enrichment,1,55,Piperacillin-Tazobactam,5893,0.8701532909511788
species_multihead_no_enrichment,1,56,Polymyxin B,516,1.0
species_multihead_no_enrichment,1,57,Posaconazole,73,0.6411764705882352
species_multihead_no_enrichment,1,58,Pristinamycin,1304,0.9627936950191789
species_multihead_no_enrichment,1,59,Rifampicin,2366,0.9081595442084354
species_multihead_no_enrichment,1,60,Strepomycin_high_level,14,0.4222222222222222
species_multihead_no_enrichment,1,61,Teicoplanin,2793,0.914288327844859
species_multihead_no_enrichment,1,62,Tetracycline,3328,0.9068856430369319
species_multihead_no_enrichment,1,63,Ticarcillin,1766,0.9191879220935844
species_multihead_no_enrichment,1,64,Tigecycline,3688,0.9929769972771235
species_multihead_no_enrichment,1,65,Tobramycin,9055,0.8824008999274925
species_multihead_no_enrichment,1,66,Vancomycin,4145,0.9657452574525747
species_multihead_no_enrichment,1,67,Voriconazole,73,0.6376811594202899
species_multihead_no_enrichment,2,0,5-Fluorocytosine,58,0.4736842105263158
species_multihead_no_enrichment,2,1,Amikacin,8802,0.8973038935044577
species_multihead_no_enrichment,2,2,Amoxicillin,42,0.8412698412698413
species_multihead_no_enrichment,2,3,Amoxicillin-Clavulanic acid,5820,0.9078247038913636
species_multihead_no_enrichment,2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,1.0
species_multihead_no_enrichment,2,5,Ampicillin,4212,0.9579537448601013
species_multihead_no_enrichment,2,6,Anidulafungin,62,0.5738095238095238
species_multihead_no_enrichment,2,7,Azithromycin,45,0.8955555555555555
species_multihead_no_enrichment,2,8,Aztreonam,4173,0.8527721815907858
species_multihead_no_enrichment,2,9,Benzylpenicillin,142,0.8421052631578948
species_multihead_no_enrichment,2,10,Caspofungin,64,0.9838709677419355
species_multihead_no_enrichment,2,11,Cefazolin,1942,0.9184355244623101
species_multihead_no_enrichment,2,12,Cefepime,9968,0.8752860903927571
species_multihead_no_enrichment,2,13,Cefixime,2913,0.7804765452164883
species_multihead_no_enrichment,2,14,Cefotaxime,3748,0.8857621293125155
species_multihead_no_enrichment,2,15,Cefoxitin,1197,0.9506084648615071
species_multihead_no_enrichment,2,16,Cefpodoxime,1323,0.9080300758231779
species_multihead_no_enrichment,2,17,Ceftazidime,7626,0.8497905688067644
species_multihead_no_enrichment,2,18,Ceftolozane-Tazobactam,21,0.7222222222222222
species_multihead_no_enrichment,2,19,Ceftriaxone,5427,0.8920392126247856
species_multihead_no_enrichment,2,20,Cefuroxime,6671,0.8751222355034644
species_multihead_no_enrichment,2,21,Chloramphenicol,1534,0.9516190719020907
species_multihead_no_enrichment,2,22,Ciprofloxacin,12152,0.8721192716514498
species_multihead_no_enrichment,2,23,Clarithromycin,277,0.8006230529595015
species_multihead_no_enrichment,2,24,Clindamycin,3393,0.8936451515020158
species_multihead_no_enrichment,2,25,Colistin,7609,0.9754561590013303
species_multihead_no_enrichment,2,26,Cotrimoxazol,298,0.7894345238095238
species_multihead_no_enrichment,2,27,Cotrimoxazole,5643,0.8625704728143438
species_multihead_no_enrichment,2,28,Daptomycin,3593,0.8894176931690929
species_multihead_no_enrichment,2,29,Doxycycline,166,0.6918238993710691
species_multihead_no_enrichment,2,30,Ertapenem,7205,0.9327982745636136
species_multihead_no_enrichment,2,31,Erythromycin,3507,0.8974201530525361
species_multihead_no_enrichment,2,32,Fluconazole,62,0.9672131147540983
species_multihead_no_enrichment,2,33,Fosfomycin,5901,0.745834394185915
species_multihead_no_enrichment,2,34,Fusidic acid,2535,0.8486565951892485
species_multihead_no_enrichment,2,35,Gentamicin,8265,0.9110383494763368
species_multihead_no_enrichment,2,36,Gentamicin_high_level,140,0.7740016992353441
species_multihead_no_enrichment,2,37,Imipenem,11485,0.9702308900134307
species_multihead_no_enrichment,2,38,Itraconazole,56,0.44711538461538464
species_multihead_no_enrichment,2,39,Levofloxacin,9167,0.891263060255632
species_multihead_no_enrichment,2,40,Linezolid,3965,0.8899746835443038
species_multihead_no_enrichment,2,41,Meropenem,9688,0.9527823438150838
species_multihead_no_enrichment,2,42,Meropenem_with_meningitis,23,0.7857142857142857
species_multihead_no_enrichment,2,43,Micafungin,62,0.8022598870056498
species_multihead_no_enrichment,2,44,Minocycline,1938,0.8736742421854214
species_multihead_no_enrichment,2,45,Moxifloxacin,175,0.9819803421914816
species_multihead_no_enrichment,2,46,Mupirocin,1653,0.9549276700523237
species_multihead_no_enrichment,2,47,Nitrofurantoin,4235,0.891342243697852
species_multihead_no_enrichment,2,48,Norfloxacin,5007,0.8692934648277226
species_multihead_no_enrichment,2,49,Oxacillin,3157,0.9083342693707748
species_multihead_no_enrichment,2,50,Penicillin,3495,0.9478409001845672
species_multihead_no_enrichment,2,51,Penicillin_with_meningitis,54,0.7429643527204502
species_multihead_no_enrichment,2,52,Penicillin_with_other_infections,54,0.7003968253968254
species_multihead_no_enrichment,2,53,Penicillin_with_pneumonia,54,0.9807692307692308
species_multihead_no_enrichment,2,54,Piperacillin,3680,0.9037735316272877
species_multihead_no_enrichment,2,55,Piperacillin-Tazobactam,5915,0.8780283431892528
species_multihead_no_enrichment,2,56,Polymyxin B,505,0.9995983935742973
species_multihead_no_enrichment,2,57,Posaconazole,61,0.06666666666666665
species_multihead_no_enrichment,2,58,Pristinamycin,1358,0.9655013185394304
species_multihead_no_enrichment,2,59,Rifampicin,2354,0.8951468977889613
species_multihead_no_enrichment,2,60,Strepomycin_high_level,21,0.7307692307692307
species_multihead_no_enrichment,2,61,Teicoplanin,2891,0.9336510181630407
species_multihead_no_enrichment,2,62,Tetracycline,3378,0.9070942851049899
species_multihead_no_enrichment,2,63,Ticarcillin,1676,0.9180751760264866
species_multihead_no_enrichment,2,64,Tigecycline,3713,0.9913105895583183
species_multihead_no_enrichment,2,65,Tobramycin,8954,0.8927346560724193
species_multihead_no_enrichment,2,66,Vancomycin,4271,0.9705942886544894
species_multihead_no_enrichment,2,67,Voriconazole,62,0.5081967213114754
species_multihead_no_enrichment,3,0,Amikacin,8823,0.887347812110249
species_multihead_no_enrichment,3,1,Amoxicillin,51,0.9425465838509316
species_multihead_no_enrichment,3,2,Amoxicillin-Clavulanic acid,5725,0.9180072577855876
species_multihead_no_enrichment,3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.8428571428571429
species_multihead_no_enrichment,3,4,Ampicillin,4313,0.9554535213173626
species_multihead_no_enrichment,3,5,Anidulafungin,54,0.7638888888888888
species_multihead_no_enrichment,3,6,Azithromycin,40,0.76171875
species_multihead_no_enrichment,3,7,Aztreonam,4371,0.854667096751162
species_multihead_no_enrichment,3,8,Benzylpenicillin,128,0.8514285714285714
species_multihead_no_enrichment,3,9,Caspofungin,58,0.9886792452830189
species_multihead_no_enrichment,3,10,Cefazolin,1929,0.9320347613358366
species_multihead_no_enrichment,3,11,Cefepime,10035,0.8871076804468531
species_multihead_no_enrichment,3,12,Cefixime,2989,0.7763515462200575
species_multihead_no_enrichment,3,13,Cefotaxime,3940,0.8875669192067566
species_multihead_no_enrichment,3,14,Cefoxitin,1292,0.9541648088454219
species_multihead_no_enrichment,3,15,Cefpodoxime,1199,0.9068233082706767
species_multihead_no_enrichment,3,16,Ceftazidime,7704,0.8454602281606501
species_multihead_no_enrichment,3,17,Ceftolozane-Tazobactam,21,0.8444444444444444
species_multihead_no_enrichment,3,18,Ceftriaxone,5315,0.9028757954794822
species_multihead_no_enrichment,3,19,Cefuroxime,6829,0.8783132064186123
species_multihead_no_enrichment,3,20,Chloramphenicol,1588,0.950073455015234
species_multihead_no_enrichment,3,21,Ciprofloxacin,12182,0.8635426403492372
species_multihead_no_enrichment,3,22,Clarithromycin,255,0.7359713838587079
species_multihead_no_enrichment,3,23,Clindamycin,3291,0.8868595788398507
species_multihead_no_enrichment,3,24,Colistin,7688,0.973016917041943
species_multihead_no_enrichment,3,25,Cotrimoxazol,278,0.8939205096247057
species_multihead_no_enrichment,3,26,Cotrimoxazole,5542,0.8508992083524555
species_multihead_no_enrichment,3,27,Daptomycin,3499,0.8704796163069545
species_multihead_no_enrichment,3,28,Doxycycline,170,0.7075
species_multihead_no_enrichment,3,29,Ertapenem,7306,0.9265117734965064
species_multihead_no_enrichment,3,30,Erythromycin,3406,0.8883317832608884
species_multihead_no_enrichment,3,31,Fluconazole,57,0.44545454545454544
species_multihead_no_enrichment,3,32,Fosfomycin,6020,0.7421618600120652
species_multihead_no_enrichment,3,33,Fusidic acid,2495,0.8561155376655363
species_multihead_no_enrichment,3,34,Gentamicin,8366,0.9096760891415077
species_multihead_no_enrichment,3,35,Gentamicin_high_level,124,0.7908333333333333
species_multihead_no_enrichment,3,36,Imipenem,11428,0.9687424808532179
species_multihead_no_enrichment,3,37,Itraconazole,51,0.32792207792207795
species_multihead_no_enrichment,3,38,Levofloxacin,9067,0.8733457436989706
species_multihead_no_enrichment,3,39,Linezolid,3828,0.8621374912648497
species_multihead_no_enrichment,3,40,Meropenem,9704,0.9450054991717847
species_multihead_no_enrichment,3,41,Meropenem_with_meningitis,28,0.8956521739130435
species_multihead_no_enrichment,3,42,Meropenem_without_meningitis,21,0.9473684210526316
species_multihead_no_enrichment,3,43,Micafungin,54,0.9652777777777778
species_multihead_no_enrichment,3,44,Minocycline,1929,0.8732650040494877
species_multihead_no_enrichment,3,45,Moxifloxacin,173,0.9745920745920746
species_multihead_no_enrichment,3,46,Mupirocin,1616,0.9605225644634511
species_multihead_no_enrichment,3,47,Nitrofurantoin,4211,0.8648588568385053
species_multihead_no_enrichment,3,48,Norfloxacin,4954,0.8565502827187973
species_multihead_no_enrichment,3,49,Oxacillin,3079,0.9242700681744972
species_multihead_no_enrichment,3,50,Penicillin,3455,0.9447064254424735
species_multihead_no_enrichment,3,51,Penicillin_with_meningitis,37,0.73125
species_multihead_no_enrichment,3,52,Penicillin_with_other_infections,37,0.73125
species_multihead_no_enrichment,3,53,Penicillin_with_pneumonia,37,1.0
species_multihead_no_enrichment,3,54,Piperacillin,3796,0.9344915483757907
species_multihead_no_enrichment,3,55,Piperacillin-Tazobactam,5768,0.8775730942234848
