model_mode,mean_global_micro_auc,std_global_micro_auc,mean_macro_antibiotic_auc,std_macro_antibiotic_auc,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,mean_final_alpha,std_final_alpha,mean_trainable_parameters,n_folds
species_multihead_no_enrichment,0.9274266248922206,0.0008198899076199501,0.8502148875580845,0.010706361485345638,0.9181794725171265,0.0033516378937353906,0.7208675703989198,0.01104125799002156,,,3437701.8,5
implicit_species_hypernetwork_no_enrichment,0.9279335540883629,0.001519919131038638,0.8589993051799579,0.013763935843997818,0.9208379134809338,0.0011224266836550266,0.731736412132142,0.014224185454306664,0.0435349240899086,0.02663744641801982,3197366.8,5
